rank	username	minecraft:crafted/minecraft:oak_fence_gate
217	SpicyDuckMan	4
217	momis24	4
217	zmpeg	4
250	shineh10	3
250	Killercatty78	3
250	Jackster03	3
250	Gregward_Smith	3
250	DarkFisto	3
250	ProfessorBee	3
250	Kamflame	3
250	set67	3
250	UncreativeArtist	3
250	PegLegPete93	3
250	LeauVox4921	3
250	LitoDelvito	3
250	Zaridey	3
250	Silvo614	3
250	MustardDrinker	3
250	jewbacaman	3
250	HeraclesOGU	3
250	luseis	3
250	NiveauSubmarine	3
250	07shiny	3
250	bloomkieren	3
250	SammiWolfGirl	3
250	Heisenbberrg	3
250	al626win52	3
250	Njensen7	3
250	MissCeleste7	3
250	mobunni	3
250	xorompole	3
278	Jovaphobic	2
278	weezygator	2
278	fanofbands101	2
278	xXTheWolfmanXx	2
278	ExtraDumb	2
278	livingdaydreams	2
278	ewsophie	2
278	MoistMicrowave	2
278	Sebaschan__	2
278	YairZaki	2
278	MSK__	2
278	Swexti	2
278	TheMaster972	2
278	nocturne78	2
278	_vlex	2
278	Malorn_Aetherius	2
278	o0z	2
278	MattieHD	2
278	TheThomas69	2
278	zorin123	2
278	tortfeezy	2
278	leaf26	2
278	mwrty	2
