rank	username	minecraft:crafted/minecraft:stone
131	BlueZabu	1689
132	Jiminie	1678
133	ori0le	1669
134	Lowjinx	1664
135	CoffeeNoir	1657
136	mwrty	1651
137	2Stout	1634
138	ooga47	1626
139	Cortexia	1593
140	MyNameIsDakar	1580
141	Jackster03	1573
142	__Fanda__	1564
143	123louis456	1559
144	DermeinUser	1548
145	JohnPrice	1546
146	Matorz	1529
147	CollinMH06	1524
148	FennYuzuna	1511
149	Lukeee33	1510
150	LetsDoItLive	1503
151	Touched_Bread	1480
152	NormanFetus	1476
153	Mr_Byzantine	1469
154	jjettii	1467
155	GoofyBread	1429
156	Xalithia	1428
157	iHuntWeeaboos	1412
158	Zedducius	1408
158	DarlaMeow	1408
160	Kijiki	1403
161	kekhon	1387
161	pk1297	1387
163	_czarny	1381
164	AssFullaCum	1375
165	Ghemmah	1365
166	tsitrawhy	1354
167	Notta	1350
168	NoxxxxiS	1347
169	bitsplease	1310
170	Blu3beast	1301
170	Ze_BaronKrigler	1301
172	Zythose	1290
173	WET_WET_WET	1282
174	Alexanderjac	1280
175	shdesolt	1271
176	Nicky_H225	1265
177	Toiton	1260
178	avalan64	1255
179	SpaggeDR	1240
180	SuperPooch06	1236
181	JayToe	1231
182	ConcretePirate	1223
183	KingMatthew506	1202
184	_naturell	1193
185	TheBiggestFeller	1191
186	Njensen7	1190
187	InfernalMound	1188
188	_Boipl_	1176
189	yaboo88	1175
190	theonlymagikarp	1168
191	mennorovers	1127
191	Darkgon	1127
193	Typadopoulos	1126
194	The11thDoctor	1119
195	BigCronkin	1116
196	Sleek_Storm_721	1104
197	DC_XII	1101
198	Nach0Bear	1086
199	joethahobo	1070
200	Prismyst	1068
201	Fuhrer_Teemo	1061
202	HELLO_I_AM_BEAR	1060
203	livingdaydreams	1058
203	fade_emerge78823	1058
205	Rich_Kat	1044
206	SyK7	1040
207	radioactv_jelly	1031
208	Miko_Fullbuster	1027
209	Kamflame10	1026
210	TooManyDuck	1024
210	SUN_DREAM	1024
212	Ir0npack	981
213	thgrocks	978
214	1442	974
215	eviltunix	960
215	drumine	960
217	Ze1ig	946
218	ExtraDumb	937
219	FreddyFart	929
220	SSytex_X	922
221	PlasticOtari	921
222	Giannism	914
223	Warlord324	905
224	Kferno	903
225	Ozixar	900
226	SpouHn	887
227	Invisie	886
228	TableTim	875
229	MinuteMira	872
230	TinMaster	865
231	youhjjhhhjj	864
232	Eraxa	858
233	ayamefag	855
234	Kymarmalade	842
235	jaimshae	838
236	YinToYin	836
237	Kynigito	831
238	ZeroAbyssTTV	830
239	Hyugo	824
240	Vellu21	820
241	Jackattack53	804
242	DarkDescent2392	794
243	Groundler	789
244	Syropatathe	787
245	AnnieBathory	779
246	Jimi7hits	769
247	wwwwinnebagoooo	754
247	non089	754
249	xPixelRainx	745
250	brycepants	732
250	KlausVonStiglitz	732
252	whoaluv	730
253	athereall	728
254	SyntheticSurgeon	725
255	ratglock	723
256	Groovy_MoonBird	721
257	Drewen24	718
258	killmeiamtraitor	715
259	krutas2000	714
260	ProfessorDiaper	712
261	Kryktal	710
262	Sparky_KT	706
263	chimpmunker	704
263	ROY4LE	704
265	Mookle96	697
266	AlazelTheReal	690
266	Zoeyfortnite	690
268	GhostRecon8014	681
269	garrykasparow	680
270	DarkS0L	678
271	GLLogan2	670
272	anbbang	656
273	RobotMinion101	655
274	Bloo2406	654
275	UncreativeArtist	652
276	Historical_Sand	651
277	Septemb3r	649
277	trexgb	649
279	smogfrog	648
280	Jokerman369	645
281	purpolepickle	644
282	DSYisDizzy	641
282	Factoroni	641
284	Kateesaur	628
285	bloomkieren	627
286	GravitySaint	623
286	amkold	623
288	starbits140	621
289	Toasty_Tom	613
290	SokaOtaku	606
291	r123moore	597
292	MusicMe1005	581
293	RefluxRatio	578
294	NLKBuilder	576
295	surfinggiraffejp	572
296	bigstankyy	570
297	Otto_chan	564
298	Arceus1975	555
299	xorompole	553
300	HesDemonPants	550
