rank	username	minecraft:crafted/minecraft:fishing_rod
193	TechnoNinja64	2
193	IronicUwU1	2
193	skote77	2
278	TheBiggestFeller	1
278	j4ck811	1
278	Bruh77	1
278	Im_SMX	1
278	Batoser	1
278	Matemkas	1
278	seanitoo	1
278	Bandito_Roamer	1
278	_Huge_Male_	1
278	Ninzyyy	1
278	diminub	1
278	Jalvajar	1
278	Jorrdi	1
278	CloroxBleach385	1
278	Paint	1
278	Napoleonpancake	1
278	TrNrGhost	1
278	PlanetarSun	1
278	Nucket	1
278	ImNotYuqii	1
278	6king6colt6	1
278	Sleek_Storm_721	1
278	Wolf_Mauler_73	1
