rank	username	minecraft:crafted/minecraft:rail
188	Jackster03	112
188	bloodbiter	112
188	benediktine1	112
188	Sky_light_KING	112
188	The_Skramz	112
188	EfficientC52	112
188	MustaLoordi	112
188	__tomato	112
188	lcvezra	112
197	StinkyDiplomat	102
198	Louiis123	96
198	Tolhart	96
198	Natty	96
198	Swexti	96
198	Vizzoid	96
198	ProfessorBee	96
198	NotMeanttoChange	96
198	Covalents	96
198	SvenskaHugo	96
198	Kowcio_	96
198	Kyrum2169	96
198	PortlyPete69	96
198	Enderslayerxz3	96
198	UrbanPlanner1978	96
212	Iagoku	80
212	ssleepless	80
212	MOSS000	80
212	fr0stss	80
212	BilboBaggins23	80
212	Awyrlas	80
212	SellyZ	80
212	Onennon	80
212	TheTrueClipse	80
212	Th6masss	80
212	Winston_Ingram	80
212	adiccting01	80
212	Zoeyfortnite	80
225	AuroraValkyrie	64
225	teslawolf38	64
225	ColeSnyder	64
225	ivorico	64
225	DirtyDalle	64
225	firesgal3116	64
225	m_be9	64
225	Nicky_H225	64
225	500am	64
225	theonlymagikarp	64
225	TheDankPlatypus	64
225	M_Patata	64
225	CollinMH06	64
225	Marbz_	64
225	_Karmaa	64
225	claivin	64
225	MasterNueve	64
225	ItsDeltaMC	64
225	Cocoamallows	64
225	Pickel_Lord	64
225	Moetis	64
225	smogfrog	64
225	FishisTTV	64
248	Drlzyy	48
248	AshleeCW	48
248	ImpavidArcher	48
248	picardred	48
248	MinttyFressh	48
248	SoftSix	48
248	eiC_	48
248	SlayerCrypto	48
248	KartivGal	48
248	groofles	48
248	Leyna3	48
248	Leeeegend	48
248	Segotep999	48
261	sufjanlover	40
262	Jalvajar	32
262	Gundam_Steven	32
262	Rox_The_Box	32
262	IWorkAtIkea	32
262	FirsTimeGamingTV	32
262	heckface	32
262	Enigma0251	32
262	TerraVl	32
262	HoltGrim	32
262	killmeiamtraitor	32
262	Solar_Power	32
262	Moofyman	32
262	MonitorLizards	32
262	_naturell	32
262	Oldham	32
262	Maenara	32
262	LexMakesHistory	32
262	GoofyBread	32
262	Cyntrical	32
262	Barlycorn	32
262	SkateboardR6	32
262	Strangemonkey71	32
262	LilcoinXX	32
262	UCP_TheKingK	32
262	ediballbearings	32
262	Sheldor097	32
262	Kubeusz2010	32
262	Skippeh	32
262	BreadBacon	32
262	Wolverine4302	32
262	HesDemonPants	32
262	MeetTheWollo	32
294	Factoroni	24
295	Groovy_MoonBird	16
295	DiscardedCE	16
295	Sleek_Storm_721	16
295	SaucyDark	16
295	TooManyDuck	16
295	Incinere	16
