rank	username	minecraft:crafted/minecraft:diamond_boots
84	noodlepack	3
84	500am	3
84	boog4loo	3
84	emrekn	3
84	Xalithia	3
84	Zaridey	3
84	Ecplosive	3
84	SlayerCrypto	3
84	Nyxiom_	3
84	CrateOfBoxes	3
84	Hoid_the_Roamer	3
84	SokaOtaku	3
84	Bumpy419	3
84	Werbe	3
84	RobotMinion101	3
84	Dan_Scha	3
84	HolyVenom	3
84	Rasmanden	3
84	wezzzi	3
84	XxCookiequeenxX	3
84	DarkS0L	3
84	DarlaMeow	3
84	Quincannon	3
84	EfficientC52	3
84	Blu3beast	3
84	Racengan	3
84	MovingFish7	3
84	lordpipe	3
84	IAmTheWalrus910	3
84	OG_Songsee	3
84	stavgod	3
84	Eraxa	3
84	pixelviolin	3
84	yatsuta	3
84	SSytex_X	3
84	Chuglyfe	3
84	Luigipunch989	3
84	Steelynan	3
84	TheOnlyRake	3
84	Nicserso	3
84	Legendosh	3
84	Zoeyfortnite	3
142	MunkaKris	2
142	Jovaphobic	2
142	Tobinator_007	2
142	JohnnyFyes	2
142	PhantomsGhost_	2
142	strongman951753	2
142	6king6colt6	2
142	freeandrew	2
142	SaucyDark	2
142	BodaciousCake	2
142	_Frepp_	2
142	CoffeeNoir	2
142	Jackster03	2
142	MOSS000	2
142	301851	2
142	FirsTimeGamingTV	2
142	Shadoko_	2
142	Blackberry1310	2
142	TheSecondLord	2
142	Comma__	2
142	Ardennes	2
142	ProfessorBee	2
142	_Nuf	2
142	_Dean_123	2
142	groggregg42	2
142	NotMeanttoChange	2
142	Mewar	2
142	eviltunix	2
142	ROY4LE	2
142	SLASHZEERA	2
142	Stiar	2
142	eiC_	2
142	John6970	2
142	CharlieButt	2
142	toj__	2
142	Winklepicker279	2
142	Chromary	2
142	Snowflowe	2
142	burbankbuilder28	2
142	killmeiamtraitor	2
142	_Boipl_	2
142	pappaberg	2
142	Corbsman	2
142	The11thDoctor	2
142	Kouridragon	2
142	epiksk8erduck	2
142	PigDab	2
142	jewbacaman	2
142	victorLIE	2
142	_naturell	2
142	FishyBoy3811	2
142	thgrocks	2
142	ToastedGamingYT	2
142	Kim_Jong_eel	2
142	Lord_Jord	2
142	yulgur1	2
142	SpouHn	2
142	NoChumpChange	2
142	fkGrim	2
142	Deathkob	2
142	Lutres_Torane	2
142	OverallConcept	2
142	The_slideV3	2
142	NameGenerat0r	2
142	claivin	2
142	Xclax101	2
142	MightyWertu	2
142	cog	2
142	Hisiste	2
142	Airem_Core	2
142	Bonzaidalek	2
142	Cocoamallows	2
142	LordSpeed37	2
142	ayamefag	2
142	KG1999	2
142	voiding_	2
142	YungMaki	2
142	underscore_2	2
142	_TCARREIRA_	2
142	GlitchyPlate810	2
142	CoryJJ	2
142	Dogcorn69420	2
142	fffMike	2
142	gaming4Naming	2
142	LeeMcGee30	2
142	MilleGrug	2
142	TheOuterCore	2
142	Skippeh	2
142	RadarHz	2
142	The_SlideV5	2
142	FishisTTV	2
142	h2p_emrld	2
234	Gary_	1
234	SaltineDream	1
234	Bruh77	1
234	Mr_Worthless	1
234	RosaDoesMC	1
234	Louiis123	1
234	Lepthymo	1
234	SDW_Insanity	1
234	Matemaks2137	1
234	seanitoo	1
234	Bandito_Roamer	1
234	elicobnoah	1
234	Crowvens	1
234	peachfuzz1267	1
234	The_Thund	1
234	_NieToksikpl_	1
234	Harotio	1
234	RoskobiOne	1
234	Lotheburgh	1
234	Jorrdi	1
234	Paint	1
234	_stets	1
234	hollowww	1
234	jspwn	1
234	Jackywho	1
234	SlowMoNinja1994	1
234	KingFaenor	1
234	Tommhh	1
234	erikthebeanman	1
234	chimpmunker	1
234	Nekowu	1
234	xXTheWolfmanXx	1
234	Houstonion	1
234	bigstankyy	1
234	SteelCutOats	1
234	Kegradigm	1
234	Iagoku	1
234	Hyugo	1
234	ssleepless	1
234	BlancoFlaco	1
234	hm947	1
234	Bad_At_Names_Guy	1
234	TooManyDuck	1
234	Tolhart	1
234	Isaac70096	1
234	Flores991	1
234	_Razar	1
234	tuckerdoodle	1
234	Horizons86	1
234	Zippyzam	1
234	RebelAndroid	1
234	Franco093	1
234	livingdaydreams	1
234	jimintyy	1
234	youhjjhhhjj	1
234	C0by3llis	1
234	Zlatovlas	1
234	Natty	1
234	Seyaboy	1
234	TAKrules	1
234	KomputerDude	1
234	AlazelTheReal	1
234	ivorico	1
234	Sebaschan__	1
234	Maltyy	1
234	peach0s	1
234	tsohomie	1
