rank	username	minecraft:crafted/minecraft:glass_bottle
104	yheece	243
106	seramalen	240
107	TheShyPig	237
108	corpsecity	234
109	skitzxo	228
110	lizardfightclub	222
111	RebelAndroid	219
112	StarCookiees_	216
112	Eraxa	216
114	m_be9	213
114	_Dean_123	213
114	Dreamdbr14	213
117	beeperbeeper5	210
118	excelsionprime	207
119	Historical_Sand	201
120	ECstardust	195
120	Jimb0nat0r	195
122	QuiCreans	192
122	Sleepy_Evelyn	192
122	FishyBoy3811	192
122	HolyVenom	192
122	Vorlice	192
127	UncreativeArtist	189
128	tobinwilliams	168
129	Saucepeh	165
130	annebolyn	162
131	Pumpkin_P_Patch	159
132	livingdaydreams	156
132	Comma__	156
132	Arceus1975	156
132	Soplight	156
136	fluddd	144
137	Akoot_	135
137	Xclax101	135
139	MattieHD	132
139	mwrty	132
141	SmashingPump	129
141	jacxhadow	129
141	SlayerCrypto	129
141	EdGalbraith	129
141	DarlaMeow	129
141	lordpipe	129
147	surfinggiraffejp	126
147	kalzor	126
149	hermmm_	117
150	claivin	114
151	stellarjay	111
152	djancak	108
153	Jovaphobic	96
153	Onennon	96
155	Hiryu27	90
156	j5ylim	87
156	Ryker	87
156	Smashic	87
159	ARandomHedge	78
159	Rumpletaezer	78
159	Bumpy419	78
159	MAns_44	78
159	Synthoum	78
164	Awyrlas	75
165	royal_2	72
165	ROY4LE	72
167	Sheldor097	71
168	CollinMH06	69
168	starbits140	69
170	Fildyr	66
170	miramyu	66
172	ThePoliteG	63
172	_witch_craft_	63
172	gamerlord1324	63
172	MousePlays	63
172	yulgur1	63
172	Sorry_Arey	63
172	TheRealAndrin	63
172	__tomato	63
172	Njensen7	63
172	Steelynan	63
182	k_ce	60
182	Merv__	60
182	__lizi	60
182	12Magner05	60
182	KingEgg1	60
187	FirsTimeGamingTV	57
187	Kamflame	57
187	AspenLightVT	57
187	LeeMcGee30	57
187	FishisTTV	57
192	MrExplorer	54
192	Fuhrer_Teemo	54
192	BlankityMcBlank	54
192	AltnumberF4	54
196	JitteryJared2	51
197	NotMeanttoChange	48
197	PigDab	48
197	SexcMf	48
197	The_SlideV5	48
201	abdomera	45
201	lorywithay	45
201	ratglock	45
201	Cruncy_	45
201	IamCL4SSY	45
201	Buuck_	45
201	THEKINGLyric10	45
201	KingMatthew506	45
209	Solar_Power	42
209	Kubeusz2010	42
211	Ssor69	39
211	Covalents	39
211	ItsAki_	39
211	ReflexCode	39
211	Druid95	39
211	Ze_BaronKrigler	39
211	_TCARREIRA_	39
211	zOnlyKroks	39
219	Sleek_Storm_721	36
219	Tolhart	36
219	orxngejuice	36
219	SuperPooch06	36
219	HeraclesOGU	36
219	Lutres_	36
219	Iamthejo	36
219	Ezekson	36
219	h2p_emrld	36
228	rarrq	33
228	Euclidoris	33
228	Mariopreeet	33
228	Malware_Mara	33
228	Zythose	33
228	FlashMigma	33
228	MilleGrug	33
228	TheOnlyRake	33
236	Froste131	30
236	Paint	30
236	fr0stss	30
236	BilboBaggins23	30
236	4774	30
236	Blazebit	30
236	Zaridey	30
236	Chromary	30
236	groofles	30
236	TheKingK_	30
236	calamariclam_I	30
247	MoistMicrowave	27
247	Dark_Crusader21	27
247	lorpus	27
247	zToasty69z	27
247	Elastiq	27
247	GoofyBread	27
247	CattSoup	27
247	JayToe	27
255	dudcreeper	24
255	set67	24
255	SeverianOfUrth	24
255	Barlycorn	24
259	CLG_Kata	21
259	RatatJuice	21
259	Mattesco	21
259	Quaintster	21
259	diggydog67	21
264	monky_irl	20
265	_Virify_	18
265	Cowison	18
265	Myszoaz	18
265	Vizzoid	18
265	Tiberonus	18
265	Guillemet	18
265	crying_wolf_13	18
265	Paintz	18
265	whoaluv	18
265	AuroraSkies	18
265	XxCookiequeenxX	18
265	Dakar_	18
265	_Karmaa	18
265	TheImperial	18
265	MakeHistory157	18
265	elliebelle107	18
265	11Brewer	18
265	Legendosh	18
283	CoffeeNoir	15
283	MOSS000	15
283	heckface	15
283	SoftSix	15
283	Fullbit_	15
283	Mewar	15
283	mimbo1211	15
283	Winklepicker279	15
283	Kynigito	15
283	Hahaa_0	15
283	jambvds	15
283	handsome_strong	15
283	MS_Pryxx	15
283	Cache3	15
283	Kowcio_	15
283	Dogcorn69420	15
283	Paguz01	15
300	H0UNDFRMH3LL	12
