rank	username	minecraft:crafted/minecraft:iron_bars
227	xXTheWolfmanXx	32
227	tuckerdoodle	32
227	youhjjhhhjj	32
227	Tiberonus	32
227	MattieHD	32
227	mwrty	32
227	Awyrlas	32
227	2Stout	32
227	M_Patata	32
227	Freeman666	32
227	dendydoom	32
227	Rebytre	32
227	RobotMinion101	32
227	F_Uhre	32
227	cedric72	32
227	jewbacaman	32
227	Luminad3	32
227	yulgur1	32
227	NomadicRobin_	32
227	audiocracked	32
227	fkGrim	32
227	avalan64	32
227	DarkS0L	32
227	DemTechAlpha	32
227	Dakar_	32
227	Fildyr	32
227	Vorlice	32
227	Druid95	32
227	MasterNueve	32
227	33sudo	32
227	Shin69	32
227	SSytex_X	32
227	SammiWolfGirl	32
227	krutas2000	32
227	anbbang	32
227	RadarHz	32
227	FelixPSY375	32
227	Powowowow	32
227	The_SlideV5	32
227	Yahrto	32
271	Groovy_MoonBird	16
271	k_ce	16
271	Paint	16
271	_stets	16
271	soundad	16
271	Ailmast	16
271	q_wq	16
271	Saltymart	16
271	ssleepless	16
271	Killercatty78	16
271	Wooptey	16
271	BodaciousCake	16
271	Franco093	16
271	CoffeeNoir	16
271	Rox_The_Box	16
271	ivorico	16
271	Simon_Lowell	16
271	SpaceGrenadier	16
271	fr0stss	16
271	IgnoredBee	16
271	NanoShot	16
271	heckface	16
271	Ozixar	16
271	InfernalMound	16
271	Cryptacity	16
271	jacxhadow	16
271	MinttyFressh	16
271	Megarboh	16
271	_Nuf	16
271	Enigma0251	16
