rank	username	minecraft:crafted/minecraft:shears
152	Winklepicker279	15
152	kyouma777	15
154	Tommhh	14
154	bigstankyy	14
154	SoftSix	14
154	PegLegPete93	14
154	LeauVox4921	14
154	TheDankPlatypus	14
154	SuperPooch06	14
154	Maenara	14
154	Sky_light_KING	14
154	SkateboardR6	14
154	stahouo	14
154	UrbanPlanner1978	14
166	Comma__	13
166	audiocracked	13
166	Deathkob	13
166	TechnoNinja64	13
170	soundad	12
170	itburb	12
170	TheThomas69	12
170	theonlymagikarp	12
170	CollinMH06	12
170	loveseeker	12
170	_Bguette_	12
170	Fildyr	12
170	Dogcorn69420	12
179	Gamergirl420628	11
179	RodSerlingCringe	11
179	MustaLoordi	11
179	Optiprimus	11
179	SSytex_X	11
179	Sheldor097	11
179	anbbang	11
186	peachfuzz1267	10
186	Drlzyy	10
186	ssleepless	10
186	MattieHD	10
186	CarltheCuck	10
186	BronkerBrum	10
186	master9067	10
186	Fuhrer_Teemo	10
186	Soap_Bender	10
186	Quaintster	10
186	fluddd	10
186	cog	10
186	TheTommyGun63	10
186	layabout100	10
186	Nicserso	10
186	h2p_emrld	10
202	RoskobiOne	9
202	Wooptey	9
202	fkGrim	9
202	ChocolatePepsi	9
202	Meatlaugh	9
202	Darkgon	9
202	wwwwinnebagoooo	9
202	sp00ky_ghost977	9
202	SvenskaHugo	9
202	djancak	9
202	Deguns123	9
213	Bandito_Roamer	8
213	I_Am_Mushkin	8
213	MangoTheFish	8
213	ogoa	8
213	_Karmaa	8
213	iHuntWeeaboos	8
213	Dusk_95	8
213	CalebDHawk	8
213	Eczbek	8
213	TheOnlyRake	8
223	123louis456	7
223	_stets	7
223	dabloons	7
223	Lez_	7
223	Ozixar	7
223	Notta	7
223	_Boipl_	7
223	Hoid_the_Roamer	7
223	Jonte0599	7
223	NomadicRobin_	7
223	TheSeismicDuck	7
223	wobn	7
223	Shoutur1	7
223	Warlord324	7
223	IAmTheWalrus910	7
223	LordSpeed37	7
223	CSG_Haru	7
223	Freedrik	7
241	_Virify_	6
241	Incinere	6
241	Malorn_Aetherius	6
241	bloodbiter	6
241	Nicky_H225	6
241	12Magner05	6
241	GLLogan2	6
241	egglapras	6
241	2Stout	6
241	Covalents	6
241	platinumzero	6
241	benediktine1	6
241	epiksk8erduck	6
241	LeGold	6
241	KeruNatsema	6
241	groofles	6
241	sxc_	6
241	Negriuke	6
241	masskedman	6
241	valkam13	6
241	DarlaMeow	6
241	Deerfoot	6
241	Nycteus_	6
241	stavgod	6
241	UCP_TheKingK	6
241	obzii	6
241	PlzNoBM	6
241	jcool7	6
241	Kubeusz2010	6
241	RadarHz	6
271	squigglybones	5
271	AshleeCW	5
271	RatatJuice	5
271	Natty	5
271	ivorico	5
271	ShedJr_	5
271	H72l9w	5
271	Ardennes	5
271	ProfessorBee	5
271	Smashic	5
271	crying_wolf_13	5
271	Kamflame10	5
271	himak1	5
271	intropass	5
271	XboxPanda	5
271	John6970	5
271	toj__	5
271	Marbz_	5
271	AnnieBathory	5
271	CrateOfBoxes	5
271	Jeteight	5
271	Hiryu27	5
271	CruncyIsTaken	5
271	FishyBoy3811	5
271	Russiancat1	5
271	MyNameIsDakar	5
271	Typadopoulos	5
271	Cocoamallows	5
271	Kijiki	5
271	Segotep999	5
