rank	username	minecraft:crafted/minecraft:clay
104	OfficerAnvil	103
106	SvenskaSara	102
107	beeperbeeper5	99
108	hcb238	86
109	ratglock	84
110	maxdacatv2	80
110	Racengan	80
110	sp00ky_ghost977	80
110	bloomkieren	80
114	Mr_Byzantine	76
114	oscminus	76
114	MonitorLizards	76
117	ImpavidArcher	75
118	claivin	73
119	_Huge_Male_	70
119	SingedBread	70
119	Legendosh	70
122	HellsSponge	69
123	RoskobiOne	67
123	Snowflowe	67
125	Krowuss	65
126	Ao_Ken	64
126	drompje	64
126	zeki123	64
129	RebelAndroid	63
130	Werbe	61
130	00000000-0000-0000-0009-01faf4342590	61
132	Azmodan_246	59
133	Reneedium	57
133	_Karmaa	57
135	Kowcio_	55
136	MattieHD	54
137	Penguinllama517	53
138	Prismyst	51
139	AuroraSkies	48
139	Blaiku	48
141	annebolyn	46
142	nattybears	45
142	Cruncy_	45
142	goldyx	45
145	TuesdayEpisode	44
145	Sral7	44
147	Killercatty78	40
147	WET_WET_WET	40
147	Bumpy419	40
150	Icyyyyy	38
151	groofles	37
151	Jimb0nat0r	37
153	SyntheticSurgeon	36
154	cedric72	35
155	Luigipunch989	34
155	krutas2000	34
157	ECstardust	33
157	Pumpkin_P_Patch	33
159	CaracolCxnt	32
159	Touched_Bread	32
159	babyjimmyneutron	32
162	Ezekson	30
163	GLLogan2	29
163	skitzxo	29
165	2extreeme	28
166	corvidpartyfor6	27
167	teslawolf38	26
167	excelsionprime	26
169	Lord_Jord	25
170	Shogunite	24
171	__Fanda__	23
172	Hpdinosaur	22
172	Jimi7hits	22
174	Blackberry1310	21
175	Crowman1	19
176	wrinkledpiglet	18
177	Arceus1975	17
178	Elprone266	16
178	SnowyAvi	16
178	himak1	16
178	CaptainDeadBread	16
178	emreknugrlu	16
183	H0UNDFRMH3LL	15
183	2blox_	15
185	AlexxO_o	14
185	FadedSpade82	14
187	hermmm_	13
188	kekhon	12
188	ougstur	12
188	LeEricc	12
191	Mahoose	11
191	Myszoaz	11
191	Charmyboi	11
194	I_Am_Mushkin	10
195	ReSynced	9
196	Jackster03	8
196	Rich_Kat	8
196	ooga47	8
196	MakeHistory157	8
196	cichy096	8
201	CattSoup	7
202	IgnoredBee	5
202	Rainaldus	5
204	chipklip	4
204	Base_Tempest	4
204	i2f8x4h8ro	4
204	drunkeeez	4
204	BlankityMcBlank	4
204	00000000-0000-0000-0009-01f16526f034	4
210	powercas_gamer	3
210	Whiterooster001	3
210	Rumpletaezer	3
210	NomadicRobin_	3
210	JESS_THE_RERE	3
210	AssFullaCum	3
216	ROY4LE	2
216	Deathkob	2
216	NameGenerat0r	2
216	bluefragmentt	2
216	LordSpeed37	2
216	MrShojo	2
216	TechnoNinja64	2
223	fanofbands101	1
223	Napoleonpancake	1
223	Hyugo	1
223	Alteriity	1
223	ccwildfire1	1
223	Smashic	1
223	Kakolbus	1
223	Purplehere	1
223	Eczbox	1
223	Hiryu27	1
223	Tiktola01	1
223	Karbl	1
223	1442	1
223	weabis	1
223	pretty_pink_reno	1
223	Human_Resource	1
223	Warlord324	1
223	kyouma777	1
223	cum_chalice	1
223	Doorknob0101	1
223	Segotep999	1
223	Soplight	1
223	UltraZombie	1
223	Eczbek	1
223	Skippeh	1
