rank	username	minecraft:crafted/minecraft:sugar
100	_Dean_123	172
100	Nicserso	172
102	CrateOfBoxes	160
102	PlasticOtari	160
104	audiocracked	159
105	CLG_Kata	149
106	thgrocks	144
107	12Magner05	143
108	Inchef	138
109	wezzzi	137
110	Hiryu27	136
111	F_Uhre	132
111	HoldThatPee	132
113	xzvu	131
114	Kakolbus	130
114	Lord_Jord	130
116	LeonelSalamanca	129
117	VolcanS	128
117	XboxPanda	128
117	Rumpletaezer	128
117	CloudyPowdy	128
117	Soul_Atreus	128
117	MilleGrug	128
123	Ryan_GEMS	127
124	stavgod	126
125	MoistMicrowave	124
126	DanTheBuilderino	123
127	Xalithia	122
128	ese_wn_po	120
129	SuperPooch06	117
130	Kynigito	113
131	UCP_TheKingK	111
132	4774	110
132	stellarjay	110
134	oscminus	109
134	claivin	109
136	FreakGenius	106
136	Eraxa	106
138	MAns_44	104
138	Racengan	104
140	ReflexCode	100
141	stuy9	98
142	Xclax101	96
143	__tomato	94
144	excelsionprime	93
145	SaucyDark	89
146	HollieDaNugget	85
147	CollinMH06	83
147	SpouHn	83
149	Fizznut909	82
150	Fildyr	81
151	rarrq	78
152	Cocoamallows	76
153	lorpus	75
154	Comma__	72
155	obzii	70
156	EfficientC52	69
157	SmashingPump	68
157	Quaintster	68
159	Hisiste	67
160	King_Pancake1	66
160	Solar_Power	66
160	Dogcorn69420	66
163	_Virify_	64
163	RoskobiOne	64
163	AuroraValkyrie	64
163	Gundam_Steven	64
163	RebelAndroid	64
163	ThePoliteG	64
163	redikul	64
163	Bumpy419	64
163	Werbe	64
163	Luminad3	64
163	Lutres_	64
163	SUN_DREAM	64
163	ElKaySVK	64
163	lcvezra	64
163	Winston_Ingram	64
163	EngagedGrub41	64
163	tartanboy	64
163	561cool	64
181	SPUDonSTEROIDS	62
181	Paintz	62
183	pixelviolin	61
184	SaintJosie	59
184	NomadicRobin_	59
186	TableTim	58
186	Druid95	58
188	FirsTimeGamingTV	57
188	olliebollie48	57
190	fluddd	56
191	Lord_Doob	55
192	T045RTY	54
192	KeruNatsema	54
194	crying_wolf_13	52
194	HolyVenom	52
194	djancak	52
194	00000000-0000-0000-0009-01ff0c3e5e4f	52
198	Warlord324	50
199	Chromary	49
200	Manaateee	48
201	PigDab	45
201	2blox_	45
203	jacxhadow	44
204	dopplexd	42
204	El_Jalapeno	42
206	Prismyst	41
206	Legendosh	41
208	nattybears	40
208	Kubelz	40
210	CaptainAvenger7	39
211	TheOnlyRake	38
212	NinjaKnifeKill	35
212	Njensen7	35
214	Covalents	34
214	xorompole	34
214	Jimb0nat0r	34
217	ITDV	33
217	WyngGoy	33
219	Apollo_993	32
219	I_Am_Mushkin	32
219	Maenara	32
219	_TCARREIRA_	32
223	KarlKaek	30
223	heckface	30
225	SvenskaHugo	29
226	KomputerDude	28
227	AlphaWolfPlaysMC	27
227	momis24	27
229	HeraclesOGU	26
230	lunathelemon	25
231	yulgur1	24
231	ElectricDragon81	24
233	TheShyPig	23
233	EcksD	23
235	diamondgolem35	22
235	Guillemet	22
235	Hermanni__	22
238	mwrty	21
238	SUSUGAM	21
240	Historical_Sand	20
240	SvenskaSara	20
240	tobinwilliams	20
243	M_Patata	19
243	MasterNueve	19
243	Skippeh	19
246	Invintic	18
247	UncreativeArtist	17
247	NotMeanttoChange	17
247	platinumzero	17
247	RustyKedel	17
247	Blaiku	17
247	Luigipunch989	17
253	Ryker	16
253	tramizu	16
253	Vizzoid	16
253	ratglock	16
253	SirPiccardo	16
253	Western_1	16
259	SteveCraftBlocks	15
259	Awyrlas	15
259	marumochis	15
259	Toriankel	15
259	PlzNoBM	15
264	PegLegPete93	14
264	grislgrobl	14
264	THEKINGLyric10	14
267	Y_A_N_N_I	13
267	AstreaTSS	13
267	Barlycorn	13
267	bloomkieren	13
267	mobunni	13
272	Incinere	12
272	ShedJr_	12
272	Burge_r	12
275	Batoser	11
276	BilboBaggins23	10
276	Candad_	10
276	JESS_THE_RERE	10
276	StinkyDiplomat	10
276	Conrad139	10
276	CalebDHawk	10
282	CoffeeNoir	9
282	set67	9
282	AnnieBathory	9
282	Syropatathe	9
282	_Meow_Mix	9
287	TrNrGhost	8
287	bbrothers_5	8
287	ashetrays	8
287	ARandomHedge	8
287	Bazongoman	8
287	LAVA129	8
287	AuroraSkies	8
287	Soplight	8
287	ItsJunoIGuess	8
287	00000000-0000-0000-0009-01f9013b764e	8
297	BlancoFlaco	7
297	livingdaydreams	7
297	SlayerCrypto	7
297	MightyWertu	7
