rank	username	minecraft:broken/minecraft:iron_chestplate
64	hermmm_	1
64	Kubeusz2010	1
64	tokvo	1
64	Iamthejo	1
64	ConnorDanky_	1
64	11Brewer	1
64	smogfrogg	1
64	HelloIamSora	1
64	Kiki_Majiki	1
64	Powowowow	1
64	MusicMe1005	1
64	BiggieDawg	1
64	Paguz01	1
64	Spaghettatron	1
64	Yahrto	1
64	JayToe	1
64	MelodyGaysharks	1
64	_Dri_	1
64	diggydog67	1
