rank	username	minecraft:broken/minecraft:stone_pickaxe
140	Icyyyyy	9
140	cedric72	9
140	NoChumpChange	9
140	privatemeekly	9
140	shrimp_flips	9
140	E775	9
140	El_Jalapeno	9
140	560cool	9
140	RedcatVII	9
140	Hisiste	9
140	FadedSpade82	9
140	RadarHz	9
140	Legendosh	9
140	jnp_gaming	9
163	Froste131	8
163	Merv__	8
163	BlancoFlaco	8
163	HazenBlazin	8
163	Betaz	8
163	FirsTimeGamingTV	8
163	firesgal3116	8
163	kekhon	8
163	ZeroAbyssTTV	8
163	maaacaroni	8
163	BigMoneyH	8
163	Orcus113	8
163	TakeThis2UrGrave	8
163	valiSW	8
163	Goat_Curdle	8
163	ElderRifken	8
163	OrangeJuiceBox	8
163	c0la_c0ca	8
163	momis24	8
163	MusicMe1005	8
163	CrazyPotater	8
163	DkansK	8
163	Goat_Man512	8
186	Krimys	7
186	Groovy_MoonBird	7
186	Thaumatarge	7
186	NatalieTW	7
186	BigBootyHudge	7
186	jpoxman	7
186	ImpavidArcher	7
186	Franco093	7
186	Silenttieg	7
186	Alteriity	7
186	DangusCnt	7
186	IgnoredBee	7
186	heckface	7
186	dopplexd	7
186	lordofthelight95	7
186	corvidpartyfor6	7
186	Lumien_	7
186	Kamflame	7
186	_Magdo_	7
186	Admiral_Fizzy	7
186	ItzYaBoiPicard	7
186	ehunt54	7
186	MyNameIsJobo	7
186	Studyhallsaver	7
186	dendydoom	7
186	Forcolp	7
186	OreoPenguin_	7
186	SwooshBoi	7
186	Xclax101	7
186	Racengan	7
186	iGotUrHost	7
186	OkamiITA	7
186	wwwwinnebagoooo	7
186	Factoroni	7
186	Sank34	7
186	CACTUSLAD	7
186	Nekomin0	7
186	FormulaNewt3627	7
186	Teebone15	7
225	Mitchasnipe	6
225	RoskobiOne	6
225	Niklas20114552	6
225	foxncat	6
225	Tolhart	6
225	ryan521	6
225	WarHammer3	6
225	IWorkAtIkea	6
225	Prodiginus	6
225	xPixelRainx	6
225	Comma__	6
225	tortfeezy	6
225	Boogaloo242	6
225	LitoDelvito	6
225	CharlieButt	6
225	faulder	6
225	Aavermu	6
225	Sheellky	6
225	Vetral1	6
225	_nahoy	6
225	yulgur1	6
225	natajimi	6
225	Fuhrer_Teemo	6
225	sufjanlover	6
225	MAns_44	6
225	Blu3beast	6
225	DamagedSin	6
225	bruh072	6
225	Corran_Dahgus	6
225	noodlesforbrains	6
225	djancak	6
225	Celeste_121	6
225	felincaus	6
225	OfficerAnvil	6
225	blackmage426	6
225	QueenOfDirt	6
225	MelodyGaysharks	6
262	MrPenderweed	5
262	Paint	5
262	not_a_duck_23	5
262	Frozil20	5
262	nattybears	5
262	CoffeeNoir	5
262	Hormones	5
262	spaece	5
262	Scags	5
262	Sleepy_Time_	5
262	beeperbeeper5	5
262	Ozixar	5
262	ratglock	5
262	jacxhadow	5
262	hxgaser	5
262	ThePoliteG	5
262	ABUSNA1996	5
262	Dnulgreb	5
262	StanceTB	5
262	Cortexia	5
262	crying_wolf_13	5
262	Commander_Ange	5
262	Robby_Cream	5
262	Zerosene	5
262	noam464	5
262	brevcane	5
262	CarltheCuck	5
262	dedgt	5
262	obzkon	5
262	ibarker21	5
262	belly0_0	5
262	Lo_zio_Diego	5
262	thebaddruid	5
262	toastfetchd	5
262	oscminus	5
262	Felenov	5
262	Bak3dPotater	5
262	CHUUUBZZ_99	5
262	ItsAki_	5
