rank	username	minecraft:broken/minecraft:iron_leggings
92	Prismyst	1
92	elleparo	1
92	MOSS000	1
92	Lez_	1
92	Myszoaz	1
92	EliteTrashPanda_	1
92	IgnoredBee	1
92	TheMaster972	1
92	Da_Boss_Rani	1
92	Sleepy_Time_	1
92	ccwildfire1	1
92	beeperbeeper5	1
92	QuiCreans	1
92	FirsTimeGamingTV	1
92	featherflyy	1
92	CaracolCxnt	1
92	Valoth	1
92	dopplexd	1
92	Upstro10	1
92	Malorn_Aetherius	1
92	cheerytomato	1
92	Blackberry1310	1
92	shdesolt	1
92	Cryptacity	1
92	jushykins	1
92	Chickenchaser2	1
92	mattybeewrapss	1
92	bloodbiter	1
92	Ravenbie	1
92	Raspberry_Sodas	1
92	DarkDescent2392	1
92	Gofeeh	1
92	Cortexia	1
92	Guillemet	1
92	Secret_Canary	1
92	SteveCraftBlocks	1
92	FemboyFwuit	1
92	BilboBaggins23	1
92	slkiey	1
92	AngalexikCZ	1
92	Tmb1	1
92	CrookedKaptain	1
92	UncreativeArtist	1
92	Awyrlas	1
92	Dali1465	1
92	orxngejuice	1
92	intropass	1
92	SellyZ	1
92	ciemacigans	1
92	NoxxxxiS	1
92	noam464	1
92	eiC_	1
92	benediktine1	1
92	John6970	1
92	Kakolbus	1
92	Winklepicker279	1
92	Giannism	1
92	legal_tax_evader	1
92	GOOBERGABE04	1
92	CarltheCuck	1
92	valiSW	1
92	okCrypto	1
92	Chromary	1
92	WET_WET_WET	1
92	Arceus1975	1
92	Snowflowe	1
92	Zythose	1
92	DaviusMaximoose	1
92	JitteryJared2	1
92	CrateOfBoxes	1
92	WarMachina	1
92	Rebytre	1
92	Felenov	1
92	Inconvenionce	1
92	ItsAki_	1
92	Moofyman	1
92	epiksk8erduck	1
92	BRRRN179	1
92	Vetral1	1
92	TheShyPig	1
92	Cattoh	1
92	XeroByMyth	1
92	PaperCanvas	1
92	Huic_ostiarius	1
92	Kryktal	1
92	Drewen24	1
92	lizardfightclub	1
92	KliBeast21	1
92	Maenara	1
92	Elastiq	1
92	wezzzi	1
92	420BreadLizard	1
92	Joestra	1
92	_Crimson_Legate	1
92	LeonelSalamanca	1
92	natajimi	1
92	masskedman	1
92	NoChumpChange	1
92	Meepcraft	1
92	Syropatathe	1
92	avalan64	1
92	rotten_mango	1
92	balin55	1
92	Tyrannosplart	1
92	DemTechAlpha	1
92	ebanana	1
92	JESS_THE_RERE	1
92	Bismarck_KMS	1
92	jacobsoy	1
92	NameGenerat0r	1
92	AstreaTSS	1
92	Avocadogerms	1
92	StinkyDiplomat	1
92	Deerfoot	1
92	BigCronkin	1
92	Templar_David	1
92	Blu3beast	1
92	fluddd	1
92	halfbakedlasagna	1
92	ProfessorDiaper	1
92	Typadopoulos	1
92	Matorz	1
92	silverpopcorn	1
92	wwwwinnebagoooo	1
92	Warlord324	1
92	SkateboardR6	1
92	Yahir091	1
92	mihimihimihi	1
92	SUN_DREAM	1
92	_Ruzeeq_	1
92	AvaRosey	1
92	geekbird	1
92	TheDumbHuman	1
92	Lord_Doob	1
92	bruh072	1
92	Ze_BaronKrigler	1
92	NiveauSubmarine	1
92	layabout100	1
92	Razzgriz	1
92	33sudo	1
92	Meeerkat	1
92	LordSpeed37	1
92	Shin69	1
92	bloomkieren	1
92	YungMaki	1
92	Kijiki	1
92	MineMaster0012	1
92	BlankityMcBlank	1
92	EtherealEspresso	1
92	djancak	1
92	Soplight	1
92	tsitrawhy	1
92	jaimshae	1
92	xzvu	1
92	Nekomin0	1
92	infiniteQuery	1
92	Luigipunch989	1
92	Heisenbberrg	1
92	PortlyPete69	1
92	_i_ERROR_i_	1
92	obzii	1
92	Moetis	1
92	MNMann44	1
92	CalebDHawk	1
92	LeeMcGee30	1
92	mawileite	1
92	athereall	1
92	Hermanni__	1
92	Rainaldus	1
92	mobunni	1
