rank	username	minecraft:broken/minecraft:shears
192	stavgod	3
192	SSytex_X	3
192	PlzNoBM	3
192	VentiHilton	3
192	TheOnlyRake	3
192	Biites	3
192	MelodyGaysharks	3
192	00000000-0000-0000-0009-01ff0c3e5e4f	3
224	seanitoo	2
224	_stets	2
224	squigglybones	2
224	dabloons	2
224	FroggoTheDoggo	2
224	hollowww	2
224	I_Am_Mushkin	2
224	TheMilkerOfCats	2
224	bigstankyy	2
224	Natty	2
224	Huwulling	2
224	MoistMicrowave	2
224	Prismyst	2
224	Myszoaz	2
224	Historical_Sand	2
224	DarkFisto	2
224	Nicky_H225	2
224	ProfessorBee	2
224	crying_wolf_13	2
224	Kamflame10	2
224	GLLogan2	2
224	Scathra	2
224	thescout7	2
224	Motsaro	2
224	PegLegPete93	2
224	surfinggiraffejp	2
224	Touched_Bread	2
224	Zaridey	2
224	__Fanda__	2
224	legal_tax_evader	2
224	SlayerCrypto	2
224	Chromary	2
224	_Boipl_	2
224	CaptainDeadBread	2
224	HAIRYCLOUD626	2
224	The_Cruncy	2
224	epiksk8erduck	2
224	Matyyy15	2
224	AlexxO_o	2
224	Drewen24	2
224	AlphaWolfPlaysMC	2
224	ElderRifken	2
224	rotten_mango	2
224	KlausVonStiglitz	2
224	lillips	2
224	GoofyBread	2
224	DarlaMeow	2
224	ewpunk	2
224	weabis	2
224	Nycteus_	2
224	MightyWertu	2
224	SingedBread	2
224	_Meow_Mix	2
224	__hinterland__	2
224	iSammael	2
224	07shiny	2
224	djancak	2
224	xzvu	2
224	CalebDHawk	2
224	Kubeusz2010	2
224	EngagedGrub41	2
224	RadarHz	2
224	Oxygen16	2
224	UrbanPlanningEx	2
288	LordlessAbyss	1
288	Apollo_993	1
288	Cowison	1
288	SmashingPump	1
288	shineh10	1
288	CarsonDoesMine	1
288	q_wq	1
288	EMC_	1
288	6king6colt6	1
288	Sleek_Storm_721	1
288	Creativebuilder2	1
288	ColeSnyder	1
288	BlancoFlaco	1
