rank	username	minecraft:broken/minecraft:iron_boots
119	tuckerdoodle	1
119	RebelAndroid	1
119	baxteerr	1
119	openatheclose	1
119	Franco093	1
119	RoseLilyTV	1
119	BoraMC	1
119	SyntheticSurgeon	1
119	lotarp	1
119	TAKrules	1
119	Huwulling	1
119	_AceOfSpace_	1
119	Reamdin	1
119	ThiccExotic	1
119	ivorico	1
119	Sebaschan__	1
119	Simon_Lowell	1
119	YairZaki	1
119	Prismyst	1
119	elleparo	1
119	Arteriana	1
119	tsohomie	1
119	Lez_	1
119	Myszoaz	1
119	EliteTrashPanda_	1
119	Historical_Sand	1
119	TheMaster972	1
119	Da_Boss_Rani	1
119	ccwildfire1	1
119	FirsTimeGamingTV	1
119	Valoth	1
119	picardred	1
119	dopplexd	1
119	CEOofSHINS	1
119	Upstro10	1
119	Malorn_Aetherius	1
119	Blackberry1310	1
119	ratglock	1
119	shdesolt	1
119	Cryptacity	1
119	jushykins	1
119	BobDeBouwer1337	1
119	Chickenchaser2	1
119	mattybeewrapss	1
119	bloodbiter	1
119	Ravenbie	1
119	o0z	1
119	DarkDescent2392	1
119	Cortexia	1
119	TheThomas69	1
119	Guillemet	1
119	_Nuf	1
119	Sloths_Ender	1
119	Secret_Canary	1
119	eclipseboi	1
119	shyshyannne	1
119	Jokerman369	1
119	G1ldor	1
119	BilboBaggins23	1
119	slkiey	1
119	Smashic	1
119	Tmb1	1
119	Kamflame10	1
119	CrookedKaptain	1
119	thescout7	1
119	Awyrlas	1
119	Dali1465	1
119	fade_emerge78823	1
119	orxngejuice	1
119	Xalithia	1
119	LeauVox4921	1
119	SellyZ	1
119	__TheNorseMan__	1
119	ciemacigans	1
119	NoxxxxiS	1
119	SpicyMeatballs	1
119	ItzYaBoiPicard	1
119	eiC_	1
119	Kubelz	1
119	benediktine1	1
119	Bolete	1
119	DermeinUser	1
119	TableTim	1
119	ZeroAbyssTTV	1
119	Kakolbus	1
119	Ecplosive	1
119	Bazongoman	1
119	mariominejedi	1
119	CollinMH06	1
119	__Fanda__	1
119	legal_tax_evader	1
119	GOOBERGABE04	1
119	CarltheCuck	1
119	valiSW	1
119	MyNameIsJobo	1
119	Jackattack53	1
119	WET_WET_WET	1
119	QueenCamilla	1
119	thewindmillman	1
119	Hyp3rion_	1
119	Zythose	1
119	RefluxRatio	1
119	burbankbuilder28	1
119	DaviusMaximoose	1
119	LAVA129	1
119	JitteryJared2	1
119	CrateOfBoxes	1
119	thebaddruid	1
119	WarMachina	1
119	The_Fulgurator	1
119	SvenskaSara	1
119	nut_e	1
119	Rebytre	1
119	Hiryu27	1
119	lOlmantschi	1
119	TheWildMateo	1
119	DeeDeeThonk	1
119	seramalen	1
119	Shiirazu	1
119	Mattesco	1
119	DanielMmm	1
119	Moofyman	1
119	epiksk8erduck	1
119	BRRRN179	1
119	unren	1
119	SvenskaAlvar	1
119	XeroByMyth	1
119	Huic_ostiarius	1
119	Kryktal	1
119	LilLizardWizard	1
119	Kim_Jong_eel	1
119	Drewen24	1
119	KliBeast21	1
119	Maenara	1
119	IamCL4SSY	1
119	ADEXTV	1
119	Nicky19	1
119	ILoveCarrot	1
119	TheTrueClipse	1
119	420BreadLizard	1
119	olmul	1
119	Joestra	1
119	_Crimson_Legate	1
119	binman420	1
119	natajimi	1
119	NomadicRobin_	1
