rank	username	minecraft:mined/minecraft:black_shulker_box
100	gcaisawesome	63
100	lordpipe	63
100	pixelviolin	63
104	Racengan	62
105	mwrty	61
106	fade_emerge78823	59
106	yheece	59
106	iSammael	59
109	eitanzaki	55
110	Alteriity	53
110	xxPipperDipperxx	53
110	xzvu	53
113	Steelynan	52
114	QuiCreans	51
115	Ecplosive	49
115	AlexxO_o	49
117	Myszoaz	48
117	Awyrlas	48
117	Soplight	48
117	robonya_	48
121	shadowthemonkey	47
121	cedric72	47
121	_flud	47
124	milltesco	45
125	Fullut	44
126	Huwulling	43
126	Marbz_	43
126	taengoos	43
129	MattieHD	42
130	xPixelRainx	41
130	Megarboh	41
130	KingMatthew506	41
133	PigDab	40
134	Kamflame	39
134	ConnorDanky_	39
136	robertsnose	38
136	NameGenerat0r	38
138	ImpavidArcher	36
138	seramalen	36
140	Lazy_geniusig	35
140	weabis	35
140	Dogcorn69420	35
143	HUNTERmaun	34
143	corvidpartyfor6	34
143	Hoid_the_Roamer	34
143	Jekyll	34
143	geekbird	34
148	Iagoku	33
148	TheBananaKat	33
150	NotP0tato	32
150	jushykins	32
150	U_Mos_	32
150	Hahaa_0	32
150	_TCARREIRA_	32
155	ChronoSounds	30
156	Inchef	29
156	Elastiq	29
156	Yamdalorian	29
159	ShedJr_	28
159	joethahobo	28
159	NieToksikpl	28
159	MustaLoordi	28
159	Warlord324	28
164	livingdaydreams	27
165	Mr_Byzantine	26
165	TooManyDuck	26
165	cutelilreno	26
165	Barlycorn	26
169	Quincannon	25
169	QuesoCrusaderIII	25
171	thescout7	24
171	Di_infiri	24
171	OreTheBear	24
171	Airem_Core	24
175	Jindong	23
175	_MeowMix	23
175	TheKingK_	23
175	es0th	23
175	FishisTTV	23
175	diggydog67	23
181	SellyZ	22
181	__Fanda__	22
181	fffMike	22
181	DairyNickel756	22
185	RoskobiOne	21
185	Swexti	21
187	TheWickedBird	20
188	powercas_gamer	19
188	Gregward_Smith	19
188	Mewar	19
188	Nicserso	19
192	Merv__	18
192	Noah_Bez	18
192	MC_Skribble	18
192	TechnoNinja64	18
196	PhantomsGhost_	17
196	skroobiez	17
196	Crowman1	17
196	SteveCraftBlocks	17
196	lorpus	17
196	thatbeanyboi	17
196	zToasty69z	17
196	Pumpkin_P_Patch	17
196	Njensen7	17
196	Legendosh	17
206	Crowvens	16
206	CLG_Kata	16
206	TAKrules	16
206	titanlax	16
206	Studio4x32	16
206	Motsaro	16
206	ZeroKraken	16
206	2blox_	16
214	ColeSnyder	15
214	Jiminbub	15
214	Smiguli_	15
217	I_Am_Mushkin	14
217	Caribouse	14
217	StanceTB	14
217	King_Pancake1	14
217	SolarKar	14
217	Nicky19	14
217	masskedman	14
217	SpacesickPrism	14
217	ZoomieZoomie	14
226	Ssor69	13
226	Jimi7hits	13
226	djancak	13
226	Eczbek	13
230	shineh10	12
230	obzii	12
232	wx4z	11
232	EveryonesUncle	11
232	stavgod	11
232	TheEnderMan548	11
232	h2p_emrld	11
237	ssleepless	10
237	MSK__	10
237	bl1ss0	10
237	CosmicStardustt	10
237	Blu3beast	10
237	FelixPSY375	10
243	BadenOnGod	9
243	BPTY4618	9
243	bigstankyy	9
243	Sleepy_Evelyn	9
243	Kkanot	9
243	Kakolbus	9
243	yb0e	9
243	Drewen24	9
243	lizardfightclub	9
243	audiocracked	9
243	StinkyDiplomat	9
254	Archsam	8
254	Saucepeh	8
254	mariominejedi	8
254	IamCL4SSY	8
254	EdGalbraith	8
254	DTwenty	8
254	Fuad_R	8
254	1442	8
254	_i_ERROR_i_	8
263	Seyaboy	7
263	DisgruntledKoala	7
263	eli_tschki	7
263	Jonafrog99	7
263	Razzgriz	7
263	calamariclam_I	7
269	Bandito_Roamer	6
269	peach0s	6
269	m_be9	6
269	knarian	6
269	GoofyBread	6
269	TheTommyGun63	6
269	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	6
269	Sheldor097	6
269	CattSoup	6
278	seanitoo	5
278	_Virify_	5
278	_Huge_Male_	5
278	MixerDixer	5
278	Hpdinosaur	5
278	Batman922	5
278	SpaceGrenadier	5
278	Zxhir	5
278	hydrothebot	5
278	_Nuf	5
278	DemTechAlpha	5
278	DarlaMeow	5
278	Buuck_	5
278	ItsDeltaMC	5
292	q_wq	4
292	Houstonion	4
292	catandmoose	4
292	_HoneySlime_	4
292	TheDiamondCG	4
292	YodaBula	4
292	Flapjacker687	4
292	SirSpace	4
292	Solar_Power	4
