rank	username	minecraft:mined/minecraft:tall_seagrass
202	NatalieTW	12
202	Congrosium	12
202	Matte__	12
202	Kubelz	12
202	GoofySilly	12
202	Decaying_Lotus	12
202	GlitchyPlate810	12
209	BlancoFlaco	11
209	wwwwinnebagoooo	11
209	Optiprimus	11
209	jcool7	11
209	LeeMcGee30	11
214	Wooptey	10
214	IWorkAtIkea	10
214	BobDeBouwer1337	10
214	shrimp_flips	10
214	ScarmedLeft	10
219	teslawolf38	9
219	Tommhh	9
219	Spaghettatron	9
219	Base_Tempest	9
219	Whiterooster001	9
219	paranoid_plant	9
219	TheDankPlatypus	9
219	ApophisNova	9
219	Keith_Stark	9
219	iElijah	9
219	Dan_Scha	9
219	RadarHz	9
219	MyNamaSheff	9
232	JohnnyFyes	8
232	dimondking777	8
232	shineh10	8
232	LandnMinecrft	8
232	SteveCraftBlocks	8
232	benediktine1	8
232	out1s	8
232	AlexxO_o	8
232	fxiryglitch	8
232	MightyWertu	8
232	extralargenose	8
232	smogfrog	8
232	Weepingbiel	8
232	00000000-0000-0000-0009-01f073f37a91	8
246	Merv__	7
246	AuroraValkyrie	7
246	I_Am_Mushkin	7
246	Masssonnn	7
246	SvenskaSara	7
246	dezxalo	7
246	SaintJosie	7
246	420BreadLizard	7
246	MyNameIsDakar	7
246	Toriankel	7
246	monky_irl	7
246	SvenskaHugo	7
246	ChazzaHodge13	7
246	Iamthejo	7
246	sideofbbq	7
246	cichy096	7
262	_Huge_Male_	6
262	CadenSteele	6
262	Killercatty78	6
262	1dss	6
262	Ryker	6
262	SyntheticSurgeon	6
262	jacxhadow	6
262	olliebollie48	6
262	wilgot_	6
262	F_Uhre	6
262	unren	6
262	Veillax135	6
262	MinuteMira	6
262	the__Reaper4999	6
262	ZoharGoldMine	6
262	EtherealEspresso	6
278	Flores991	5
278	Crowman1	5
278	4383	5
278	UncreativeArtist	5
278	Dali1465	5
278	himak1	5
278	Covalents	5
278	Paintz	5
278	purpolepickle	5
278	SeverianTheLame	5
278	CarltheCuck	5
278	xambsam	5
278	mexicancharlie	5
278	Jeteight	5
278	Moofyman	5
278	Leyna3	5
278	FreddyFart	5
278	Gryglu583	5
278	StinkyDiplomat	5
278	verynothing	5
278	MineMaster0012	5
278	Soplight	5
278	Nekomin0	5
