rank	username	minecraft:mined/minecraft:iron_block
83	MirielThePastor	1282
84	Shogunite	1260
85	Lord_Jord	1251
86	Steelynan	1237
87	Manaateee	1235
88	Inbefour	1227
89	Smashic	1202
90	_Nuf	1189
91	luseis	1160
92	xxPipperDipperxx	1141
93	SuperPooch06	1132
94	Maenara	1122
95	El_Jalapeno	1099
96	vandmanden	1094
97	catandmoose	1074
98	ZeroKraken	1065
99	_Virify_	1051
100	Quotary	1040
101	Nycteus_	1020
102	XboxPanda	1014
103	Jimi7hits	1000
104	2blox_	999
105	mihimihimihi	998
106	Huwulling	995
106	r123moore	995
108	Historical_Sand	993
109	ImpavidArcher	992
110	Racengan	990
111	Awyrlas	981
112	ROY4LE	980
113	jnp_gaming	964
114	ExtraDumb	954
115	weabis	931
116	WET_WET_WET	924
116	thewindmillman	924
116	Corbsman	924
119	__tomato	913
120	alderban107	911
121	tuckerdoodle	907
122	Jonafrog99	896
123	PhantomsGhost_	884
124	SkateboardR6	878
125	Soplight	865
126	ssleepless	847
127	TooManyDuck	844
128	obzii	843
129	Fullut	837
130	MoistMicrowave	834
131	HesDemonPants	799
132	oscminus	795
132	Strangemonkey71	795
134	gaziter10	790
135	claivin	787
136	Sheldor097	781
137	Rasmanden	777
138	Rumpletaezer	770
139	kekhon	769
139	lillips	769
141	little_dUki	747
142	Crowman1	732
143	GoofyBread	722
144	stavgod	721
145	groofles	720
146	_8man	715
147	hanaryheatwave	704
148	trexgb	703
149	Groovy_MoonBird	696
150	Njensen7	695
151	Incinere	692
152	ConnorDanky_	688
153	EngagedGrub41	687
154	iSammael	672
155	FishyBoy3811	671
156	I_Am_Mushkin	663
157	Zythose	658
158	ogoa	650
159	The_slideV3	646
160	soundad	644
161	FishisTTV	638
162	Xclax101	631
163	Mewar	630
164	h2p_emrld	627
165	TechnoNinja64	626
166	Euclidoris	617
167	Soap_Bender	598
168	Onennon	588
169	SingedBread	586
170	RebelAndroid	583
171	Badenbeele	579
172	Lez_	563
173	Hisiste	549
174	AlphaWolfPlaysMC	541
175	himak1	535
176	RobotMinion101	531
177	Rocco_Lane	530
178	SDMNAEK	526
179	lotarp	525
180	Lutres_	521
181	Solar_Power	520
181	FelixPSY375	520
183	UrbanPlanningEx	511
184	T045RTY	504
185	wezzzi	495
186	Winston_Ingram	494
187	yheece	479
188	Eraxa	478
189	ProfessorBee	474
190	DanTheBuilderino	473
191	Gundam_Steven	464
191	500am	464
193	Ssor69	453
193	Elastiq	453
195	StinkyDiplomat	448
196	SyntheticSurgeon	445
196	Airem_Core	445
198	AuroraValkyrie	442
199	lcvezra	440
200	ECstardust	434
201	Syropatathe	422
202	non089	416
203	The_Quack_Dealer	407
204	NoChumpChange	396
205	FirsTimeGamingTV	381
206	Truckoss	380
207	RIPB0ZO	379
208	CollinMH06	368
209	NinjaKnifeKill	359
210	_i_ERROR_i_	353
211	yulgur1	352
211	Deodorante	352
213	Kowcio_	350
214	cog	348
215	MixerDixer	347
216	07shiny	346
217	theonlymagikarp	344
218	mattybeewrapss	342
218	SellyZ	342
220	emrekn	341
220	Deathkob	341
222	Zedducius	334
222	pappaberg	334
224	Afinnity	333
225	KliBeast21	332
226	H0UNDFRMH3LL	330
226	SexcMf	330
228	Mistruth	329
228	Aryamanee	329
230	YungWali	328
231	Alteriity	325
232	surfinggiraffejp	324
233	TheWildMateo	319
234	Hiryu27	311
235	ClemenPine	301
236	DTwenty	300
237	oreee	294
238	Steve897	290
239	PlzNoBM	288
240	Cocoamallows	284
241	Powowowow	283
242	RoskobiOne	277
243	OrewaSora	276
244	lorpus	265
245	Arceus1975	264
246	_stets	259
247	RadarHz	256
248	diamondgolem35	254
248	fkGrim	254
250	IamCL4SSY	251
251	anbbang	238
252	Chromary	237
253	MakeHistory157	234
254	Bumpy419	233
255	sp00ky_ghost977	231
256	TwinkBreeder	230
257	NatalieTW	227
258	_TCARREIRA_	226
259	Z3braYTIL	221
260	Rebytre	219
261	WigglyMustard	218
262	diggydog67	217
263	ShedJr_	216
264	DemTechAlpha	215
265	paranoid_plant	214
266	PegLegPete93	213
267	domagawha	209
268	TheShyPig	205
269	Druid95	204
270	Ryan_GEMS	203
271	abramgray	201
272	Eczbek	197
273	drumine	194
273	skrongus	194
275	MattieHD	192
275	BumbleBeever	192
277	Dogcorn69420	191
278	Octatrack	188
279	ITDV	187
280	jushykins	183
281	Luminad3	182
282	_Meow_Mix	181
283	ReSynced	180
284	Houstonion	179
285	valkam13	176
285	tsitrawhy	176
287	Xalithia	173
287	benediktine1	173
289	Zaridey	172
289	Jonte0599	172
289	Kyrum2169	172
292	dawerty	171
292	DaviusMaximoose	171
294	audiocracked	170
294	ElKaySVK	170
294	Kura2218	170
297	NotMeanttoChange	169
298	6king6colt6	168
299	MinttyFressh	167
299	TheThomas69	167
