rank	username	minecraft:mined/minecraft:dirt_path
204	HesDemonPants	7
208	q_wq	6
208	lizardfightclub	6
208	DTwenty	6
208	MAns_44	6
208	starbits140	6
208	SpicyDuckMan	6
208	Eczbek	6
208	Lowjinx	6
208	trexgb	6
217	SteveCraftBlocks	5
217	Nach0Bear	5
217	orxngejuice	5
217	eviltunix	5
217	monky_irl	5
217	sp00ky_ghost977	5
217	SvenskaHugo	5
217	tsitrawhy	5
217	lcvezra	5
226	Kubelz	4
226	Queen_Jalapeno	4
226	ToastedGamingYT	4
226	MineMaster0012	4
226	brofrickcheaters	4
226	Njensen7	4
226	Dr0xzy	4
233	littlesophiagirl	3
233	TheMilkerOfCats	3
233	Laykon	3
233	mimbo1211	3
233	bpmm	3
233	Deodorante	3
233	SingedBread	3
233	mobunni	3
241	_stets	2
241	hm947	2
241	heckface	2
241	Chickenchaser2	2
241	Scathra	2
241	theonlymagikarp	2
241	The_Fulgurator	2
241	regulator75	2
241	Shiirazuku	2
241	Mattesco	2
241	Zielo2017PL	2
241	Gmoney390	2
241	sammidk	2
241	ogoa	2
241	DarlaMeow	2
241	RoBe__	2
241	BumbleBeever	2
241	Sepulcro	2
241	Toriankel	2
241	TheTommyGun63	2
241	Bonzaidalek	2
241	ElectricDragon81	2
241	IdeallyGrey	2
241	skonos	2
241	VentiHilton	2
241	tartanboy	2
241	Quotary	2
241	CrazyPotater	2
241	obtusely	2
270	susbakaimpostor	1
270	fanofbands101	1
270	Ev0luti0nz	1
270	Drlzyy	1
270	Nesquiczek	1
270	jimbo61101jr	1
270	Minimize501	1
270	RatatJuice	1
270	Flores991	1
270	TAKrules	1
270	Myszoaz	1
270	oreee	1
270	ccwildfire1	1
270	Nicky_H225	1
270	Masssonnn	1
270	Gamergirl420628	1
270	Justins_Juliet	1
270	CrateOfBoxes	1
270	Flucxks	1
270	CruncyIsTaken	1
270	Truckoss	1
270	KartivGal	1
270	HolyVenom	1
270	Toasty_Tom	1
270	fw3xywashere	1
270	420BreadLizard	1
270	yulgur1	1
270	TheSeismicDuck	1
270	masskedman	1
270	The_Quack_Dealer	1
270	ebanana	1
