rank	username	minecraft:mined/minecraft:stone_brick_wall
136	MyNamaSheff	20
141	Shogunite	19
141	FlashMigma	19
141	Matorz	19
144	bloodbiter	18
144	Rich_Kat	18
144	Mewar	18
144	Kynigito	18
144	NoChumpChange	18
144	drumine	18
144	RedcatVII	18
144	monky_irl	18
152	Flores991	17
152	NameGenerat0r	17
152	Ze_BaronKrigler	17
152	stavgod	17
156	mwrty	16
156	DarkS0L	16
156	MineMaster0012	16
156	lcvezra	16
160	Hiryu27	15
160	The11thDoctor	15
160	fkGrim	15
163	RatatJuice	14
163	H72l9w	14
163	Ozixar	14
163	Inchef	14
163	__tomato	14
163	Quotary	14
169	set67	13
169	MyNameIsJobo	13
169	yaboo88	13
169	ooga47	13
169	Jaka_Saurus_715	13
169	Skippeh	13
175	The_Dark_One_00	12
175	UncreativeArtist	12
175	2Stout	12
175	valkam13	12
175	Leithz6	12
180	Tolhart	11
180	RebelAndroid	11
180	luvphan	11
180	RefluxRatio	11
184	Dedalus36	10
184	SaucyDark	10
184	killmeiamtraitor	10
184	DC_XII	10
184	Akoot_	10
184	Chayula	10
184	pk1297	10
184	TechnoNinja64	10
192	AlazelTheReal	9
192	NoxxxxiS	9
192	whoaluv	9
192	DemTechAlpha	9
192	Zetsey	9
192	yatsuta	9
192	TheRealHi	9
199	Cartoonmaniac	8
199	slkiey	8
199	NomadicRobin_	8
199	KlausVonStiglitz	8
199	brofrickcheaters	8
199	CalebDHawk	8
205	TildaAndrea	7
205	Karetoko	7
205	SuperPooch06	7
205	lordpipe	7
205	Nicserso	7
205	HesDemonPants	7
211	SquadMonster	6
211	FennYuzuna	6
211	chipklip	6
211	cog	6
211	SingedBread	6
211	djancak	6
217	Groovy_MoonBird	5
217	CoffeeNoir	5
217	awesomeoneme	5
217	Sebaschan__	5
217	M_Patata	5
217	SeverianTheLame	5
217	wrinkledpiglet	5
217	TTNG	5
217	silverpopcorn	5
217	MovingFish7	5
217	ReyTheLegend	5
217	cichy096	5
229	Sleek_Storm_721	4
229	KarlKaek	4
229	Malorn_Aetherius	4
229	emrekn	4
229	killerzant	4
229	MonitorLizards	4
229	Jiminie	4
229	BumbleBeever	4
229	MakeHistory157	4
229	striker90333	4
229	MissCeleste7	4
229	YoshikageBites	4
241	EMC_	3
241	Wooptey	3
241	jushykins	3
241	Aatronix1	3
241	Ecplosive	3
241	Hyp3rion_	3
241	dendydoom	3
241	Wowful	3
241	LexMakesHistory	3
241	censorsheep	3
241	Nekomin0	3
252	RosaDoesMC	2
252	Tommhh	2
252	Nesquiczek	2
252	T045RTY	2
252	joethahobo	2
252	titanlax	2
252	SteveCraftBlocks	2
252	NoraTheYandere	2
252	Awyrlas	2
252	Hoshi	2
252	r123moore	2
252	IceYoung	2
252	Matek_	2
252	UncleDanDan	2
252	iTurbo	2
252	selectrix	2
252	Kouridragon	2
252	masskedman	2
252	_Bguette_	2
252	pixelviolin	2
252	stellarjay	2
252	SammiWolfGirl	2
252	obzii	2
252	Ir0npack	2
252	MilleGrug	2
252	_3Stump_	2
252	Powowowow	2
279	SaltineDream	1
279	Crowvens	1
279	_stets	1
279	AgressiveEggdog	1
279	KomputerDude	1
279	MOSS000	1
279	LoboTheLobster	1
279	heckface	1
279	BobDeBouwer1337	1
279	eclipseboi	1
279	shyshyannne	1
279	CarbonatedCola	1
279	Septemb3r	1
279	dedgt	1
279	Rumpletaezer	1
279	Voxin2K	1
279	Waffleman258	1
279	HolyVenom	1
279	lillips	1
279	Quincannon	1
279	Quaintster	1
279	TiborSterle	1
