rank	username	minecraft:mined/minecraft:spruce_stairs
101	fragrantmonke444	263
103	abdomera	261
104	pixelviolin	260
105	StarCookiees_	258
106	Fildyr	254
107	RebytreGT	253
108	TooManyDuck	247
109	Nicserso	242
110	prizm_	241
110	BartekB19	241
112	Akoot_	238
113	crashomon	230
114	SuperPooch06	227
115	PortlyPete69	223
116	gaziter10	222
117	12Magner05	221
118	Jackattack53	216
119	Blu3beast	215
119	ProfessorDiaper	215
121	Xclax101	212
122	MakeHistory157	211
123	Lukeee33	210
124	Groovy_MoonBird	208
124	RobotMinion101	208
126	jacxhadow	205
126	Luigipunch989	205
128	pappaberg	203
128	seramalen	203
130	Smashic	200
131	Skippeh	197
132	CLG_Kata	194
133	oscminus	193
134	MattieHD	188
135	G1ldor	186
136	monolu	185
137	krutas2000	181
138	wwwwinnebagoooo	180
139	soundad	179
140	hm947	176
141	BlancoFlaco	175
142	U_Mos_	173
142	Werbe	173
144	weabis	168
145	Gregward_Smith	167
145	yatsuta	167
147	Jackster03	165
148	the_russell1611	164
148	Lord_Doob	164
150	purpolepickle	163
150	Shavrin	163
152	Gzrdy	162
153	_Cloverbelle_	161
154	ratglock	160
155	QuiCreans	159
155	layabout100	159
157	Sleepy_Evelyn	157
158	SkateboardR6	156
159	livingdaydreams	154
160	_stets	153
161	Swexti	151
161	TheWildMateo	151
163	ROY4LE	147
164	NoxxxxiS	146
164	Fuad_R	146
166	Ryan_GEMS	144
166	CoffeeNoir	144
166	Spacewardharpy7	144
166	TheWickedBird	144
170	6king6colt6	143
171	Myszoaz	140
171	Quincannon	140
173	claivin	136
174	Tersea_	134
174	Shogunite	134
176	eitanzaki	133
176	zorin123	133
178	Cowison	132
179	Queen_Jalapeno	131
180	SammiWolfGirl	128
181	Quotary	127
182	Hahaa_0	125
182	Avocadogerms	125
184	_i_ERROR_i_	123
185	k_ce	121
185	Cryptacity	121
185	gcaisawesome	121
188	halfbakedlasagna	120
189	Fakiuss	119
190	RoskobiOne	118
190	Sheellky	118
192	fffMike	117
193	MinttyFressh	116
194	CattSoup	115
195	PigDab	114
195	ChocolatePepsi	114
197	JoCoLi	113
198	Spenduh	112
198	MilleGrug	112
200	ProbablyNick	111
201	noam464	110
202	ogoa	109
202	majlin16	109
204	Jimi7hits	108
205	FadedSpade82	107
206	Malorn_Aetherius	106
206	Megarboh	106
206	StinkyDiplomat	106
209	TheRealAndrin	105
209	07shiny	105
211	CarryLine	103
212	SnowyAvi	102
212	Crowman1	102
212	2Stout	102
215	NotMeanttoChange	101
215	xFaiithyX	101
215	Bloo2406	101
215	Powowowow	101
219	obzii	99
220	SaltineDream	98
220	Septemb3r	98
220	Biites	98
223	wrinkledpiglet	97
224	gabukun_	96
224	SvenskaSara	96
224	laron58	96
227	groofles	94
227	pretty_pink_reno	94
229	thebaddruid	92
229	taengoos	92
231	SOA1RR	91
232	H0UNDFRMH3LL	90
233	BeardBois	89
234	nattybears	88
235	OreTheBear	87
236	ImDisconnected_	86
236	MinuteMira	86
236	bitsplease	86
239	imcombxt	85
240	XxCookiequeenxX	84
240	MAns_44	84
242	Snow_Blizzard	83
243	EdGalbraith	82
244	CrookedKaptain	81
245	AlazelTheReal	80
245	Eczbek	80
247	Matyyy15	79
248	lorpus	78
248	ZoomieZoomie	78
250	VentiHilton	76
251	SpicyMeatballs	75
251	JETrotter	75
253	__tomato	74
254	Lutres_	73
254	ItsJunoIGuess	73
256	SpaggeDR	72
256	epiksk8erduck	72
256	Fuhrer_Teemo	72
259	Sleek_Storm_721	71
259	roxycherry	71
259	Hyp3rion_	71
262	Incinere	70
262	OfficerAnvil	70
264	Felenov	69
264	Soap_Bender	69
264	Kubeusz2010	69
267	DarlaMeow	68
267	Dreamdbr14	68
269	Froste131	67
269	Klerick	67
269	LazySupport00	67
272	AlexxO_o	66
273	Choco_Spy	65
274	elleparo	63
274	Kamflame	63
274	LeauVox4921	63
274	DizzleJay311	63
278	Creativebuilder2	62
278	SquadMonster	62
278	intropass	62
278	Covalents	62
282	titanlax	61
282	NameGenerat0r	61
282	CalebDHawk	61
285	Blaiku	59
286	skroobiez	58
286	BlankityMcBlank	58
286	_KuruKuru	58
286	TechnoNinja64	58
290	Alteriity	57
290	IWorkAtIkea	57
292	whoaluv	56
292	kyouma777	56
294	dabloons	55
294	fr0stss	55
294	SlayerCrypto	55
294	corpsecity	55
294	vandmanden	55
299	Pelbo	53
299	elliebelle107	53
