rank	username	minecraft:mined/minecraft:note_block
156	excelsionprime	2
156	Paintz	2
156	yheece	2
156	hanaryheatwave	2
156	WET_WET_WET	2
156	Krowuss	2
156	grislgrobl	2
156	selectrix	2
156	GooseWithin	2
156	audiocracked	2
156	master9067	2
156	RaahLowe	2
156	SwooshBoi	2
156	ItsDeltaMC	2
156	stavgod	2
156	Soul_Atreus	2
156	Kyrum2169	2
156	NATE_the_HALO	2
156	PlzNoBM	2
156	Kferno	2
156	Winston_Ingram	2
156	mawileite	2
156	Quotary	2
156	FelixPSY375	2
156	Enderxz3	2
188	Apollo_993	1
188	ECstardust	1
188	KingFaenor	1
188	ImpavidArcher	1
188	dongli	1
188	Hpdinosaur	1
188	Incinere	1
188	ivorico	1
188	fr0stss	1
188	Ssor69	1
188	rarrq	1
188	Vizzoid	1
188	featherflyy	1
188	Prodiginus	1
188	Blackberry1310	1
188	Cryptacity	1
188	Megarboh	1
188	_Dean_123	1
188	Austine6698	1
188	Kkanot	1
188	mwrty	1
188	lorpus	1
188	fade_emerge78823	1
188	Motsaro	1
188	SellyZ	1
188	DSYisDizzy	1
188	theonlymagikarp	1
188	eiC_	1
188	arcanemagic	1
188	Zaridey	1
188	ImDisconnected_	1
188	SlayerCrypto	1
188	Ahketen	1
188	mick407	1
188	Jonafrog99	1
188	Zythose	1
188	MaGro2010	1
188	Nyxiom_	1
188	_Boipl_	1
188	Rebytre	1
188	Hiryu27	1
188	Skylord_Luke	1
188	ApophisNova	1
188	Leyna3	1
188	sxc_	1
188	ILoveCarrot	1
188	TheTrueClipse	1
188	_Crimson_Legate	1
188	rotten_mango	1
188	ClimbingGrandad	1
188	JESS_THE_RERE	1
188	1442	1
188	Quincannon	1
188	DASH_X7	1
188	ReflexCode	1
188	El_Jalapeno	1
188	Steve897	1
188	Fildyr	1
188	Warlord324	1
188	Airem_Core	1
188	TheTommyGun63	1
188	IAmTheWalrus910	1
188	33sudo	1
188	Kura2218	1
188	Eraxa	1
188	Sank34	1
188	YummyBaculum	1
188	yatsuta	1
188	tsitrawhy	1
188	_i_ERROR_i_	1
188	obzii	1
188	EngagedGrub41	1
188	cichy096	1
188	MyNamaSheff	1
188	Smaldo	1
188	MrMeisterProper	1
188	Powowowow	1
188	Yahrto	1
188	JayToe	1
188	diggydog67	1
