rank	username	minecraft:mined/minecraft:stone_brick_stairs
274	Yahir091	46
278	TildaAndrea	45
278	killmeiamtraitor	45
278	XxCookiequeenxX	45
278	Jaka_Saurus_715	45
278	Quaintster	45
283	Tobinator_007	44
283	theonlymagikarp	44
283	NoxxxxiS	44
283	Sky_light_KING	44
283	HesDemonPants	44
288	Drlzyy	43
288	Rebytre	43
290	Ardennes	42
290	TableTim	42
290	LordSpeed37	42
290	Slapface522	42
290	Calbo_	42
295	toj__	41
295	SuperPooch06	41
295	OfficerAnvil	41
298	MrExplorer	40
298	LAVA129	40
298	sxc_	40
