rank	username	minecraft:mined/minecraft:stripped_spruce_log
105	Quotary	68
108	groofles	66
109	DinoDoctor_	65
110	LexMakesHistory	62
111	SammiWolfGirl	58
112	_Karmaa	55
113	prizm_	53
114	PegLegPete93	52
115	Felenov	50
115	Smoke____	50
117	Jackattack53	49
118	Jeteight	48
118	NameGenerat0r	48
120	Spacewardharpy7	45
121	rachcl	43
121	iSammael	43
123	Zlatovlas	42
124	TheSecondLord	41
124	12Magner05	41
124	valkam13	41
127	RodSerlingCringe	40
127	Soap_Bender	40
127	halfbakedlasagna	40
130	CoffeeNoir	39
130	Frozil12	39
130	Poppy235	39
133	2blox	38
134	lcvezra	37
135	BlueZabu	36
135	SlayerCrypto	36
135	Rumpletaezer	36
138	Zythose	35
138	Racengan	35
140	sp00ky_ghost977	34
141	okCrypto	33
141	Onennon	33
141	H_Biscuit	33
141	Freak_Genius	33
145	Mattesco	32
145	07shiny	32
145	oxfordschool	32
148	MightyWertu	30
149	Arceus1975	29
149	TheOuterCore	29
151	Incinere	28
151	Ryker	28
151	burbankbuilder28	28
151	Skylord_Luke	28
155	fffMike	26
156	NomadicRobin_	25
156	El_Jalapeno	25
156	CSG_Haru	25
159	Cowison	24
159	Cartoonmaniac	24
159	diggydog67	24
162	hm947	23
162	RebelAndroid	23
162	MattieHD	23
162	PortlyPete69	23
166	zielkairos	22
166	Jimi7hits	22
166	Deerfoot	22
169	egglapras	21
169	Vetral1	21
169	Shavrin	21
169	Nycteus_	21
169	SkateboardR6	21
169	Paigefly	21
169	UCP_TheKingK	21
176	ChosenBruh	20
176	SpicyMeatballs	20
176	ehunt54	20
176	xof_on_microwave	20
180	Hpdinosaur	19
180	Guillemet	19
180	ReyTheLegend	19
180	monolu	19
180	YoshikageBites	19
185	Hyp3rion_	18
185	regulator75	18
185	SexcMf	18
185	MineMaster0012	18
189	SDMNAEK	17
189	YungJakobo	17
189	Th6masss	17
192	Tommhh	15
192	SquadMonster	15
192	Xalithia	15
192	pappaberg	15
192	TTNG	15
192	YungMaki	15
192	Skippeh	15
192	TechnoNinja64	15
200	Myszoaz	14
200	Cambo5000	14
200	CrookedKaptain	14
200	gcaisawesome	14
200	XboxPanda	14
200	Solar_Power	14
200	RobotMinion101	14
200	KartivGal	14
200	MAns_44	14
209	Frozt99	13
209	Adlair	13
209	mwrty	13
209	_Bguette_	13
209	The_slideV3	13
214	Begformurrcy	12
214	corvidpartyfor6	12
214	Eman__1	12
214	gabriels543	12
214	SuperPooch06	12
214	HolyVenom	12
214	Hail_the_wombat	12
214	Smiguli_	12
214	Kiki_Majiki	12
223	Menthas	11
223	bigstankyy	11
223	Dedalus36	11
223	Hanselhoof	11
223	PigDab	11
223	FishyBoy3811	11
223	erkada	11
230	Honor555	10
230	ozekigod	10
230	HellsSponge	10
230	RedcatVII	10
230	Spenduh	10
230	OfficerAnvil	10
236	Cryptacity	9
236	eiC_	9
236	0nly_sn1per	9
236	CruncyIsTaken	9
236	Maenara	9
236	chipklip	9
236	MovingFish7	9
236	sleepdrifter_	9
244	seanitoo	8
244	livingdaydreams	8
244	Icyyyyy	8
244	Fuhrer_Teemo	8
244	ewpunk	8
244	Kubeusz2010	8
244	BreadBacon	8
251	Silenttieg	7
251	FirsTimeGamingTV	7
251	whoaluv	7
251	thewindmillman	7
251	rotten_mango	7
251	KermitTheKripple	7
251	00000000-0000-0000-0009-01f16526f034	7
258	_stets	6
258	ExtraDumb	6
258	Flores991	6
258	T045RTY	6
258	Winklepicker279	6
258	Marbz_	6
258	Drewen24	6
258	Quaintster	6
258	MilleGrug	6
267	smokindix	5
267	Ardennes	5
267	_Kadian_	5
267	Bucscw24	5
267	Snowflowe	5
267	Will_Bee	5
267	DC_XII	5
267	Blaiku	5
267	wwwwinnebagoooo	5
267	cytotoxaint	5
267	alderban107	5
267	HesDemonPants	5
267	Powowowow	5
280	teslawolf38	4
280	AES784	4
280	Arteriana	4
280	ShedJr_	4
280	viziqs	4
280	Masssonnn	4
280	Bobby808	4
280	ROY4LE	4
280	2Stout	4
280	Gamergirl420628	4
280	HoltGrim	4
280	Minc_	4
280	Bumpy419	4
280	nut_e	4
280	selectrix	4
280	k1ngGilgamesh	4
280	fred870d	4
280	EfficientC52	4
280	SingedBread	4
280	xyfrs	4
280	Nekomin0	4
