rank	username	minecraft:mined/minecraft:dark_oak_sign
132	RebelAndroid	3
132	ShedJr_	3
132	AngalexikCZ	3
132	mwrty	3
132	olliebollie48	3
132	mimbo1211	3
132	Ecplosive	3
132	crashomon	3
132	SuperPooch06	3
132	hanaryheatwave	3
132	CranialBlowout	3
132	Kynigito	3
132	_Cloverbelle_	3
132	FishyBoy3811	3
132	theofiel	3
132	wirelesstree	3
132	BRICS	3
132	NomadicRobin_	3
132	audiocracked	3
132	Sorry_Arey	3
132	SingedBread	3
132	CheifJumbo	3
132	MakeHistory157	3
132	Kura2218	3
132	Pumpkin_P_Patch	3
132	BlankityMcBlank	3
132	Spenduh	3
132	Luigipunch989	3
132	KingMatthew506	3
132	Eczbek	3
132	Kubeusz2010	3
132	Skippeh	3
132	FGamerJ	3
132	Powowowow	3
132	00000000-0000-0000-0009-01f16526f034	3
172	itay69696969	2
172	Jalvajar	2
172	LittleBug562	2
172	Frozil20	2
172	CompAir	2
172	jimintyy	2
172	lorywithay	2
172	Prismyst	2
172	MSK__	2
172	heckface	2
172	Papudron	2
172	titanlax	2
172	NieToksikpl	2
172	mattybeewrapss	2
172	Tiberonus	2
172	MattieHD	2
172	_HoneySlime_	2
172	SteveCraftBlocks	2
172	redikul	2
172	set67	2
172	intropass	2
172	TheDankPlatypus	2
172	fallingemma	2
172	Chromary	2
172	Skylord_Luke	2
172	Cruncy_	2
172	dartwaffle	2
172	thgrocks	2
172	EdGalbraith	2
172	lunkuku	2
172	Ze_BaronKrigler	2
172	Optiprimus	2
172	Segotep999	2
172	SpacesickPrism	2
172	ZeroKraken	2
172	taengoos	2
172	JasmineGK	2
172	Sral7	2
210	RosaDoesMC	1
210	Groovy_MoonBird	1
210	MuffinManzz	1
210	heysushii	1
210	Harotio	1
210	dudcreeper	1
210	RoskobiOne	1
210	BadenStayFly	1
210	EMC_	1
210	I_Am_Mushkin	1
210	myaccountwasgone	1
210	Ladder_Jockey	1
210	SaucyDark	1
210	LagVibes	1
210	Alteriity	1
210	CoffeeNoir	1
210	MC_Gamer_Geek	1
210	peach0s	1
210	Gregward_Smith	1
210	nbbt	1
210	Swexti	1
210	cyuar	1
210	Miroryk	1
210	Frxnkz	1
210	Saucepeh	1
210	Crowman1	1
210	Cryptacity	1
210	bloodbiter	1
210	Ravenbie	1
210	Hetti301	1
210	zorin123	1
210	Enigma0251	1
210	lorpus	1
210	Inchef	1
210	eviltunix	1
210	LeauVox4921	1
210	Stiar	1
210	Paintz	1
210	Kubelz	1
210	Karetoko	1
210	Mouse74	1
210	Aavermu	1
210	AssaultZone	1
210	yheece	1
210	MyNameIsJobo	1
210	Gzrdy	1
210	Lil_Breadboy	1
210	AJplaysMC_	1
210	AnnieBathory	1
210	Kondzik2008	1
210	pappaberg	1
210	Krowuss	1
210	drompje	1
210	Bumpy419	1
210	oscminus	1
210	Felenov	1
210	ScootOfBoot	1
210	RobotMinion101	1
210	F_Uhre	1
210	Moofyman	1
210	spellmre	1
210	groofles	1
210	Leyna3	1
210	AlphaWolfPlaysMC	1
210	duqboy	1
210	NoChumpChange	1
210	ChocolatePepsi	1
210	LexMakesHistory	1
210	Meatlaugh	1
210	Fuad_R	1
210	_Karmaa	1
210	Quincannon	1
210	Shogunite	1
210	QueenShuvi	1
210	blackeemperor	1
210	Groundler	1
210	wwwwinnebagoooo	1
210	MovingFish7	1
210	TheTommyGun63	1
210	Jjackoe	1
210	SexcMf	1
210	sigmabich	1
210	brofrickcheaters	1
210	tsitrawhy	1
210	Joshuarumold	1
210	miramyu	1
210	SammiWolfGirl	1
210	CalebDHawk	1
210	fffMike	1
210	Njensen7	1
210	_3Stump_	1
