rank	username	minecraft:mined/minecraft:gold_block
285	Hpdinosaur	3
285	H72l9w	3
285	IWorkAtIkea	3
285	Auseawesome	3
285	jacxhadow	3
285	Z3braYTIL	3
285	Hoid_the_Roamer	3
285	_naturell	3
285	censorsheep	3
285	Cyntrical	3
285	Yahir091	3
285	Razzgriz	3
285	Wolverine4302	3
285	trexgb	3
