rank	username	minecraft:mined/minecraft:redstone_block
207	CoffeeNoir	11
207	Euclidoris	11
207	MattieHD	11
207	RIPB0ZO	11
207	M_Patata	11
207	Soap_Bender	11
207	MasterNueve	11
207	Dogcorn69420	11
207	little_dUki	11
216	teslawolf38	10
216	ssleepless	10
216	MinttyFressh	10
216	r123moore	10
216	masskedman	10
216	Kijiki	10
216	starbits140	10
216	non089	10
224	TheSecondLord	9
224	SteveCraftBlocks	9
224	PegLegPete93	9
224	yheece	9
224	SingedBread	9
224	Segotep999	9
230	Merv__	8
230	ECstardust	8
230	Houstonion	8
230	carloselpapii	8
230	noodlepack	8
230	Smashic	8
230	RobotMinion101	8
230	Drewen24	8
230	audiocracked	8
230	madderfall	8
230	LexMakesHistory	8
230	GoofyBread	8
230	fluddd	8
230	Racengan	8
230	Warlord324	8
230	_Meow_Mix	8
230	Smiguli_	8
247	Jovaphobic	7
247	FujiBS	7
247	Iagoku	7
247	Covalents	7
247	RocketRidge	7
247	domagawha	7
247	Bumpy419	7
247	Jimi7hits	7
247	ese_wn_po	7
247	Fildyr	7
247	kyouma777	7
247	Jij0	7
247	MineMaster0012	7
247	FelixPSY375	7
247	trexgb	7
262	ColeSnyder	6
262	Reamdin	6
262	Swexti	6
262	Touched_Bread	6
262	ImDisconnected_	6
262	mariominejedi	6
262	Donutt	6
262	Voxin2K	6
262	Tyrannosplart	6
262	bndo	6
262	Freedrik	6
273	Tobinator_007	5
273	SmashingPump	5
273	Cryptacity	5
273	jushykins	5
273	bloodbiter	5
273	Fullut	5
273	Inchef	5
273	Chromary	5
273	RyuNeko932000	5
273	Moofyman	5
273	TheTrueClipse	5
273	DarlaMeow	5
273	GravitySaint	5
273	Majonezzon	5
273	Pickel_Lord	5
273	jcool7	5
273	KingMatthew506	5
273	Steelynan	5
273	TheOuterCore	5
273	Jordan_R	5
293	Hyugo	4
293	livingdaydreams	4
293	ITDV	4
293	Ssor69	4
293	Crowman1	4
293	slkiey	4
293	drunkeeez	4
293	prizm_	4
