rank	username	minecraft:mined/minecraft:redstone_ore
250	Swexti	609
251	_8man	607
252	Chromary	598
252	BlankityMcBlank	598
254	ImpavidArcher	594
255	MovingFish7	590
256	jcool7	589
257	crying_wolf_13	583
257	Drewen24	583
259	IamCL4SSY	581
260	gaziter10	580
261	SellyZ	579
261	FelixPSY375	579
263	CrateOfBoxes	575
264	Quotary	574
265	Houstonion	572
266	UncreativeArtist	568
267	TheBananaKat	567
268	Kouridragon	566
269	Flores991	564
270	ProfessorBee	561
271	Mr_Byzantine	557
272	toj__	555
273	DTwenty	554
274	starbits140	548
275	Kegradigm	540
276	_Dean_123	534
277	TheDankPlatypus	531
277	OverallConcept	531
279	theonlymagikarp	530
280	Hiryu27	523
281	BlancoFlaco	521
282	MakeHistory157	518
283	teslawolf38	514
284	501g	511
285	Dogcorn69420	510
286	CoryJJ	507
287	Karbl	505
288	layabout100	502
289	SmashingPump	501
290	MattieHD	493
290	Giannism	493
290	dedgt	493
293	jewbacaman	491
294	Vizzoid	490
295	ProbablyNick	483
296	BigCronkin	477
297	balin55	474
298	Shiirazu	470
299	Voxin2K	469
300	JayToe	467
