rank	username	minecraft:mined/minecraft:oak_wall_sign
245	jushykins	9
245	NotMeanttoChange	9
245	WET_WET_WET	9
245	RyuNeko932000	9
245	HolyVenom	9
245	ILoveCarrot	9
245	Katsuragi0243218	9
245	the_russell1611	9
245	lillips	9
245	Quincannon	9
245	Nycteus_	9
245	Leithz6	9
245	Optiprimus	9
245	TitanCrafting	9
245	Weepingbiel	9
245	MelodyGaysharks	9
264	Louiis123	8
264	Hyugo	8
264	RatatJuice	8
264	jacxhadow	8
264	TableTim	8
264	rileyrocks29	8
264	nitram49b	8
264	Chromary	8
264	burbankbuilder28	8
264	fred870d	8
264	wrinkledpiglet	8
264	Gryglu583	8
264	DarkS0L	8
264	cringenaynaybaby	8
264	Nekomin0	8
279	Paleshield	7
279	MSK__	7
279	Aatronix1	7
279	Mewar	7
279	DSYisDizzy	7
279	SpicyMeatballs	7
279	Winklepicker279	7
279	stickwhiskers	7
279	Nyxiom_	7
279	CaptainDeadBread	7
279	Corbsman	7
279	jewbacaman	7
279	RodSerlingCringe	7
279	Fuhrer_Teemo	7
279	GravitySaint	7
279	Nagasaki_Riku	7
279	07shiny	7
279	blimpeey	7
279	Nicserso	7
279	Yahrto	7
299	elicobnoah	6
299	Isaac70096	6
