rank	username	minecraft:mined/minecraft:azure_bluet
149	CalebDHawk	16
149	OfficerAnvil	16
157	Zaridey	15
157	FetteMutter	15
157	PigDab	15
157	sp00ky_ghost977	15
157	IdeallyGrey	15
157	anbbang	15
157	obtusely	15
164	bigstankyy	14
164	cowgirlkasia	14
164	Cryptacity	14
164	KeruNatsema	14
164	ori0le	14
164	Blu3beast	14
164	censorsheep	14
164	fluddd	14
164	smogfrog	14
173	Menthas	13
173	Notta	13
173	bloodbiter	13
173	MattieHD	13
173	Inchef	13
173	MustardDrinker	13
173	Inkax	13
173	Sky_light_KING	13
173	MAns_44	13
173	Dusk_95	13
173	Sheldor097	13
184	Groovy_MoonBird	12
184	ProbablyNick	12
184	Natty	12
184	picardred	12
184	LavenderBi1ch	12
184	ROY4LE	12
184	jillian12345	12
184	_Cloverbelle_	12
192	Mr_Byzantine	11
192	_NieToksikpl_	11
192	jspwn	11
192	Skomo	11
192	stahouo	11
192	TechnoNinja64	11
198	T045RTY	10
198	Cortexia	10
198	set67	10
198	Uzbeki_John	10
198	burbankbuilder28	10
198	KnightmareD	10
198	NomadicRobin_	10
198	Nekomin0	10
198	Quotary	10
198	Enderslayerxz3	10
208	Sleek_Storm_721	9
208	UltimuShadow	9
208	Frxnkz	9
208	jacxhadow	9
208	Xalithia	9
208	Noah_Bez	9
208	Ecplosive	9
208	kars0n	9
208	Rebytre	9
208	Hiryu27	9
208	grislgrobl	9
208	Revwood	9
208	ebanana	9
208	Luigipunch989	9
208	pk1297	9
208	mountaingirl311	9
224	Froste131	8
224	xXTheWolfmanXx	8
224	livingdaydreams	8
224	NinjaKnifeKill	8
224	ABUSNA1996	8
224	GingerNeutron	8
224	G1ldor	8
224	CrookedKaptain	8
224	Scathra	8
224	hcb238	8
224	vampgey	8
224	Mpkkiller	8
224	fkGrim	8
224	07shiny	8
224	Nicserso	8
224	2blox	8
240	RoskobiOne	7
240	Cowison	7
240	hm947	7
240	Zippyzam	7
240	Wooptey	7
240	DarkFisto	7
240	PlasmaElk	7
240	Motsaro	7
240	emrekn	7
240	__Fanda__	7
240	Donutt	7
240	AuroraSkies	7
240	XxCookiequeenxX	7
240	master9067	7
240	Meatlaugh	7
240	Jamstroxian	7
240	lolpoottoot	7
240	Hisiste	7
240	robotemo	7
240	Soplight	7
240	SSytex_X	7
240	LeeMcGee30	7
240	kinas45y5	7
263	SaltineDream	6
263	Louiis123	6
263	Jackywho	6
263	I_Am_Mushkin	6
263	ewsophie	6
263	TuesdayEpisode	6
263	SDMNAEK	6
263	Adlair	6
263	himak1	6
263	SeverianTheLame	6
263	ImDisconnected_	6
263	CARGOESVROOM_7	6
263	Zythose	6
263	_8man	6
263	KillerNekoRain	6
263	Kryktal	6
263	PartyPhoenix	6
263	LetsDoItLive	6
263	gabbyeden	6
263	KingMatthew506	6
263	BreadBacon	6
263	adiccting01	6
263	MeetTheWollo	6
263	Serval2000	6
263	Kateesaur	6
288	_Virify_	5
288	strongman951753	5
288	KarlKaek	5
288	ExtraDumb	5
288	ShedJr_	5
288	Myszoaz	5
288	oreee	5
288	Whiterooster001	5
288	TheFlfthHorseman	5
288	roxycherry	5
288	ratglock	5
288	SoftSix	5
288	eclipseboi	5
