rank	username	minecraft:mined/minecraft:stone_slab
210	yaboo88	29
210	GravitySaint	29
210	mihimihimihi	29
214	_Huge_Male_	28
214	soundad	28
214	Literally_Rat	28
214	Akoot_	28
214	claivin	28
214	Teebone15	28
220	Inbefour	27
221	ECstardust	26
221	bloodbiter	26
221	milltesco	26
221	Fakiuss	26
221	Cavetorch	26
221	MilleGrug	26
221	UrbanPlanningEx	26
228	hydrothebot	25
228	TheWildMateo	25
228	AuroraSkies	25
228	Spenduh	25
228	tartanboy	25
228	calamariclam_I	25
234	Gregward_Smith	24
234	Saucepeh	24
234	KingMatthew506	24
237	SaucyDark	23
237	_Z3RIX_	23
237	Cruncy_	23
237	robonya_	23
241	tuckerdoodle	22
241	Jakobo1337	22
241	victorLIE	22
241	PuFY	22
241	MakeHistory157	22
241	BlankityMcBlank	22
241	obzii	22
241	Moetis	22
249	NieToksikpl	21
249	mattybeewrapss	21
249	Bumpy419	21
249	The11thDoctor	21
249	EngagedGrub41	21
254	Sleek_Storm_721	20
254	skroobiez	20
254	Dblikstad	20
254	Comma__	20
254	Druid95	20
259	Ananas55	19
259	OneLessChromosom	19
259	jewbacaman	19
259	MightyWertu	19
263	Bandito_Roamer	18
263	NotMeanttoChange	18
263	Rumpletaezer	18
263	Fildyr	18
263	radioactv_jelly	18
268	ProbablyNick	17
268	PazinGaming	17
268	Healthing	17
268	Koalander	17
268	ZeroAbyssTTV	17
268	IamCL4SSY	17
268	07shiny	17
268	little_dUki	17
276	ssleepless	16
276	Natty	16
276	MinttyFressh	16
276	andy_rex	16
276	godipose	16
276	RadarHz	16
276	Powowowow	16
276	TheWickedBird	16
284	teslawolf38	15
284	RatatJuice	15
284	heckface	15
284	_Dean_123	15
284	CrookedKaptain	15
284	pappaberg	15
290	Myszoaz	14
290	Swalt	14
290	U_Mos_	14
290	ese_wn_po	14
290	StinkyDiplomat	14
290	Barlycorn	14
290	ayamefag	14
290	Njensen7	14
290	taengoos	14
299	IWorkAtIkea	13
299	Whiterooster001	13
