rank	username	minecraft:mined/minecraft:vine
162	Skippeh	109
163	NotMeowMix	106
164	heckface	105
165	PortlyPete69	101
166	Lord_Doob	100
167	whoaluv	97
167	FGamerJ	97
169	KeruNatsema	96
169	Kferno	96
169	MilleGrug	96
172	Moofyman	95
173	Shiirazuku	92
174	RadarHz	91
175	Rich_Kat	90
175	Zaridey	90
177	Optiprimus	88
178	Dedalus36	86
178	CarbonatedCola	86
180	Sna_Ke	85
180	epiksk8erduck	85
180	Deguns123	85
183	PhantomsGhost_	84
184	ese_wn_po	83
185	KlausVonStiglitz	82
186	Arceus1975	80
186	_3Stump_	80
188	M_Patata	79
188	MasterNueve	79
190	CollinMH06	78
191	xo_Marren_xo	77
192	godipose	75
193	Razzgriz	74
194	2Stout	73
194	Avrelion	73
196	chipklip	72
197	benediktine1	71
198	Ryker	70
199	Gamergirl420628	69
199	KingMatthew506	69
199	oxfordschool	69
202	Meatlaugh	68
202	Cocoamallows	68
204	actuallysadie	67
204	Stynxy	67
204	Kamflame10	67
204	Fildyr	67
204	kyouma777	67
209	chrolus	66
209	TAKrules	66
209	pi_E_	66
212	CryoInferno_	65
212	Soap_Bender	65
212	EcksD	65
212	jnp_gaming	65
216	peachfuzz1267	64
216	MelodyGaysharks	64
218	__hinterland__	63
218	iSammael	63
218	Xovalt_	63
221	Quotary	62
222	Stiar	61
222	IAmTheWalrus910	61
224	Vellu21	60
225	_Virify_	59
225	Incinere	59
225	RodSerlingCringe	59
225	Russiancat1	59
225	MovingFish7	59
230	Quincannon	58
230	WhyTho_1	58
232	LotusProject	57
232	seramalen	57
234	d4mndaniel2	56
234	bloomkieren	56
236	yulgur1	55
236	fkndweeb	55
238	gabriels543	54
238	Apicomplexa	54
240	Snowflowe	53
240	Quaintster	53
242	AlexxO_o	51
242	Sheldor097	51
242	coobert42	51
245	dudcreeper	50
245	QueenHearts	50
245	Hoid_the_Roamer	50
248	Ravenbie	48
248	zemey	48
248	2blox	48
251	SyntheticSurgeon	47
251	SteveCraftBlocks	47
251	gcaisawesome	47
251	AlphaWolfPlaysMC	47
255	Drlzyy	45
255	Kowcio_	45
255	anbbang	45
258	LilLizardWizard	44
258	Blu3beast	44
258	CACTUSLAD	44
261	Invisie	43
261	NormanFetus	43
261	Vorlice	43
264	ColeSnyder	42
264	Ozixar	42
264	Ecplosive	42
264	gustarbite	42
264	pixelviolin	42
269	fade_emerge78823	41
269	PabloGonza02	41
271	teslawolf38	40
271	Killercatty78	40
271	Chromary	40
274	RoskobiOne	39
274	Deerfoot	39
276	Awyrlas	38
276	Kyrum2169	38
278	natajimi	37
279	RobotMinion101	36
279	Kim_Jong_eel	36
279	lillips	36
279	djancak	36
279	RoboTramp7865	36
284	EngagedGrub41	35
285	YungJakobo	34
285	OfficerAnvil	34
287	killmeiamtraitor	33
287	pappaberg	33
287	The11thDoctor	33
287	_Tilariel_	33
287	calamariclam_I	33
292	eclipseboi	32
292	Dusk_95	32
292	starbits140	32
292	tsitrawhy	32
292	striker90333	32
297	Lukeee33	31
297	capn__crunch	31
297	KliBeast21	31
300	MrKrabOnCoke	30
