rank	username	minecraft:mined/minecraft:brewing_stand
92	RoskobiOne	10
92	MattieHD	10
92	Secret_Canary	10
92	Kakolbus	10
92	EveryonesUncle	10
92	pixelviolin	10
92	Deguns123	10
92	Quotary	10
101	H0UNDFRMH3LL	9
101	EMC_	9
101	Ryan_GEMS	9
101	Megarboh	9
101	KingEgg1	9
101	Akoot_	9
101	Lutres_	9
101	MightyWertu	9
101	Groundler	9
101	Steelynan	9
101	Kubeusz2010	9
112	Groovy_MoonBird	8
112	RebelAndroid	8
112	T045RTY	8
112	Prismyst	8
112	m_be9	8
112	500am	8
112	prizm_	8
112	Donutt	8
112	Hiryu27	8
112	Onennon	8
112	AuroraSkies	8
112	Spacewardharpy7	8
112	__tomato	8
112	laron58	8
112	Enderxz3	8
112	TechnoNinja64	8
112	skrongus	8
129	teslawolf38	7
129	TooManyDuck	7
129	Wooptey	7
129	ActualPatbaf	7
129	MoistMicrowave	7
129	Dblikstad	7
129	F_Uhre	7
129	Kim_Jong_eel	7
129	lordpipe	7
129	2blox_	7
129	xolstoi	7
140	k_ce	6
140	ShedJr_	6
140	ratglock	6
140	Fullut	6
140	thescout7	6
140	M_Patata	6
140	Ecplosive	6
140	Jackattack53	6
140	seramalen	6
140	GooseWithin	6
140	_Karmaa	6
140	Blu3beast	6
140	Xclax101	6
140	Vorlice	6
140	MasterNueve	6
140	_Mythic____	6
140	Segotep999	6
140	Hermanni__	6
140	Jimb0nat0r	6
159	SaucyDark	5
159	ZaneABrain	5
159	301851	5
159	jacxhadow	5
159	corvidpartyfor6	5
159	__TheNorseMan__	5
159	TheDankPlatypus	5
159	Zaridey	5
159	mariominejedi	5
159	hanaryheatwave	5
159	tobinwilliams	5
159	Felenov	5
159	Inbefour	5
159	XxCookiequeenxX	5
159	El_Jalapeno	5
159	stellarjay	5
159	PortlyPete69	5
159	diggydog67	5
177	CLG_Kata	4
177	youhjjhhhjj	4
177	Alteriity	4
177	Base_Tempest	4
177	titanlax	4
177	Crowman1	4
177	Auseawesome	4
177	crying_wolf_13	4
177	Kamflame10	4
177	set67	4
177	UncreativeArtist	4
177	Blazebit	4
177	TylerDupree	4
177	eiC_	4
177	fallingemma	4
177	Chromary	4
177	GreedyFern8581	4
177	Werbe	4
177	ClemenPine	4
177	NameGenerat0r	4
177	ReflexCode	4
177	OG_Songsee	4
177	Juh1s	4
177	CalebDHawk	4
177	00000000-0000-0000-0009-01ff0c3e5e4f	4
202	RatatJuice	3
202	Incinere	3
202	H72l9w	3
202	Stynxy	3
202	Koffeeinz	3
202	bloodbiter	3
202	ThePoliteG	3
202	eclipseboi	3
202	Inchef	3
202	SharpDev	3
202	XboxPanda	3
202	CharlieButt	3
202	Mobstr	3
202	Aneurysmas	3
202	SlayerCrypto	3
202	Rebytre	3
202	Kokeech	3
202	MonitorLizards	3
202	SaintJosie	3
202	fw3xy74	3
202	Deathkob	3
202	QuacksonThe3rd	3
202	JESS_THE_RERE	3
202	The_slideV3	3
202	StinkyDiplomat	3
202	MAns_44	3
202	MustaLoordi	3
202	LordAurum	3
202	LazySupport00	3
202	MovingFish7	3
202	TheDumbHuman	3
202	IdeallyGrey	3
202	starbits140	3
202	Fizznut909	3
202	Dreamdbr14	3
202	striker90333	3
202	BreadBacon	3
239	gary_	2
239	funeralhome	2
239	NatalieTW	2
239	ProbablyNick	2
239	dudcreeper	2
239	fanofbands101	2
239	Cowison	2
239	FujiBS	2
239	Merv__	2
239	AuroraValkyrie	2
239	Ailmast	2
239	TildaAndrea	2
239	ExtraDumb	2
239	lwyl	2
239	BodaciousCake	2
239	nattybears	2
239	Jahara	2
239	ITDV	2
239	QuiCreans	2
239	FirsTimeGamingTV	2
239	Euclidoris	2
239	Prodiginus	2
239	Cryptacity	2
239	FuxS0cy	2
239	G1ldor	2
239	BilboBaggins23	2
239	slkiey	2
239	Tmb1	2
239	himak1	2
239	PegLegPete93	2
239	surfinggiraffejp	2
239	Mewar	2
239	Xalithia	2
239	xxPipperDipperxx	2
239	SpicyMeatballs	2
239	ARandomHedge	2
239	arcanemagic	2
239	Bolete	2
239	TableTim	2
239	Ristebraaten	2
239	SuperPooch06	2
239	Silvo614	2
239	Skylord_Luke	2
239	ApophisNova	2
239	Mattesco	2
239	Moofyman	2
239	jewbacaman	2
239	victorLIE	2
239	ougstur	2
239	LilLizardWizard	2
239	HolyVenom	2
239	TheTrueClipse	2
239	wezzzi	2
239	Toasty_Tom	2
239	MrQuanQuan	2
239	AlphaWolfPlaysMC	2
239	Qorbyn	2
239	MrMonster61	2
239	dankxing	2
239	DarkS0L	2
239	Dakar_	2
239	1442	2
