rank	username	minecraft:mined/minecraft:lapis_ore
146	Franco093	235
146	Manaateee	235
148	SeverianOfUrth	234
149	_Mythic____	233
150	Winklepicker279	230
151	Jackattack53	229
152	Rocco_Lane	227
153	taengoos	226
154	FirsTimeGamingTV	224
155	Kyrum2169	223
155	djancak	223
157	Groundler	222
158	eitanzaki	221
158	SuperPooch06	221
158	TheSeismicDuck	221
161	Mr_Byzantine	219
162	BlancoFlaco	216
162	RedcatVII	216
164	Marbz_	215
165	PeteO1995	213
166	jcool7	211
167	WyngGoy	210
168	Lutres_	205
169	Covalents	204
170	fkGrim	203
171	MyMawgDonaldsGon	199
171	DarlaMeow	199
171	TechnoNinja64	199
174	jnp_gaming	197
175	yheece	196
176	_TCARREIRA_	195
177	Bandito_Roamer	194
177	Russiancat1	194
179	lizardfightclub	193
179	ReSynced	193
179	audiocracked	193
179	Legendosh	193
183	Merv__	191
183	Euclidoris	191
185	Tyrannosplart	186
186	i2f8x4h8ro	185
186	__Fanda__	185
186	MightyWertu	185
189	_flud	181
190	Jackster03	178
190	_Nuf	178
190	Noah_Bez	178
190	Jiminbub	178
194	eiC_	177
194	00000000-0000-0000-0009-01ff0c3e5e4f	177
196	bloodbiter	176
196	Afinnity	176
198	ssleepless	175
198	sammidk	175
198	Lord_Jord	175
198	geekbird	175
202	Pofen	174
202	starbits140	174
202	laron58	174
202	Jimb0nat0r	174
202	calamariclam_I	174
207	Kubelz	173
207	1442	173
209	Shogunite	172
209	trexgb	172
211	11Brewer	171
212	I_Am_Mushkin	170
212	Myszoaz	170
212	cytotoxaint	170
215	Malorn_Aetherius	169
215	Studio4x32	169
215	UncreativeArtist	169
215	selectrix	169
215	fffMike	169
220	mihimihimihi	168
221	ImpavidArcher	167
221	SpacesickPrism	167
223	Fuhrer_Teemo	166
224	Groovy_MoonBird	165
224	hermmm_	165
224	TheOuterCore	165
227	thescout7	162
227	Dogcorn69420	162
229	Wooptey	160
230	Comma__	159
230	Jonafrog99	159
230	masskedman	159
230	Factoroni	159
234	LJW517	158
234	q_wq	158
234	Julmish	158
234	Razzgriz	158
234	Spaghettatron	158
239	Warlord324	157
240	AuroraValkyrie	156
240	U_Mos_	156
240	__tomato	156
243	BodaciousCake	155
243	Zedducius	155
245	BumbleBeever	153
245	TwinTowerV2	153
247	hoaimi	152
247	SkateboardR6	152
249	Historical_Sand	151
249	Xalithia	151
249	RadarHz	151
252	hcb238	150
252	Blu3beast	150
252	wwwwinnebagoooo	150
252	ElectricDragon81	150
252	SSytex_X	150
257	es0th	149
258	Vizzoid	148
259	XxCookiequeenxX	147
259	NYJ	147
261	ShedJr_	146
262	Froste131	145
263	Niklas20114552	144
263	Kamflame	144
265	Paint	142
265	Houstonion	142
265	StanceTB	142
265	ItsJunoIGuess	142
269	teslawolf38	141
269	Smiguli_	141
271	Apollo_993	140
272	RefluxRatio	139
272	_8man	139
272	FishyBoy3811	139
275	craaaash	137
276	corvidpartyfor6	136
276	lorpus	136
276	burbankbuilder28	136
276	MakeHistory157	136
280	layabout100	135
281	Nyxiom_	134
282	knarian	133
282	eviltunix	133
282	bananowySigma	133
285	IWorkAtIkea	132
285	BlankityMcBlank	132
287	xzvu	130
288	soundad	129
288	picardred	129
288	CollinMH06	129
288	Kim_Jong_eel	129
292	DrowsyOracle	128
293	obzii	127
294	Cyntrical	126
295	Deodorante	125
296	DaviusMaximoose	124
296	Powowowow	124
298	drumine	123
298	JayToe	123
300	Tobinator_007	122
