rank	username	minecraft:mined/minecraft:spruce_slab
136	Jokerman369	169
136	NotMeanttoChange	169
138	TooManyDuck	168
139	LazySupport00	167
140	yaboo88	166
141	DarlaMeow	165
142	Th6masss	164
143	Luigipunch989	163
144	HolyVenom	159
144	JESS_THE_RERE	159
146	pappaberg	155
146	Inbefour	155
148	LeauVox4921	154
148	krutas2000	154
150	SaucyDark	150
151	Matyyy15	149
152	Hyp3rion_	146
153	ZoomieZoomie	140
154	MinttyFressh	139
155	andy_rex	137
156	Bumpy419	134
157	hm947	130
157	Stiar	130
159	SuperPooch06	128
160	Quotary	125
161	Maenara	124
161	YungMaki	124
163	dabloons	120
163	Hoid_the_Roamer	120
165	DC_XII	119
165	Princesse_Louise	119
167	CrookedKaptain	117
168	rats_life	116
168	dopplexd	116
168	CSG_Haru	116
171	NotKaden_	115
172	thescout7	113
173	fluddd	108
174	Mattesco	107
175	xyct	106
175	Werbe	106
177	Jackattack53	105
178	John6970	103
178	NameGenerat0r	103
180	Minc_	101
180	Steven1282598	101
182	livingdaydreams	100
182	Megarboh	100
184	egglapras	99
185	fr0stss	98
186	Ssor69	97
186	IdeallyGrey	97
188	Patwannabegamer	96
188	Syropatathe	96
188	SammiWolfGirl	96
188	CalebDHawk	96
192	CrateOfBoxes	95
193	FlashMigma	92
194	Swexti	91
194	layabout100	91
196	Enigma0251	89
197	NomadicRobin_	87
197	07shiny	87
199	seanitoo	86
199	q_wq	86
201	heysushii	85
201	Incinere	85
201	lordpipe	85
204	ewpunk	84
205	fw3xywashere	83
205	Roikdean	83
207	chimpmunker	82
207	Agent108	82
209	KingEgg1	81
209	Soap_Bender	81
209	Warlord324	81
209	sp00ky_ghost977	81
213	Yatitay	80
213	laron58	80
215	Masssonnn	79
215	nut_e	79
215	StinkyDiplomat	79
218	potato292	78
218	XxCookiequeenxX	78
220	CaptainSteve345	77
220	toj__	77
222	The_slideV3	76
223	tsitrawhy	74
224	M_Patata	73
224	epiksk8erduck	73
226	Negriuke	72
227	bigstankyy	71
227	MasterNueve	71
229	MunkaKris	70
229	NoxxxxiS	70
229	purpolepickle	70
232	ItsDeltaMC	69
233	NieToksikpl	68
234	obtusely	66
235	WYFYoyo	64
236	Myszoaz	63
236	Queen_Jalapeno	63
236	HyperCave	63
236	TheGameArchitect	63
236	xorompole	63
241	Kamflame10	62
242	ExtraDumb	61
242	Rich_Kat	61
242	Smashic	61
242	2Stout	61
242	CaptainDeadBread	61
247	Alphanzt99	60
247	lolpoottoot	60
249	Malorn_Aetherius	59
250	KlausVonStiglitz	58
251	fffMike	57
251	The_SlideV5	57
253	ProfessorBee	56
253	ehunt54	56
253	CruncyIsTaken	56
256	Bk2Lumby4You	55
256	LeGold	55
256	DizzleJay311	55
256	Ragnar2105	55
260	Touched_Bread	54
261	Foof13	53
261	FetteMutter	53
261	SkateboardR6	53
261	MakeHistory157	53
265	natajimi	52
266	ClemenPine	51
266	PabloGonza02	51
268	Jovaphobic	50
268	Reamdin	50
268	JoCoLi	50
268	stellarjay	50
268	2blox	50
273	alderban107	49
274	Sleek_Storm_721	48
274	EngagedGrub41	48
276	RebelAndroid	47
276	Bazongoman	47
276	Smiguli_	47
279	ColeSnyder	46
280	ratglock	45
280	YungJakobo	45
280	Armattillo	45
283	MixerDixer	44
283	intropass	44
283	420BreadLizard	44
283	Blaiku	44
283	ElectricDragon81	44
283	UCP_TheKingK	44
289	TheBiggestFeller	43
289	SaltineDream	43
289	awesomeoneme	43
289	Sloths_Ender	43
289	AnnieBathory	43
294	Alteriity	42
294	gilesmcriles	42
294	Jonte0599	42
294	Renchi19	42
294	SingedBread	42
294	Chuglyfe	42
300	Sky_light_KING	41
