rank	username	minecraft:mined/minecraft:stone_pressure_plate
162	Awyrlas	2
162	Motsaro	2
162	SeverianTheLame	2
162	Giannism	2
162	SuperPooch06	2
162	Dragonlfw	2
162	OtariCharlie	2
162	_naturell	2
162	Wowful	2
162	KnightmareD	2
162	DTwenty	2
162	Soap_Bender	2
162	The_slideV3	2
162	Jaka_Saurus_715	2
162	NameGenerat0r	2
162	Quaintster	2
162	EfficientC52	2
162	Groundler	2
162	Matorz	2
162	lilguppy	2
162	Zetsey	2
162	pk1297	2
162	DennyKai	2
162	oxfordschool	2
162	Legendosh	2
162	vandmanden	2
162	The_SlideV5	2
162	Zoeyfortnite	2
162	EcksDofficial	2
162	h2p_emrld	2
207	Jovaphobic	1
207	PhantomsGhost_	1
207	abramgray	1
207	Cowison	1
207	strongman951753	1
207	zqw10k	1
207	soundad	1
207	Wolf_Mauler_73	1
207	error10101	1
207	ExtraDumb	1
207	RebelAndroid	1
207	Chroikey	1
207	_Frepp_	1
207	Jackster03	1
207	Arteriana	1
207	Ao_Ken	1
207	fr0stss	1
207	oreee	1
207	Meme25327	1
207	uhm__okay	1
207	Euclidoris	1
207	Stynxy	1
207	Mercadies	1
207	aikabot	1
207	NasdaqCrash	1
207	Otto_chan	1
207	Cryptacity	1
207	BobDeBouwer1337	1
207	m_be9	1
207	MattieHD	1
207	Leksanda	1
207	ProfessorBee	1
207	_Dean_123	1
207	CyrusIsTired	1
207	G1ldor	1
207	Tmb1	1
207	CrookedKaptain	1
207	beeleg	1
207	PegLegPete93	1
207	eviltunix	1
207	Tjhodskins19	1
207	Covalents	1
207	TylerDupree	1
207	ayqq	1
207	TheDankPlatypus	1
207	IronyMan69	1
207	moist_jellyfish	1
207	mariominejedi	1
207	CollinMH06	1
207	AJplaysMC_	1
207	whoaluv	1
207	RefluxRatio	1
207	_8man	1
207	AnnieBathory	1
207	andy_rex	1
207	CranialBlowout	1
207	MangoTheFish	1
207	pappaberg	1
207	Donutt	1
207	Hiryu27	1
207	Skylord_Luke	1
207	epiksk8erduck	1
207	TTNG	1
207	jewbacaman	1
207	MousePlays	1
207	SullivanNephew	1
207	sammidk	1
207	sxc_	1
207	Maenara	1
207	ADEXTV	1
207	Nicky19	1
207	Lord_Jord	1
207	Serenqeti	1
207	ogoa	1
207	_Crimson_Legate	1
207	TheSeismicDuck	1
207	Syropatathe	1
207	fkGrim	1
207	sufjanlover	1
207	_Bguette_	1
207	GoofyBread	1
207	MyNameIsDakar	1
207	DarlaMeow	1
207	DanTheBuilderino	1
207	Cyntrical	1
207	NotMeowMix	1
207	MovingFish7	1
207	monky_irl	1
207	WyngGoy	1
207	Cocoamallows	1
207	layabout100	1
207	IvarEXE	1
207	Pickel_Lord	1
207	PabloGonza02	1
