rank	username	minecraft:mined/minecraft:cracked_stone_bricks
134	XxCookiequeenxX	11
134	Shogunite	11
134	MAns_44	11
134	Skippeh	11
141	k_ce	10
141	Lez_	10
141	Malorn_Aetherius	10
141	lorpus	10
141	Arceus1975	10
141	pappaberg	10
147	royal_2	9
147	fragrantmonke444	9
147	LilyNova	9
147	Onennon	9
147	MinuteMira	9
147	Toiton	9
147	pretty_pink_reno	9
147	layabout100	9
147	Luigipunch989	9
147	jcool7	9
147	FormulaNewt3627	9
158	NatalieTW	8
158	PhantomsGhost_	8
158	thescout7	8
158	TheDankPlatypus	8
158	fr_ser	8
158	Moofyman	8
158	censorsheep	8
158	Druid95	8
158	ProbsNotNova	8
158	DairyNickel756	8
158	jnp_gaming	8
158	JayToe	8
170	PazinGaming	7
170	EMC_	7
170	Miroryk	7
170	Kamflame	7
170	Zaridey	7
170	killmeiamtraitor	7
170	epiksk8erduck	7
170	balin55	7
170	Fildyr	7
170	FiguraDei	7
170	_TCARREIRA_	7
170	OfficerAnvil	7
170	Jimb0nat0r	7
183	Hpdinosaur	6
183	RebelAndroid	6
183	ZeroAbyssTTV	6
183	ormr_kin	6
183	parodypatient	6
183	ogoa	6
183	Fuhrer_Teemo	6
183	Kubeusz2010	6
183	smogfrog	6
183	diggydog67	6
183	00000000-0000-0000-0009-01ff0c3e5e4f	6
194	Houstonion	5
194	Flopperdonkey	5
194	MinttyFressh	5
194	crying_wolf_13	5
194	4774	5
194	CrookedKaptain	5
194	whoaluv	5
194	Mattesco	5
194	J4k__	5
194	wezzzi	5
194	TheSeismicDuck	5
194	NoChumpChange	5
194	The_Quack_Dealer	5
194	DanTheBuilderino	5
194	Blaiku	5
194	_Mythic____	5
194	xzvu	5
194	miramyu	5
194	TheSandwhich_	5
194	TechnoNinja64	5
214	CLG_Kata	4
214	Sleek_Storm_721	4
214	livingdaydreams	4
214	Jahara	4
214	Silenttieg	4
214	ShedJr_	4
214	corvidpartyfor6	4
214	TableTim	4
214	legal_tax_evader	4
214	Mr_Froxy	4
214	groofles	4
214	EveryonesUncle	4
214	Captain_Nasty	4
214	claivin	4
214	Barlycorn	4
214	Pumpkin_P_Patch	4
214	DennyKai	4
214	krutas2000	4
214	how_are_you	4
214	hermmm_	4
214	MissCeleste7	4
214	Quotary	4
214	The_SlideV5	4
237	BPTY4618	3
237	TrNrGhost	3
237	powercas_gamer	3
237	myaccountwasgone	3
237	Historical_Sand	3
237	bloodbiter	3
237	ThePoliteG	3
237	ROY4LE	3
237	Donutt	3
237	F_Uhre	3
237	LilLizardWizard	3
237	theofiel	3
237	Kim_Jong_eel	3
237	That_tech_head	3
237	Sorry_Arey	3
237	dankxing	3
237	JESS_THE_RERE	3
237	Quaintster	3
237	QueenShuvi	3
237	Xclax101	3
237	LazySupport00	3
237	lordpipe	3
237	LordSpeed37	3
237	StarCookiees_	3
237	TheEnderMan548	3
237	Segotep999	3
237	Soffbord	3
237	SirBreadward	3
265	fanofbands101	2
265	Paint	2
265	AuroraValkyrie	2
265	teslawolf38	2
265	TildaAndrea	2
265	bigstankyy	2
265	77Holly7	2
265	Lukeee33	2
265	Natty	2
265	skroobiez	2
265	NieToksikpl	2
265	jacxhadow	2
265	MrExplorer	2
265	Enigma0251	2
265	ConcretePirate	2
265	Flapjacker687	2
265	mwrty	2
265	Fullbit_	2
265	himak1	2
265	eviltunix	2
265	NotKaden_	2
265	Noah_Bez	2
265	bl1ss0	2
265	Chromary	2
265	Snowflowe	2
265	AnnieBathory	2
265	Nickitoe	2
265	Voxin2K	2
265	aec9	2
265	IamCL4SSY	2
265	natajimi	2
265	Inbefour	2
265	m9_meltdown_	2
265	DarlaMeow	2
265	ReflexCode	2
265	Typadopoulos	2
