rank	username	minecraft:mined/minecraft:purpur_block
95	MyNameIsJobo	120
95	TechnoNinja64	120
97	Myszoaz	118
98	laron58	114
99	thewindmillman	113
99	_Karmaa	113
101	Blackberry1310	108
102	Secret_Canary	106
103	Zaridey	104
104	EveryonesUncle	98
105	Iagoku	92
106	LeGold	87
107	Kowcio_	86
108	Inchef	84
109	geekbird	80
110	MissCeleste7	78
111	MinttyFressh	77
112	Groundler	75
113	titanlax	73
113	Zythose	73
115	T045RTY	71
115	Jij0	71
117	PortlyPete69	69
118	EcksD	68
119	crying_wolf_13	67
120	Rasmanden	63
121	kekhon	62
121	LeEricc	62
121	JayToe	62
124	BodaciousCake	59
124	Skippeh	59
126	SellyZ	58
126	UrbanPlanningEx	58
126	bladeefan2009	58
129	binman420	57
130	iSammael	56
131	Houstonion	55
132	legal_tax_evader	54
133	Noah_Bez	53
134	ssleepless	52
134	ProfessorBee	52
134	Katthaj	52
137	RealGroot	51
137	tartanboy	51
139	wezzzi	49
140	mariominejedi	48
140	1442	48
142	12Magner05	47
142	AlexxO_o	47
142	TheSeismicDuck	47
142	LazySupport00	47
146	Deodorante	45
146	Xclax101	45
148	Hyp3rion_	44
149	RebelAndroid	43
149	CollinMH06	43
151	joethahobo	39
152	SaucyDark	38
152	DTwenty	38
152	fkGrim	38
155	Ezekson	36
156	El_Jalapeno	35
157	Snowflowe	34
157	MangoTheFish	34
157	ItsJWolff	34
157	Razzgriz	34
157	Mythic1130	34
157	Eczbek	34
163	Warlord324	33
163	MovingFish7	33
165	shyshyannne	32
165	ElectricDragon81	32
167	pappaberg	30
167	Barlycorn	30
167	FishisTTV	30
170	jushykins	29
170	__TheNorseMan__	29
170	whoaluv	29
173	TheShyPig	26
174	ShedJr_	25
175	Mahoose	23
175	r123moore	23
175	RoofTyler	23
175	Quotary	23
179	MrQuanQuan	22
179	lillips	22
181	LilyNova	20
181	FishyBoy3811	20
181	Akoot_	20
181	__tomato	20
181	PlasticOtari	20
186	BlancoFlaco	19
186	tuckerdoodle	19
186	ClemenPine	19
186	TheDumbHuman	19
186	ayamefag	19
186	SammiWolfGirl	19
192	CoffeeNoir	18
192	rarrq	18
192	himak1	18
192	_k2x	18
192	SvenskaHugo	18
192	HesDemonPants	18
198	_Razaria	17
198	MAns_44	17
198	stavgod	17
198	Strangemonkey71	17
202	zorin123	15
202	XboxPanda	15
202	domagawha	15
202	Fizznut909	15
206	SkateboardR6	14
206	MakeHistory157	14
208	Kakolbus	13
208	luseis	13
208	Quincannon	13
211	SoftSix	12
211	Iamthejo	12
211	Powowowow	12
214	Groovy_MoonBird	11
214	Alteriity	11
216	chipklip	10
216	Scathra	10
216	epiksk8erduck	10
216	Quaintster	10
216	voiding_	10
221	TheTrueClipse	9
221	WyngGoy	9
221	Steelynan	9
224	groofles	8
224	Kura2218	8
224	ConnorDanky_	8
227	Euclidoris	7
227	theonlymagikarp	7
227	fw3xywashere	7
227	501g	7
227	Kijiki	7
232	JuuustYeet	6
232	sheherhers	6
234	SailiXX	5
234	Dusk_95	5
234	CornOnTheCobalt	5
234	gusstationwerker	5
234	CalebDHawk	5
234	anbbang	5
234	Aryamanee	5
241	NatalieTW	4
241	Sabby65	4
241	Incinere	4
241	livingdaydreams	4
241	catandmoose	4
241	redikul	4
241	eviltunix	4
241	ApophisNova	4
241	Ender_Souls	4
241	Juh1s	4
241	stellarjay	4
241	Kferno	4
241	MyNamaSheff	4
241	2bolx_	4
255	Batman922	3
255	Swexti	3
255	Nicky_H225	3
255	pr33tu	3
255	Motsaro	3
255	PuustaKauasPdnt	3
255	HAIRYCLOUD626	3
255	RobotMinion101	3
255	Smussa	3
255	ougstur	3
255	BumbleBeever	3
255	Physics_Breaker	3
255	Faart	3
268	gary_	2
268	Merv__	2
268	teslawolf38	2
268	TheMilkerOfCats	2
268	Franco093	2
268	peach0s	2
268	FirsTimeGamingTV	2
268	picardred	2
268	MattieHD	2
268	TheThomas69	2
268	CyrusIsTired	2
268	lorpus	2
268	Tjhodskins19	2
268	Cellcorgi649	2
268	ImDisconnected_	2
268	seramalen	2
268	halfwayup	2
268	ADEXTV	2
268	Wowful	2
268	NomadicRobin_	2
268	DarlaMeow	2
268	splatterhawk	2
268	Cocoamallows	2
268	ProbsNotNova	2
268	xolstoi	2
293	Jovaphobic	1
293	jirayatoad12	1
293	ExtraDumb	1
293	hm947	1
293	TonyS7ark	1
293	SyntheticSurgeon	1
293	Lez_	1
293	Ao_Ken	1
