rank	username	minecraft:mined/minecraft:dark_oak_wall_sign
122	audiocracked	6
122	ayamefag	6
122	__tomato	6
122	Spenduh	6
122	obzii	6
122	jcool7	6
122	Njensen7	6
122	_3Stump_	6
122	TheGameArchitect	6
122	Quotary	6
122	Nicserso	6
144	Astronicky	5
144	_stets	5
144	Euclidoris	5
144	aluminumhelmet	5
144	BobDeBouwer1337	5
144	Nicky_H225	5
144	shyshyannne	5
144	emrekn	5
144	XboxPanda	5
144	Frozil12	5
144	JoCoLi	5
144	KG1999	5
144	lcvezra	5
144	Sheldor097	5
144	ZeroKraken	5
144	DyDyRo	5
144	Sral7	5
161	NUK3	4
161	LittleBug562	4
161	ergoalias	4
161	RebelAndroid	4
161	Khelvoryk	4
161	Auseawesome	4
161	bloodbiter	4
161	TheDiamondCG	4
161	mwrty	4
161	Hoshi	4
161	Stiar	4
161	rileyrocks29	4
161	Purplehere	4
161	Zythose	4
161	CruncyIsTaken	4
161	Kynigito	4
161	censorsheep	4
161	Toriankel	4
161	sp00ky_ghost977	4
161	tsitrawhy	4
161	Nekomin0	4
161	anbbang	4
161	oxfordschool	4
161	kinas45y5	4
161	The_SlideV5	4
161	00000000-0000-0000-0009-01f73aa9620f	4
187	Bandito_Roamer	3
187	_NieToksikpl_	3
187	dudcreeper	3
187	teslawolf38	3
187	KarlKaek	3
187	Isaac70096	3
187	ewsophie	3
187	awesomeoneme	3
187	Da_Boss_Rani	3
187	tramizu	3
187	Shadoko_	3
187	G1ldor	3
187	Inchef	3
187	SLASHZEERA	3
187	Covalents	3
187	NotKaden_	3
187	Karetoko	3
187	SuperStreetCat	3
187	loveseeker	3
187	Jackattack53	3
187	Skylord_Luke	3
187	CarryLine	3
187	SingedBread	3
187	Nagasaki_Riku	3
187	UCP_TheKingK	3
187	PortlyPete69	3
187	TitanCrafting	3
187	TechnoNinja64	3
187	WYFYoyo	3
187	trexgb	3
217	Jovaphobic	2
217	PhantomsGhost_	2
217	hollowww	2
217	Dedalus36	2
217	_Razar	2
217	LionelHutzESQ	2
217	CoffeeNoir	2
217	Cats_Fly	2
217	H72l9w	2
217	heckface	2
217	Vizzoid	2
217	InfernalMound	2
217	jushykins	2
217	jacxhadow	2
217	MattieHD	2
217	slkiey	2
217	Smashic	2
217	AngalexikCZ	2
217	paranoid_plant	2
217	Motsaro	2
217	eviltunix	2
217	SpicyMeatballs	2
217	Ecplosive	2
217	Winklepicker279	2
217	Avermu	2
217	gabriels543	2
217	Nyxiom_	2
217	_Boipl_	2
217	ApophisNova	2
217	PigDab	2
217	FishyBoy3811	2
217	theofiel	2
217	timelyenigma	2
217	AlphaWolfPlaysMC	2
217	NomadicRobin_	2
217	Fuhrer_Teemo	2
217	Quincannon	2
217	popcatbop	2
217	ProfessorDiaper	2
217	SkateboardR6	2
217	die_lit_punk	2
217	brofrickcheaters	2
217	Afrosleeper	2
217	fffMike	2
217	MyNamaSheff	2
217	2blox	2
217	00000000-0000-0000-0009-01f6557d802a	2
264	SmorpADorp	1
264	RosaDoesMC	1
264	ImHeteroPhobic	1
264	heysushii	1
264	JohnnyFyes	1
264	Harotio	1
264	littlesophiagirl	1
264	Jalvajar	1
264	gizmo76	1
264	dabloons	1
264	PlanetarSun	1
264	Sleek_Storm_721	1
264	TripleAThreat	1
264	hm947	1
264	jimbo61101jr	1
264	wickedword	1
264	livingdaydreams	1
264	hurnter	1
264	T045RTY	1
264	Mohawkfalco	1
264	ZephrWestWind	1
264	Z22n	1
264	peach0s	1
264	elleparo	1
264	buss081	1
264	Freebolt	1
264	Telerobocop	1
264	Atroxes	1
264	Frxnkz	1
264	xPixelRainx	1
264	MortimerGaming	1
264	Cryptacity	1
264	Dragonfest	1
264	zorin123	1
264	ZabPlayz	1
264	Kkanot	1
264	Masssonnn	1
