rank	username	minecraft:mined/minecraft:lantern
127	AssEatrAndLicker	34
129	CharlieButt	33
129	MyNameIsJobo	33
129	pappaberg	33
129	Optiprimus	33
129	TheOuterCore	33
134	Wowful	32
135	Hpdinosaur	31
135	lordpipe	31
137	CSG_Haru	30
138	Deathkob	29
139	TildaAndrea	28
140	M_Patata	27
140	KeruNatsema	27
140	MasterNueve	27
143	6king6colt6	26
143	Frozt99	26
143	AlphaWolfPlaysMC	26
143	DanTheBuilderino	26
147	H72l9w	25
147	RobotMinion101	25
149	eitanzaki	24
149	Inchef	24
149	MyNameIsDakar	24
149	MightyWertu	24
149	djancak	24
149	stahouo	24
149	CalebDHawk	24
149	deenobeeno	24
157	heysushii	23
157	Snowflowe	23
157	Hoid_the_Roamer	23
157	RedcatVII	23
157	Sral7	23
162	Malorn_Aetherius	22
162	killmeiamtraitor	22
162	Shiirazuku	22
165	ShedJr_	21
165	Cortexia	21
165	set67	21
165	Voxin2K	21
165	Vorlice	21
165	Spacewardharpy7	21
165	Kowcio_	21
165	PortlyPete69	21
173	Doom_melon	20
173	TTNG	20
173	Factoroni	20
176	chimpmunker	19
176	DermeinUser	19
176	SuperPooch06	19
176	Jiminbub	19
176	ewpunk	19
176	MovingFish7	19
176	IdeallyGrey	19
176	RadarHz	19
184	bloodbiter	18
184	RodSerlingCringe	18
184	JESS_THE_RERE	18
184	_3Stump_	18
184	cichy096	18
189	Cowison	17
189	awesomeoneme	17
189	Myszoaz	17
189	John6970	17
189	lOlmantschi	17
189	Vellu21	17
189	xorompole	17
196	dudcreeper	16
196	Notta	16
198	AuroraValkyrie	15
198	Tommhh	15
198	I_Am_Mushkin	15
198	ColeSnyder	15
198	Swexti	15
198	Dragonfest	15
198	toj__	15
198	fluddd	15
198	Quotary	15
207	imthatpikachu	14
207	purpolepickle	14
207	Zythose	14
207	_naturell	14
207	Pootis11	14
207	KlausVonStiglitz	14
213	Tolhart	13
213	SpicyMeatballs	13
213	ChillenChiggen	13
213	Hyp3rion_	13
213	DC_XII	13
213	EcksD	13
213	smogfrog	13
220	Travasaur	12
220	MSK__	12
220	Alphanzt99	12
220	_Karmaa	12
220	Deerfoot	12
220	stellarjay	12
220	little_dUki	12
227	PhantomsGhost_	11
227	teslawolf38	11
227	dopplexd	11
227	Zedducius	11
227	shyshyannne	11
227	slkiey	11
227	ADEXTV	11
227	Blu3beast	11
235	Natty	10
235	fr0stss	10
235	Ozixar	10
235	cowgirlkasia	10
235	Adlair	10
235	YungJakobo	10
235	Hanselhoof	10
235	selectrix	10
235	Quincannon	10
235	NameGenerat0r	10
235	Shogunite	10
235	AvaRosey	10
235	sp00ky_ghost977	10
235	Kferno	10
249	Incinere	9
249	Jahara	9
249	Sparky_KT	9
249	Windo_licker	9
249	nut_e	9
249	Chuvacevedo	9
249	XxCookiequeenxX	9
249	trexgb	9
257	SaltineDream	8
257	Sleek_Storm_721	8
257	AlazelTheReal	8
257	MinttyFressh	8
257	SoftSix	8
257	egglapras	8
257	LotusProject	8
257	_8man	8
257	Toasty_Tom	8
257	audiocracked	8
257	avalan64	8
257	IAmTheWalrus910	8
257	Luigipunch989	8
257	obzii	8
257	xX_Stalin69_Xx	8
257	Lowjinx	8
257	YoshikageBites	8
274	bigstankyy	7
274	Sabby65	7
274	livingdaydreams	7
274	Whiterooster001	7
274	shdesolt	7
274	BobDeBouwer1337	7
274	NotTrixi	7
274	himak1	7
274	CruncyIsTaken	7
274	fred870d	7
274	xo_Marren_xo	7
274	ogoa	7
274	DarlaMeow	7
274	Groundler	7
274	yoyoYoloMonke	7
274	Typadopoulos	7
274	monolu	7
274	Erased_Identity	7
274	erkada	7
274	anbbang	7
274	Powowowow	7
274	kinas45y5	7
296	xXTheWolfmanXx	6
296	dongli	6
296	Paleshield	6
296	Silenttieg	6
296	youhjjhhhjj	6
