rank	username	minecraft:mined/minecraft:cobblestone_wall
211	DeeDeeThonk	20
211	PaperCanvas	20
211	zToasty69z	20
211	The_slideV3	20
211	Shogunite	20
211	_Meow_Mix	20
211	Vicemaniac	20
219	SaucyDark	19
219	Prismyst	19
219	_Dean_123	19
219	Fullut	19
219	SuperPooch06	19
219	RefluxRatio	19
219	MustardDrinker	19
219	420BreadLizard	19
219	Skippeh	19
219	Kateesaur	19
229	6king6colt6	18
229	AspenLightVT	18
229	Blaiku	18
229	CattSoup	18
233	ECstardust	17
233	Notta	17
233	12Magner05	17
233	Smashic	17
233	yheece	17
233	_8man	17
233	Mattesco	17
233	wrinkledpiglet	17
233	AuroraSkies	17
233	Smiguli_	17
243	__lizi	16
243	Paleshield	16
243	Sebaschan__	16
243	301851	16
243	Windo_licker	16
243	RebytreGT	16
243	starbits140	16
243	tompup	16
251	ImNotYuqii	15
251	wwwwinnebagoooo	15
251	_i_ERROR_i_	15
251	FishisTTV	15
255	Megarboh	14
255	NomadicRobin_	14
255	claivin	14
258	dabloons	13
258	cedric72	13
258	ADEXTV	13
258	Meepcraft	13
258	Blu3beast	13
263	Flores991	12
263	TinMaster	12
263	zMarciano	12
263	Secret_Canary	12
263	KGTV	12
263	WET_WET_WET	12
263	Snowflowe	12
263	SamZombie	12
263	RyuNeko932000	12
263	Elastiq	12
263	fkGrim	12
263	QuesoCrusaderIII	12
263	carbo_bro	12
263	taengoos	12
277	dimondking777	11
277	SmashingPump	11
277	CoffeeNoir	11
277	chlorinex	11
277	XHectorSalamanca	11
277	Saucepeh	11
277	Sleepy_Evelyn	11
277	Giannism	11
277	AlexxO_o	11
277	kkatsuragi	11
277	GoofyBread	11
277	NameGenerat0r	11
277	bitsplease	11
277	ConnorDanky_	11
291	PazinGaming	10
291	Morgf	10
291	ThePoliteG	10
291	Cortexia	10
291	legal_tax_evader	10
291	Chromary	10
291	Eczbox	10
291	Cruncy_	10
291	ougstur	10
291	07shiny	10
