rank	username	minecraft:mined/minecraft:horn_coral_wall_fan
105	Gus2005	8
105	TechnoNinja64	8
105	diggydog67	8
112	ratglock	7
112	excelsionprime	7
112	Covalents	7
112	Noah_Bez	7
112	legal_tax_evader	7
112	Voxin2K	7
112	groofles	7
112	pixelviolin	7
112	SpacesickPrism	7
112	Steelynan	7
122	Groovy_MoonBird	6
122	Bandito_Roamer	6
122	TheSecondLord	6
122	xxPipperDipperxx	6
122	gamerlord1324	6
122	Eerini	6
122	iSammael	6
122	Fizznut909	6
122	Sral7	6
122	Biites	6
122	Spaghettatron	6
133	6king6colt6	5
133	diamondgolem35	5
133	T045RTY	5
133	beeperbeeper5	5
133	Inchef	5
133	CollinMH06	5
133	burbankbuilder28	5
133	domagawha	5
133	Blaiku	5
133	miramyu	5
133	HesDemonPants	5
133	TwinTowerV2	5
145	H0UNDFRMH3LL	4
145	tuckerdoodle	4
145	BodaciousCake	4
145	titanlax	4
145	NotoriousNina	4
145	Bumpy419	4
145	RobotMinion101	4
145	Kynigito	4
145	NameGenerat0r	4
145	Quaintster	4
145	FreakGenius	4
145	ZeroKraken	4
145	OfficerAnvil	4
158	CoffeeNoir	3
158	Historical_Sand	3
158	xPixelRainx	3
158	emrekn	3
158	hanaryheatwave	3
158	Samificator	3
158	Tyrannosplart	3
158	1442	3
158	_Karmaa	3
158	AstreaTSS	3
158	El_Jalapeno	3
158	Typadopoulos	3
158	sp00ky_ghost977	3
158	laron58	3
158	Skippeh	3
158	ConnorDanky_	3
174	Apollo_993	2
174	robertsnose	2
174	Foof13	2
174	Ryan_GEMS	2
174	hm947	2
174	Huwulling	2
174	Cryptacity	2
174	Secret_Canary	2
174	BilboBaggins23	2
174	Kamflame	2
174	Motsaro	2
174	SuperPooch06	2
174	Studyhallsaver	2
174	Jimi7hits	2
174	Akoot_	2
174	Nicky19	2
174	xDraggin	2
174	sufjanlover	2
174	AspenLightVT	2
174	YungWali	2
174	Karbl	2
174	claivin	2
174	DarkLawD	2
174	SkateboardR6	2
174	Factoroni	2
174	WyngGoy	2
174	Spenduh	2
174	xzvu	2
174	stellarjay	2
174	SammiWolfGirl	2
174	fffMike	2
174	erkada	2
174	Ezekson	2
174	FishisTTV	2
208	dudcreeper	1
208	abramgray	1
208	q_wq	1
208	RatatJuice	1
208	Prismyst	1
208	Gregward_Smith	1
208	gaziter10	1
208	teqilas	1
208	Ozixar	1
208	cheerytomato	1
208	Comma__	1
208	catandmoose	1
208	poopybh	1
208	redikul	1
208	sandmire	1
208	CrookedKaptain	1
208	UncreativeArtist	1
208	thescout7	1
208	lorpus	1
208	asspharte	1
208	Paintz	1
208	benediktine1	1
208	M_Patata	1
208	Zaridey	1
208	Winklepicker279	1
208	MyNameIsJobo	1
208	Silvo614	1
208	Azmodan_246	1
208	Cruncy_	1
208	Moofyman	1
208	_Cloverbelle_	1
208	J4k__	1
208	KeruNatsema	1
208	fw3xy	1
208	AuroraSkies	1
208	audiocracked	1
208	KlausVonStiglitz	1
208	balin55	1
208	The_slideV3	1
208	Lekol	1
208	StinkyDiplomat	1
208	MightyWertu	1
208	MasterNueve	1
208	MakeHistory157	1
208	LordSpeed37	1
208	Dogcorn69420	1
208	jcool7	1
208	EngagedGrub41	1
208	Apicomplexa	1
208	HelloIamSora	1
208	Yahrto	1
