rank	username	minecraft:mined/minecraft:iron_ore
163	q_wq	1814
164	Galactic_Badger	1803
165	I_Am_Mushkin	1794
166	FirsTimeGamingTV	1783
167	Russiancat1	1777
168	soundad	1758
169	claivin	1749
170	picardred	1736
171	ShedJr_	1731
172	eiC_	1721
173	Ryan_GEMS	1689
174	Paint	1681
175	Razzgriz	1677
176	Kijiki	1676
177	The11thDoctor	1655
178	SSytex_X	1625
179	Xalithia	1616
180	lotarp	1611
181	RyuNeko932000	1590
182	DarlaMeow	1585
183	cytotoxaint	1573
184	Awyrlas	1567
185	obzii	1554
186	Inchef	1550
187	surfinggiraffejp	1537
188	TheSeismicDuck	1530
189	Rocco_Lane	1524
190	Comma__	1513
191	Kim_Jong_eel	1508
192	Hiryu27	1489
193	Euclidoris	1480
194	Fuhrer_Teemo	1478
194	silverpopcorn	1478
196	Merv__	1477
197	Deodorante	1469
198	jewbacaman	1466
199	NotMyLucKMC	1460
200	EngagedGrub41	1450
201	Spenduh	1449
202	Shogunite	1440
203	ClemenPine	1437
204	jacxhadow	1433
205	Mattesco	1430
206	F_Uhre	1429
207	diamondgolem35	1415
207	__Fanda__	1415
209	non089	1413
210	abdomera	1404
211	xzvu	1400
212	craaaash	1391
213	hcb238	1388
214	Reamdin	1385
215	Hyugo	1379
215	elliebelle107	1379
217	Racengan	1378
218	PazinGaming	1374
219	BumbleBeever	1373
220	G1ldor	1372
221	07shiny	1364
222	_Virify_	1359
223	Froste131	1348
223	RatatJuice	1348
225	Hoid_the_Roamer	1346
225	Decaying_Lotus	1346
227	JayToe	1339
228	Blu3beast	1329
229	Covalents	1328
230	Quincannon	1324
231	Dakar_	1323
232	_flud	1315
233	_8man	1310
234	bigstankyy	1307
235	Kamflame	1305
235	fffMike	1305
237	Iagoku	1296
238	PegLegPete93	1293
239	XboxPanda	1288
239	MelodyGaysharks	1288
241	Scathra	1275
242	Zedducius	1273
243	fanofbands101	1268
243	Segotep999	1268
245	Winklepicker279	1265
246	LuvLuvLove	1264
247	Corbsman	1260
248	GravitySaint	1256
249	Gus2005	1255
250	Gregward_Smith	1254
251	Fildyr	1249
252	djancak	1246
253	SellyZ	1245
253	Dreamdbr14	1245
255	Harotio	1237
256	Soap_Bender	1235
257	NinjaKnifeKill	1231
258	wobn	1229
259	xxPipperDipperxx	1221
260	NoChumpChange	1219
261	PortlyPete69	1202
261	hermmm_	1202
263	calamariclam_I	1192
264	Powowowow	1191
265	MilleGrug	1183
266	Marbz_	1182
267	QuiCreans	1179
268	ImDisconnected_	1177
269	bloomkieren	1174
270	RefluxRatio	1149
271	_Mythic____	1144
272	ElectricDragon81	1143
273	lizardfightclub	1129
274	MAns_44	1127
275	Typadopoulos	1125
276	Luigipunch989	1112
277	2Stout	1111
278	MakeHistory157	1110
279	Megarboh	1102
280	Julmish	1100
281	Vizzoid	1090
282	theonlymagikarp	1084
283	jnp_gaming	1077
284	Myszoaz	1071
285	epiksk8erduck	1066
286	laron58	1065
287	DanTheBuilderino	1061
288	CalebDHawk	1059
289	Factoroni	1057
290	Kouridragon	1054
291	sufjanlover	1050
292	hoaimi	1046
293	slkiey	1043
294	Nyxiom_	1038
295	selectrix	1033
296	AlphaWolfPlaysMC	1032
296	drumine	1032
298	SpaceGrenadier	1028
299	crying_wolf_13	1025
299	toj__	1025
