rank	username	minecraft:mined/minecraft:cobblestone
109	Iamthejo	2614
111	_Bguette_	2561
112	Werbe	2535
113	SaucyDark	2498
114	Steelynan	2436
115	seramalen	2406
116	Rebytre	2394
117	Hyp3rion_	2377
118	Alteriity	2366
119	Eraxa	2321
120	jcool7	2302
121	Notta	2248
122	SSytex_X	2179
123	tsitrawhy	2158
124	Nicserso	2147
125	Cocoamallows	2130
126	Quincannon	2123
126	Spenduh	2123
128	Tyrannosplart	2119
129	The11thDoctor	2103
130	bigstankyy	2088
131	gcaisawesome	2075
132	sandmire	2073
133	censorsheep	2064
134	Fullut	2052
134	xxPipperDipperxx	2052
136	lcvezra	2050
137	ProfessorBee	2041
138	MuffinManzz	2033
139	audiocracked	2019
140	Awyrlas	2015
141	_Karmaa	1968
142	Barlycorn	1967
143	4774	1956
144	OfficerAnvil	1953
145	MoistMicrowave	1952
146	legal_tax_evader	1925
147	Natty	1924
148	MattieHD	1919
149	Inchef	1849
150	skrongus	1825
151	T045RTY	1818
152	weabis	1802
153	crying_wolf_13	1800
154	Smiguli_	1786
155	eviltunix	1784
155	CalebDHawk	1784
157	Nycteus_	1783
158	__tomato	1777
159	Kubelz	1776
160	zToasty69z	1766
161	yatsuta	1757
162	HesDemonPants	1749
163	Malorn_Aetherius	1748
164	PlzNoBM	1719
165	Covalents	1716
166	Powowowow	1714
167	Rasmanden	1699
167	Wolverine4302	1699
169	Sheldor097	1693
170	AuroraSkies	1691
171	q_wq	1678
172	Groundler	1677
173	XboxPanda	1662
174	Winklepicker279	1661
175	RoboTramp7865	1641
176	CrateOfBoxes	1640
177	domagawha	1632
178	Historical_Sand	1630
179	bloodbiter	1603
180	youhjjhhhjj	1581
181	SpacesickPrism	1578
182	Quaintster	1566
183	AlphaWolfPlaysMC	1565
184	H72l9w	1557
185	00000000-0000-0000-0009-01ff0c3e5e4f	1555
186	_Nuf	1554
187	DemTechAlpha	1542
188	cedric72	1535
189	F_Uhre	1523
190	tobinwilliams	1466
191	Kijiki	1458
192	TheSecondLord	1455
193	Merv__	1443
194	Jackster03	1434
195	Huwulling	1424
196	QuiCreans	1413
197	KingFaenor	1411
198	JayToe	1409
199	BreadBacon	1406
200	oscminus	1396
200	claivin	1396
202	GravitySaint	1388
203	SyntheticSurgeon	1387
204	yulgur1	1386
205	Ecplosive	1369
206	Kubeusz2010	1367
207	Blaiku	1365
208	Zythose	1361
209	yheece	1355
210	wezzzi	1351
211	theonlymagikarp	1350
212	Kferno	1337
213	CharlieButt	1336
214	TheEnderMan548	1329
214	starbits140	1329
216	excelsionprime	1326
216	SpaggeDR	1326
218	Zoeyfortnite	1316
219	_TCARREIRA_	1314
220	lorpus	1312
221	WyngGoy	1306
221	ConnorDanky_	1306
223	IamCL4SSY	1303
224	StinkyDiplomat	1296
225	CollinMH06	1254
226	WET_WET_WET	1253
227	fluddd	1250
228	BobDeBouwer1337	1240
229	epiksk8erduck	1238
229	Luigipunch989	1238
231	alderban107	1234
232	Typadopoulos	1224
233	FreddyFart	1213
234	ExtraDumb	1207
235	ItsDeltaMC	1204
236	Swexti	1203
237	301851	1192
238	Vorlice	1189
239	TheMilkerOfCats	1180
240	layabout100	1178
241	BPTY4618	1174
242	stavgod	1159
243	SquadMonster	1144
244	Stiar	1133
245	Deathkob	1132
246	Lord_Zacler	1117
246	Fuad_R	1117
248	6king6colt6	1115
248	NameGenerat0r	1115
250	Fildyr	1114
251	Logain42	1110
252	Quotary	1108
253	SvenskaHugo	1105
254	Killercatty78	1097
255	lizardfightclub	1077
256	Chromary	1075
257	07shiny	1067
258	CattSoup	1065
259	benediktine1	1062
260	SammiWolfGirl	1061
261	djancak	1059
262	The_slideV3	1051
263	Zaridey	1045
264	seanitoo	1023
265	Ssor69	1014
266	ImpavidArcher	1013
267	Lutres_	1009
268	_8man	989
269	MakeHistory157	988
270	Jovaphobic	986
271	Wowful	976
272	Jij0	971
273	Deerfoot	967
274	Ze_BaronKrigler	960
275	jnp_gaming	956
276	cytotoxaint	954
277	ROY4LE	949
277	Meatlaugh	949
279	Fuhrer_Teemo	947
279	Deguns123	947
281	MAns_44	946
282	picardred	942
283	fade_emerge78823	937
283	ProfessorDiaper	937
285	SaintJosie	936
286	NomadicRobin_	922
287	SingedBread	917
288	_Meow_Mix	913
289	Soul_Atreus	912
290	_3Stump_	899
291	FennYuzuna	896
292	FirsTimeGamingTV	894
293	Factoroni	893
293	trexgb	893
295	RyuNeko932000	891
296	_i_ERROR_i_	890
297	InfernalMound	883
298	masskedman	862
299	Frxnkz	860
300	Iagoku	858
