rank	username	minecraft:mined/minecraft:spruce_leaves
90	ogoa	1473
91	Di_infiri	1448
92	Jackattack53	1437
93	Comma__	1405
94	Skylord_Luke	1395
95	Chromary	1371
96	Iamthejo	1318
97	Racengan	1315
98	thescout7	1302
99	titanlax	1285
100	UncleDanDan	1283
101	joethahobo	1280
102	Biites	1276
103	valkam13	1262
104	gcaisawesome	1247
105	2Stout	1245
106	Soplight	1229
107	HellsSponge	1226
108	Tommhh	1220
109	Onennon	1211
110	BlancoFlaco	1210
111	KingMatthew506	1206
112	PaperCanvas	1199
113	RebelAndroid	1193
114	natajimi	1171
115	Kamflame	1111
116	thewindmillman	1106
117	bloodbiter	1105
118	fkGrim	1084
119	Smiguli_	1069
120	00000000-0000-0000-0009-01ff0c3e5e4f	1044
121	Gzrdy	1016
122	kekhon	1006
123	Arivana	967
124	doublemaki	944
125	12Magner05	926
126	thebaddruid	924
127	Fullut	923
128	MinuteMira	915
129	cytotoxaint	913
130	_stets	904
131	obzii	901
132	SkateboardR6	888
133	NameGenerat0r	873
134	Jahara	844
134	MattieHD	844
136	Steelynan	843
137	Groovy_MoonBird	819
138	nattybears	808
138	dendydoom	808
138	OfficerAnvil	808
141	Cache3	806
142	Ssor69	802
143	Cowison	772
143	PortlyPete69	772
145	ImpavidArcher	766
145	Tiberonus	766
147	__Fanda__	757
148	TheRealAndrin	756
149	Marbz_	753
150	Felenov	752
151	Cortexia	748
152	Bobby808	747
153	MyNameIsJobo	733
154	Cruncy_	732
155	TachibanaAkira	725
156	SaltineDream	722
157	taengoos	717
158	TheKingK_	715
159	bigstankyy	694
160	Xclax101	690
161	seanitoo	687
162	excelsionprime	682
163	Natty	676
164	Druid95	674
165	BreadBacon	660
166	Akoot_	653
167	avalan64	650
168	EMC_	647
169	Inbefour	643
170	Touched_Bread	632
171	hermmm_	617
172	CalebDHawk	612
173	TheThomas69	611
174	Moofyman	609
175	Hahaa_0	607
176	WYFYoyo	604
177	Myszoaz	602
178	Boipl	594
179	Lord_Jord	589
180	_witch_craft_	586
181	mwrty	584
182	Dakar_	578
183	ZeaBaron	573
184	mihimihimihi	569
185	Prismyst	565
185	SSytex_X	565
187	Froste131	563
188	NomadicRobin_	562
189	CollinMH06	554
190	Lutres_	553
191	Saucepeh	550
192	_themselves	547
192	MAns_44	547
194	jambvds	540
195	AspenLightVT	535
196	Razzgriz	532
197	Zedducius	530
197	LeeMcGee30	530
199	SuperPooch06	523
200	Sleepy_Evelyn	521
201	Vetral1	519
202	_Karmaa	504
202	Chuglyfe	504
202	athereall	504
205	burbankbuilder28	502
206	SvenskaHugo	500
207	Meatlaugh	498
208	Smashic	492
209	MisfitsMike	487
210	Crasswolf	485
210	Barlycorn	485
212	Matyyy15	483
213	U_Mos_	482
213	Blu3beast	482
215	OneLessChromosom	480
216	Jonafrog99	479
217	Rebytre	477
218	Studio4x32	476
219	DepressedCubic	475
219	SUN_DREAM	475
221	Huwulling	468
222	squigglybones	462
223	Deathkob	461
224	Gamergirl420628	459
225	fw3xy	456
226	Slapface522	454
227	RedcatVII	449
227	krutas2000	449
229	Fuhrer_Teemo	447
230	Valoth	444
231	UrbanPlanningEx	437
232	Moss_2006	436
233	Malorn_Aetherius	432
234	VentiHilton	431
235	SammiWolfGirl	430
236	Blaiku	429
237	jaimshae	428
238	TheWickedBird	423
239	ConnorDanky_	417
240	HUNTERmaun	415
240	Winklepicker279	415
242	ZigzagLily43042	407
242	Kiki_Majiki	407
244	Jovaphobic	405
244	milltesco	405
246	SvenskaSara	403
247	Historical_Sand	401
248	jacxhadow	387
249	H0UNDFRMH3LL	386
249	ConcretePirate	386
251	Tyrannosplart	385
252	Kubelz	384
253	EfficientC52	382
254	Pumpkin_P_Patch	381
255	Soap_Bender	380
256	MightyWertu	378
257	ewsophie	374
258	PigDab	367
259	dabloons	363
259	Juansinmiedo18	363
261	JokoFiskare	358
262	SteveCraftBlocks	356
262	surfinggiraffejp	356
264	Lord_Doob	353
265	RobotMinion101	352
266	redikul	351
267	TheGameArchitect	348
268	Lukeee33	346
269	RoskobiOne	343
270	non089	335
271	Quotary	333
272	ADEXTV	332
273	Apollo_993	331
274	teslawolf38	325
275	Wooptey	324
275	killmeiamtraitor	324
277	Lord_Zacler	323
278	zorin123	322
279	master9067	321
280	cedric72	320
281	Malware_Mara	318
282	EnigmaTheYeen	317
283	Mr_Sun15	315
283	Paguz01	315
285	ibarker21	311
286	yheece	307
286	elliebelle107	307
288	Septemb3r	300
288	Galactic_Badger	300
290	Xalithia	299
291	w3nd3lbo3	292
291	txxskx	292
291	The_slideV3	292
294	BlankityMcBlank	288
295	XboxPanda	286
295	dartwaffle	286
297	Pelbo	285
298	BigCronkin	284
299	Deerfoot	282
300	DemTechAlpha	281
