rank	username	minecraft:mined/minecraft:dark_oak_trapdoor
152	XxCookiequeenxX	19
152	El_Jalapeno	19
152	carpet4_69	19
152	Steelynan	19
156	BobDeBouwer1337	18
156	Di_infiri	18
156	Akoot_	18
156	Blaiku	18
160	Jovaphobic	17
160	Bandito_Roamer	17
160	jessewegottacook	17
160	Ozixar	17
160	lorpus	17
160	Barlycorn	17
160	EcksD	17
167	Nach0Bear	16
167	Bumpy419	16
167	Jimi7hits	16
167	Russiancat1	16
167	Nycteus_	16
167	fluddd	16
167	monky_irl	16
167	smogfrog	16
175	ShedJr_	15
175	Ssor69	15
175	Cryptacity	15
175	AnnieBathory	15
175	Kynigito	15
175	Biites	15
181	Crowman1	14
181	sp00ky_ghost977	14
183	Natty	13
183	CharlieButt	13
183	DTwenty	13
183	fkGrim	13
187	SaucyDark	12
187	M_Patata	12
187	Rumpletaezer	12
187	Drewen24	12
187	Kura2218	12
187	calamariclam_I	12
193	titanlax	11
193	mwrty	11
193	Touched_Bread	11
193	CollinMH06	11
193	thebaddruid	11
193	CattSoup	11
199	SmashingPump	10
199	Euclidoris	10
199	purpolepickle	10
199	yheece	10
199	ChocolatePepsi	10
199	Ze_BaronKrigler	10
199	KingMatthew506	10
199	Jimb0nat0r	10
207	I_Am_Mushkin	9
207	livingdaydreams	9
207	Armattillo	9
207	Chayula	9
207	UCP_TheKingK	9
207	JasmineGK	9
213	Alteriity	8
213	dopplexd	8
213	Inchef	8
213	prizm_	8
213	The_Cruncy	8
213	Waffleman258	8
213	Quaintster	8
213	CACTUSLAD	8
213	Sral7	8
222	LittleBug562	7
222	heckface	7
222	Eraza	7
222	gcaisawesome	7
222	Paintz	7
222	Truckoss	7
222	Moofyman	7
222	LeonelSalamanca	7
222	GravitySaint	7
231	ProbablyNick	6
231	Killercatty78	6
231	RebelAndroid	6
231	FirsTimeGamingTV	6
231	jushykins	6
231	Nicky_H225	6
231	poopybh	6
231	_Dean_123	6
231	Mookle96	6
231	SellyZ	6
231	NoxxxxiS	6
231	ImDisconnected_	6
231	Felenov	6
231	selectrix	6
231	seramalen	6
231	thgrocks	6
231	Shogunite	6
231	StinkyDiplomat	6
231	SkateboardR6	6
231	pixelviolin	6
231	SirBreadward	6
252	hollowww	5
252	diamondgolem35	5
252	SteveCraftBlocks	5
252	set67	5
252	Purplehere	5
252	Karetoko	5
252	Hoid_the_Roamer	5
252	AlphaWolfPlaysMC	5
252	Lutres_	5
252	DarkS0L	5
252	shrimp_flips	5
252	SingedBread	5
252	LazySupport00	5
252	SammiWolfGirl	5
252	mobunni	5
267	_stets	4
267	Saltymart	4
267	nocturne78	4
267	_HoneySlime_	4
267	Kkanot	4
267	IforgotCS_Source	4
267	MaGro2010	4
267	Tyrannosplart	4
267	MAns_44	4
267	lordpipe	4
267	MakeHistory157	4
267	iTheRaiden	4
267	trexgb	4
280	H0UNDFRMH3LL	3
280	AuroraValkyrie	3
280	TildaAndrea	3
280	youhjjhhhjj	3
280	SyntheticSurgeon	3
280	Myrlewen	3
280	paranoid_plant	3
280	imcombxt	3
280	Noah_Bez	3
280	fr_ser	3
280	jedi_george	3
280	The_Fulgurator	3
280	MinerDec	3
280	handsome_strong	3
280	Karbl	3
280	_Karmaa	3
280	censorsheep	3
280	ayamefag	3
280	BlankityMcBlank	3
280	EtherealEspresso	3
280	laron58	3
