rank	username	minecraft:mined/minecraft:tall_grass
120	Moofyman	101
120	MAns_44	101
123	RoskobiOne	100
123	420BreadLizard	100
125	r123moore	97
125	prizm_	97
127	KliBeast21	95
127	YoshikageBites	95
129	Touched_Bread	94
129	smogfrog	94
129	Teebone15	94
132	hcb238	91
133	cedric72	87
133	Cormelia	87
135	bloodbiter	86
135	Chromary	86
137	tortillatitan	84
138	Hisiste	83
139	UncreativeArtist	82
139	MineMaster0012	82
139	athereall	82
142	Sleek_Storm_721	81
142	_3Stump_	81
144	Merv__	80
144	Auseawesome	80
144	Lord_Zacler	80
147	NLKBuilder	78
147	Winklepicker279	78
147	2blox	78
150	K3NY0	77
150	07shiny	77
150	ReyTheLegend	77
153	DarlaMeow	75
154	Paint	74
154	xo_Marren_xo	74
154	KeruNatsema	74
157	SoftSix	73
157	Spenduh	73
159	PegLegPete93	72
159	ItsDeltaMC	72
161	Ryker	71
161	mobunni	71
163	_Boipl_	70
163	diggydog67	70
165	Prodiginus	69
165	DScatgirls	69
167	Tommhh	68
167	Shychelsoo	68
169	ApophisNova	66
169	Methalox1	66
169	Nycteus_	66
169	MyNamaSheff	66
173	Winston_Ingram	65
174	12Magner05	64
174	CarltheCuck	64
174	seramalen	64
177	superGamerBoy_	63
177	Th6masss	63
179	MSK__	62
180	SkateboardR6	60
181	NoChumpChange	59
182	Kubeusz2010	58
182	CrazyPotater	58
184	himak1	57
185	orxngejuice	56
186	regulator75	54
187	LotusProject	53
187	EtherealEspresso	53
189	strongman951753	52
189	NieToksikpl	52
189	CattSoup	52
192	egglapras	51
192	PortlyPete69	51
194	soundad	50
194	fw3xywashere	50
194	GlitchyPlate810	50
197	Yatitay	49
197	KarlKaek	49
197	Xalithia	49
197	Fuad_R	49
197	HesDemonPants	49
202	M_Patata	48
202	nut_e	48
202	ToastedGamingYT	48
202	MasterNueve	48
202	IdeallyGrey	48
207	_Virify_	47
207	oxfordschool	47
207	jnp_gaming	47
210	Inbefour	46
210	tartanboy	46
210	EcksD	46
213	Myszoaz	45
213	TheFlfthHorseman	45
215	MyNameIsJobo	44
215	DTwenty	44
215	microcrisp	44
215	obzii	44
219	teslawolf38	43
219	0nly_sn1per	43
219	MilleGrug	43
222	fade_emerge78823	42
223	pipejob	41
224	jacxhadow	40
224	gcaisawesome	40
224	Wowful	40
227	CliffEmAll	39
227	brofrickcheaters	39
229	itburb	38
229	ayqq	38
229	WYFYoyo	38
229	00000000-0000-0000-0009-01f898304150	38
233	SingedBread	37
233	pixelviolin	37
233	FishisTTV	37
236	dimondking777	36
237	wilgot_	35
237	magmaniacmc	35
237	NameGenerat0r	35
237	Shogunite	35
241	Whiterooster001	34
241	rarrq	34
241	Kubelz	34
241	TheALV	34
245	Drlzyy	33
245	Slinkyy7071	33
245	SDMNAEK	33
245	Nicky_H225	33
245	MightyWertu	33
250	AlexxO_o	31
250	fluddd	31
252	smarticuno	30
252	LexMakesHistory	30
254	drunkeeez	29
254	Hoid_the_Roamer	29
254	Steven1282598	29
254	Airem_Core	29
254	Shin69	29
254	Freedrik	29
260	Wooptey	28
260	HolyVenom	28
260	BlueWyvern5170	28
260	Sheldor097	28
260	Hermanni__	28
260	kinas45y5	28
266	iHuntWeeaboos	27
267	TheThomas69	26
267	Meeerkat	26
267	Serval2000	26
270	AshleeCW	25
270	Alteriity	25
270	Hugi_79	25
270	WarMachina	25
274	Furiuosbeast0404	24
274	noodlepack	24
274	Awyrlas	24
274	bee_gorl	24
274	MousePlays	24
274	_Crimson_Legate	24
280	BRRRN179	23
280	Dan_Scha	23
280	CalebDHawk	23
280	Njensen7	23
280	little_dUki	23
285	Koffeeinz	22
285	Z3braYTIL	22
285	Werbe	22
285	LeGold	22
285	BuildTheGondola	22
285	pk1297	22
291	CharlieButt	21
291	CollinMH06	21
291	KartivGal	21
291	Deathkob	21
291	DeGodz4life	21
291	_Tilariel_	21
291	Luigipunch989	21
291	Dr0xzy	21
291	MeetTheWollo	21
300	Sleepy_Time_	20
