rank	username	minecraft:mined/minecraft:fire
163	PortlyPete69	70
166	himak1	69
167	Nargotah	67
168	Gryglu583	65
168	UltraZombie	65
170	TheBiggestFeller	64
170	MinttyFressh	64
170	CalebDHawk	64
173	Jakobo1337	63
173	TheOuterCore	63
175	Krasnal1337	62
175	zToasty69z	62
175	00000000-0000-0000-0009-01ff0c3e5e4f	62
178	remmisrat	61
179	weabis	58
179	cichy096	58
181	Da_Boss_Rani	57
181	_Magdo_	57
181	lillips	57
181	Dusk_95	57
181	trexgb	57
186	Di_infiri	56
186	DanTheBuilderino	56
188	Enigma0251	55
189	NieToksikpl	54
189	CliffEmAll	54
191	HesDemonPants	53
192	BlancoFlaco	52
192	ApophisNova	52
192	CACTUSLAD	52
192	MyNamaSheff	52
196	Huwulling	51
196	ciemacigans	51
196	FishyBoy3811	51
196	snizv1	51
196	GlitchyPlate810	51
196	tartanboy	51
202	Marbz_	50
202	OffWithTheirHead	50
202	striker90333	50
205	gcaisawesome	49
205	ougstur	49
205	parodypatient	49
208	livingdaydreams	48
208	420BreadLizard	48
210	Mythic1130	47
211	ITDV	46
212	starbits140	45
212	MilleGrug	45
214	ImpavidArcher	44
214	CowOfTheNile	44
214	Qorbyn	44
217	strifeforlyfe	43
217	mihimihimihi	43
219	MixerDixer	42
219	Kkanot	42
219	burbankbuilder28	42
222	Jindong	41
222	DTwenty	41
222	Hisiste	41
225	HAIRYCLOUD626	40
226	Awyrlas	39
226	jnp_gaming	39
228	r123moore	38
228	LeGold	38
230	M_Patata	37
230	MasterNueve	37
230	Erased_Identity	37
230	MissCeleste7	37
234	PhantomsGhost_	36
234	_Razaria	36
234	CollinMH06	36
234	SuperPooch06	36
234	Skylord_Luke	36
234	TheWildMateo	36
234	Gmoney390	36
234	WyngGoy	36
234	coobert42	36
243	bigstankyy	35
243	King_Pancake1	35
243	aldplaysmc	35
243	Fuad_R	35
247	JohnnyFyes	34
247	_Huge_Male_	34
247	Smashic	34
247	NameGenerat0r	34
251	xPixelRainx	33
251	Vorlice	33
253	fluddd	32
253	Airem_Core	32
255	eclipseboi	31
255	KartivGal	31
257	Megarboh	30
257	crying_wolf_13	30
257	Luminad3	30
260	soundad	29
261	Chickenchaser2	28
261	Jeteight	28
261	Wowful	28
261	Shin69	28
261	mobunni	28
266	SteveCraftBlocks	27
266	StinkyDiplomat	27
268	JitteryJared2	26
268	Poppy235	26
270	kyouma777	25
271	SpicyDuckMan	24
271	Dreamdbr14	24
271	Skippeh	24
274	jacxhadow	23
274	EngagedGrub41	23
274	Legendosh	23
277	lotarp	22
277	paranoid_plant	22
277	halfwayup	22
277	Winston_Ingram	22
277	Jordan_R	22
282	CadenSteele	21
282	PazinGaming	21
282	tuckerdoodle	21
282	Nicky_H225	21
282	Boboczus	21
282	bee_gorl	21
282	lizardfightclub	21
289	Mr_Byzantine	20
289	__TheNorseMan__	20
289	Hail_the_wombat	20
289	wwwwinnebagoooo	20
293	Z3braYTIL	19
293	lorpus	19
293	Shogunite	19
293	Wolverine4302	19
297	Wolf_Mauler_73	18
297	ExtraDumb	18
297	TheThomas69	18
297	Cellcorgi649	18
