rank	username	minecraft:mined/minecraft:oak_sapling
132	SuperPooch06	11
132	UCP_TheKingK	11
132	blimpeey	11
142	ShowRegent	10
142	MixerDixer	10
142	Paleshield	10
142	ZigzagLily43042	10
142	legal_tax_evader	10
142	Arceus1975	10
142	ooga47	10
142	_Cloverbelle_	10
142	Leyna3	10
142	ogoa	10
142	lcvezra	10
142	_3Stump_	10
154	bigstankyy	9
154	Ryker	9
154	TheSecondLord	9
154	DefiantDragon	9
154	SPUDonSTEROIDS	9
154	Krowuss	9
154	Btabtab	9
154	The11thDoctor	9
154	zToasty69z	9
154	natajimi	9
154	Meatlaugh	9
154	LokisCharredFace	9
154	wwwwinnebagoooo	9
154	lordpipe	9
154	Moetis	9
154	Dogcorn69420	9
154	ZoomieZoomie	9
154	Iamthejo	9
154	Powowowow	9
173	Groovy_MoonBird	8
173	6king6colt6	8
173	Killercatty78	8
173	TinMaster	8
173	Crowman1	8
173	500am	8
173	Norrhede	8
173	whoaluv	8
173	Sharkbyte0	8
173	Nicky19	8
173	master9067	8
173	Decaying_Lotus	8
173	Kyrum2169	8
186	DinoDoctor_	7
186	MoistMicrowave	7
186	LeauVox4921	7
186	Zaridey	7
186	ZeroAbyssTTV	7
186	Hyp3rion_	7
186	handsome_strong	7
186	Smaldo	7
194	RebelAndroid	6
194	ActualPatbaf	6
194	nocturne78	6
194	TastyPorkchop	6
194	NieToksikpl	6
194	SteveCraftBlocks	6
194	KGTV	6
194	ROY4LE	6
194	Kakolbus	6
194	MethylRadical	6
194	nitram49b	6
194	Billious	6
194	LeGold	6
194	MonitorLizards	6
194	AuroraSkies	6
194	KlausVonStiglitz	6
194	The_slideV3	6
194	OffWithTheirHead	6
194	ceAndyX	6
194	mihimihimihi	6
194	07shiny	6
194	Kijiki	6
194	FishisTTV	6
194	Freedrik	6
218	_Huge_Male_	5
218	FroggoTheDoggo	5
218	KarlKaek	5
218	Wolf_Mauler_73	5
218	BodaciousCake	5
218	Dblikstad	5
218	Ssor69	5
218	Ravenbie	5
218	Guillemet	5
218	crying_wolf_13	5
218	Kubelz	5
218	hanaryheatwave	5
218	thewindmillman	5
218	fxiryglitch	5
218	aldplaysmc	5
218	Manaateee	5
218	Xclax101	5
218	_k2x	5
218	csendeslol	5
218	sp00ky_ghost977	5
218	IdeallyGrey	5
218	Redd_Lionn	5
218	EngagedGrub41	5
218	cichy096	5
218	smogfrog	5
218	momis24	5
218	jnp_gaming	5
218	Sral7	5
246	seanitoo	4
246	domon41c_2	4
246	LovelyDane	4
246	Iagoku	4
246	ImpavidArcher	4
246	Lukeee33	4
246	ewsophie	4
246	ivorico	4
246	Jackster03	4
246	jessewegottacook	4
246	Stynxy	4
246	dopplexd	4
246	Gingayy	4
246	himak1	4
246	purpolepickle	4
246	M_Patata	4
246	Peeing	4
246	CrateOfBoxes	4
246	TahkoLive	4
246	RobotMinion101	4
246	BRRRN179	4
246	CarryLine	4
246	groofles	4
246	NomadicRobin_	4
246	Inbefour	4
246	fkGrim	4
246	Fuhrer_Teemo	4
246	sufjanlover	4
246	_Bguette_	4
246	Steve897	4
246	Racengan	4
246	yoyoYoloMonke	4
246	Typadopoulos	4
246	MasterNueve	4
246	yatsuta	4
246	DracZSenpai	4
246	Ossem	4
246	Ryn777	4
246	monolu	4
246	zOnlyKroks	4
246	laron58	4
246	OfficerAnvil	4
246	RadarHz	4
246	CattSoup	4
290	SaltineDream	3
290	Thaumatarge	3
290	Sleek_Storm_721	3
290	SaucyDark	3
290	Lez_	3
290	John_Acacia	3
290	shdesolt	3
290	Comma__	3
290	_HoneySlime_	3
290	eclipseboi	3
290	Jokerman369	3
