rank	username	minecraft:mined/minecraft:red_mushroom_block
183	_Dri_	45
221	Sleek_Storm_721	44
221	RainbowSpaceCow	44
221	Benjii05	44
221	Karbl	44
225	__TheNorseMan__	43
225	ouija_	43
225	AssFullaCum	43
225	__tomato	43
225	gusstationwerker	43
230	imthatpikachu	42
230	MovingFish7	42
232	PhantomsGhost_	40
233	SellyZ	39
233	LilLizardWizard	39
235	Harotio	38
235	SuperPooch06	38
237	Onennon	37
237	DTwenty	37
237	jaxfarted	37
237	Sheldor097	37
241	MrKrabOnCoke	36
241	SharpDev	36
243	DrogV2	33
243	AJplaysMC_	33
243	Hiryu27	33
243	xzvu	33
247	gabriels543	32
248	DC_XII	30
248	marumochis	30
250	_darky1_	29
251	Jiminbub	28
251	IAmTheWalrus910	28
253	ArdaAslan02	27
253	legal_tax_evader	27
255	joppen12	23
256	Whiterooster001	22
256	pr33tu	22
256	nonarso	22
259	The11thDoctor	21
259	SvenskaHugo	21
259	EcksD	21
262	RedcatVII	20
262	SUN_DREAM	20
264	MinttyFressh	19
265	T045RTY	17
265	SyntheticSurgeon	17
265	Toriankel	17
268	ccormacs	16
268	eclipseboi	16
268	eviltunix	16
268	tobinwilliams	16
268	Roikdean	16
268	JESS_THE_RERE	16
274	bloodbiter	15
274	M_Patata	15
274	MasterNueve	15
274	Kura2218	15
278	BronkerBrum	13
278	RealGroot	13
278	Lightfulwolf	13
281	rats_life	12
281	Ozixar	12
281	dopplexd	12
281	mariominejedi	12
285	seanitoo	11
285	soundad	11
285	bpmm	11
288	MOSS000	10
288	Kryktal	10
290	Allchemy	9
290	Nicky_H225	9
290	Blenderyoda	9
293	monky_irl	8
293	Faithhfully	8
295	F_Uhre	7
295	Groundler	7
295	brofrickcheaters	7
298	Jalvajar	6
298	Zippyzam	6
298	Ahketen	6
