rank	username	minecraft:mined/minecraft:terracotta
248	AssFullaCum	56
250	Sabby65	55
251	Thaumatarge	54
251	Hpdinosaur	54
253	lizardfightclub	52
254	TheEnderMan548	51
255	Myszoaz	49
256	skrongus	48
257	MixerDixer	46
258	Xalithia	45
259	Ze_BaronKrigler	44
260	Malorn_Aetherius	42
260	_Mythic____	42
262	Noah_Bez	41
262	Moofyman	41
262	kalzor	41
262	monky_irl	41
266	Segotep999	40
267	JESS_THE_RERE	39
268	MonitorLizards	38
269	SpacesickPrism	35
269	NATE_the_HALO	35
271	dedgt	34
272	NNikitas	33
273	Akoot_	30
273	WinterYoke	30
275	xXTheWolfmanXx	29
276	yaboo88	28
276	Arceus1975	28
278	Mookle96	27
278	Bumpy419	27
280	Darkgon	26
281	rats_life	25
281	ProbablyNick	25
281	bmac2718	25
284	Saucepeh	24
284	Krowuss	24
286	wfk7	23
287	Racengan	22
288	301851	20
288	WarMachina	20
290	KarlKaek	17
291	6king6colt6	16
291	Optiprimus	16
293	imthatpikachu	15
293	selectrix	15
293	fxiryglitch	15
296	ebanana	13
296	sp00ky_ghost977	13
298	elicobnoah	12
298	HellsSponge	12
298	stellarjay	12
