rank	username	minecraft:mined/minecraft:white_shulker_box
260	lorywithay	15
260	FirsTimeGamingTV	15
260	Chromary	15
260	NomadicRobin_	15
260	Deathkob	15
268	k_ce	14
268	KartivGal	14
268	DemTechAlpha	14
271	jushykins	13
271	Inchef	13
271	EtherealSilveon	13
271	Ender_Souls	13
271	Tyrannosplart	13
276	BadenStayFly	12
276	Prismyst	12
276	Warlord324	12
276	Aezekial	12
276	Eczbek	12
281	Incinere	11
281	Touched_Bread	11
281	Jekyll	11
281	Kyrum2169	11
281	stellarjay	11
281	striker90333	11
281	calamariclam_I	11
281	FishisTTV	11
289	Creativebuilder2	10
289	peach0s	10
289	MrAdamant209	10
289	MinttyFressh	10
289	emrekn	10
289	Wowful	10
289	ese_wn_po	10
289	Lutres_	10
289	KamFurnace	10
298	xPixelRainx	9
298	El_Jalapeno	9
298	ZeroKraken	9
