rank	username	minecraft:mined/minecraft:seagrass
217	Syropatathe	41
217	DarkLawD	41
220	Inchef	40
220	fr_ser	40
220	TheEnderman548	40
223	Bandito_Roamer	39
223	Paint	39
223	Euclidoris	39
223	Hiryu27	39
227	ThePoliteG	38
227	PegLegPete93	38
227	HolyVenom	38
227	alddd	38
227	Dusk_95	38
232	Tobias0113	37
232	Sheldor097	37
234	sandmire	36
234	Akoot_	36
234	2blox	36
234	YoshikageBites	36
238	KarlKaek	35
238	CrateOfBoxes	35
238	fred870d	35
238	AssFullaCum	35
242	ROY4LE	34
242	Typadopoulos	34
244	RobotMinion101	32
244	NomadicRobin_	32
246	6king6colt6	31
246	ExtraDumb	31
246	Kamflame10	31
246	emrekn	31
246	John6970	31
246	Jiminie	31
246	Fildyr	31
246	Mr_Don_Costello	31
254	ItsAki_	30
254	_Karmaa	30
254	Winston_Ingram	30
257	Erased_Identity	29
258	TooManyDuck	28
258	DemTechAlpha	28
258	JayToe	28
261	Resner	27
261	OverallConcept	27
261	fffMike	27
261	AskewCap	27
261	OfficerAnvil	27
266	himak1	26
266	smogfrog	26
268	heckface	25
268	Z3braYTIL	25
268	censorsheep	25
271	Western_1	24
271	UrbanPlanner1978	24
273	FemboyFwuit	23
273	gabriels543	23
273	TTNG	23
276	Menthas	22
276	q_wq	22
276	sufjanlover	22
276	cytotoxaint	22
276	kinas45y5	22
281	cowgirlkasia	21
281	r123moore	21
281	Vetral1	21
281	LokisCharredFace	21
281	pixelviolin	21
286	Kubelz	20
286	Winklepicker279	20
286	Jiminbub	20
286	EfficientC52	20
286	Optiprimus	20
291	purpolepickle	19
291	Kynigito	19
291	Kim_Jong_eel	19
291	markaus77	19
291	Jij0	19
291	Wolverine4302	19
291	FishisTTV	19
298	ivorico	18
298	AnnieBathory	18
298	Dan_Scha	18
