rank	username	minecraft:mined/minecraft:spruce_planks
278	Ristebraaten	113
278	BreadBacon	113
280	Tommhh	112
280	FishyBoy3811	112
282	Reamdin	111
282	ItsJunoIGuess	111
284	purpolepickle	109
285	MixerDixer	108
285	Otto_chan	108
285	breadbowlgamer	108
288	Ssor69	107
288	lolpoottoot	107
290	Soap_Bender	106
291	KingMatthew506	105
292	CyrusIsTired	103
292	ProfessorDiaper	103
292	Chuglyfe	103
295	Foof13	102
296	CliffEmAll	101
297	Matek_	100
297	Optiprimus	100
297	SSytex_X	100
300	regulator75	99
