rank	username	minecraft:mined/minecraft:cut_sandstone
91	Inbefour	84
91	_Bguette_	84
93	Menthas	82
93	adiccting01	82
95	audiocracked	81
96	thescout7	79
97	rarrq	78
97	Awyrlas	78
97	Zaridey	78
100	Felenov	77
101	TheMaster972	76
102	potato292	73
102	vandmanden	73
104	EveryonesUncle	72
104	Babushka0430	72
106	tobinwilliams	69
106	NNikitas	69
106	sp00ky_ghost977	69
106	striker90333	69
110	Akoot_	66
110	Lord_Jord	66
110	starbits140	66
110	PlasticOtari	66
114	Kubelz	64
114	oxfordschool	64
114	jnp_gaming	64
117	Dusk_95	62
118	Parcc	60
118	lizardfightclub	60
120	Quaintster	59
121	gabriels543	58
122	Vizzoid	57
123	wezzzi	56
123	fluddd	56
125	Onennon	55
125	censorsheep	55
125	_TCARREIRA_	55
125	FGamerJ	55
129	peach0s	53
130	mwrty	51
130	xX_Stalin69_Xx	51
132	Sky_light_KING	48
132	Nicserso	48
134	BodaciousCake	47
135	Ssor69	45
136	Notta	44
136	KingMatthew506	44
136	diggydog67	44
139	Rich_Kat	43
139	Jiminie	43
141	SammiWolfGirl	42
142	TheSecondLord	41
142	andy_rex	41
142	MovingFish7	41
145	MSK__	37
145	r123moore	37
147	Maenara	36
147	Blu3beast	36
149	aikabot	35
149	SDMNAEK	35
149	Mewar	35
149	stellarjay	35
153	Franco093	34
153	Spacewardharpy7	34
155	Thaumatarge	33
155	Z3braYTIL	33
155	Rumpletaezer	33
155	RobotMinion101	33
155	Xclax101	33
155	lordpipe	33
161	Crumbls	32
161	DennyKai	32
161	FallenCorps	32
164	ooga47	31
164	IdeallyGrey	31
166	Inchef	30
166	Kakolbus	30
168	Bandito_Roamer	29
168	hm947	29
170	Drlzyy	28
170	Kouridragon	28
172	Arteriana	27
172	bloodbiter	27
172	Nycteus_	27
175	ExtraDumb	26
175	drompje	26
175	Segotep999	26
175	TechnoNinja64	26
179	Lowjinx	25
180	nocturne78	24
180	TheSeismicDuck	24
180	ItsDeltaMC	24
180	CACTUSLAD	24
184	PhantomsGhost_	23
184	littlesophiagirl	23
184	Valoth	23
184	noam464	23
184	jewbacaman	23
184	HellsSponge	23
184	Earlesstrain4	23
191	_Dean_123	22
191	_8man	22
191	pappaberg	22
191	Wowful	22
191	Spenduh	22
196	CarryLine	21
196	fkGrim	21
196	the__Reaper4999	21
196	Skippeh	21
200	Rebytre	20
200	NomadicRobin_	20
200	MightyWertu	20
200	UltraZombie	20
200	Weepingbiel	20
205	m_be9	19
205	MinttyFressh	19
205	FreddyFart	19
205	KlausVonStiglitz	19
205	IAmTheWalrus910	19
205	lcvezra	19
211	TooManyDuck	18
212	fanofbands101	17
212	CueMix	17
212	Scathra	17
212	fred870d	17
212	Calbo_	17
217	IWorkAtIkea	16
217	uhm__okay	16
217	aec9	16
217	DTwenty	16
217	GravitySaint	16
217	ediballbearings	16
217	Dreamdbr14	16
217	EcksD	16
217	SpaceTurtleOX	16
226	CrookedKaptain	15
226	WarMachina	15
226	XxCookiequeenxX	15
226	Meatlaugh	15
226	IvarEXE	15
226	BlankityMcBlank	15
232	SugarMyNuggets	14
232	EMC_	14
232	301851	14
232	dopplexd	14
232	Ardennes	14
232	MeowMeowMcmuffin	14
232	xxPipperDipperxx	14
232	Zythose	14
232	Donutt	14
232	AssFullaCum	14
232	jcool7	14
232	Powowowow	14
244	soundad	13
244	jspwn	13
244	RebelAndroid	13
244	T045RTY	13
244	H72l9w	13
244	Comma__	13
244	ThePoliteG	13
244	Kamflame10	13
244	Blaiku	13
253	Mowelan	12
253	Incinere	12
253	Myszoaz	12
253	_Nuf	12
253	Voxin2K	12
253	ADEXTV	12
253	radioactv_jelly	12
253	Kubeusz2010	12
261	AuroraValkyrie	11
261	Wolf_Mauler_73	11
261	BilboBaggins23	11
261	WET_WET_WET	11
261	victorLIE	11
261	sammidk	11
261	Frnjokl	11
261	Barlycorn	11
261	Warlord324	11
261	_3Stump_	11
271	strongman951753	10
271	livingdaydreams	10
271	SullivanNephew	10
271	EfficientC52	10
271	07shiny	10
271	Rainaldus	10
271	HesDemonPants	10
278	Ailmast	9
278	teslawolf38	9
278	Healthing	9
278	eclipseboi	9
278	PegLegPete93	9
278	Celestikka	9
278	Mobstr	9
278	PigDab	9
278	KnightmareD	9
278	sufjanlover	9
278	lillips	9
278	TheEnderman548	9
278	ReyTheLegend	9
278	cum_chalice	9
278	mobunni	9
293	Lotheburgh	8
293	set67	8
293	Karetoko	8
293	Skylord_Luke	8
293	SpouHn	8
293	The_slideV3	8
293	MilleGrug	8
293	Zipstor	8
