rank	username	minecraft:mined/minecraft:ladder
95	_Dean_123	50
95	Akoot_	50
95	Kferno	50
95	EngagedGrub41	50
100	rarrq	49
100	dartwaffle	49
102	ImpavidArcher	48
102	Hyp3rion_	48
104	6king6colt6	47
104	Laykon	47
104	smogfrog	47
107	InfernalMound	46
108	Ssor69	45
108	Hiryu27	45
108	Steve897	45
111	Katthaj	44
112	Merv__	43
112	StinkyDiplomat	43
114	Lord_Jord	41
114	Ezekson	41
116	Megarboh	40
116	Hisiste	40
116	xolstoi	40
119	SaucyDark	39
119	ratglock	39
119	orxngejuice	39
122	Napoleonpancake	38
122	Chromary	38
122	RobotMinion101	38
125	Alteriity	37
125	ROY4LE	37
125	MAns_44	37
125	PortlyPete69	37
129	IAmTheWalrus910	36
130	KarlKaek	35
130	Fullut	35
130	Werbe	35
130	Hermanni__	35
134	H72l9w	34
134	500am	34
134	Western_1	34
137	Groovy_MoonBird	33
137	Houstonion	33
137	12Magner05	33
137	SteveCraftBlocks	33
137	Fuhrer_Teemo	33
137	SUN_DREAM	33
143	mwrty	32
143	bearlystraight	32
143	thgrocks	32
143	Kyrum2169	32
147	teslawolf38	31
147	Swexti	31
147	Malorn_Aetherius	31
147	benediktine1	31
147	_Boipl_	31
147	parodypatient	31
153	Incinere	30
153	yulgur1	30
153	Kowcio_	30
156	DSYisDizzy	29
156	Mattesco	29
156	LexMakesHistory	29
159	squigglybones	28
159	Wooptey	28
159	lunathelemon	28
159	ApophisNova	28
159	SpacesickPrism	28
159	MyNamaSheff	28
165	SailiXX	27
165	LeonelSalamanca	27
165	Sorry_Arey	27
168	John6970	26
168	audiocracked	26
168	Leeeegend	26
171	MoistMicrowave	25
171	4774	25
171	Zythose	25
171	MineMaster0012	25
171	tartanboy	25
171	WYFYoyo	25
177	eiC_	24
177	legal_tax_evader	24
177	Doom_melon	24
177	E775	24
177	Nycteus_	24
182	Frozil20	23
182	lotarp	23
182	2Stout	23
182	CarltheCuck	23
182	DemTechAlpha	23
182	LordSpeed37	23
182	JasmineGK	23
189	livingdaydreams	21
189	titanlax	21
189	set67	21
189	himak1	21
189	The_slideV3	21
189	Eczbek	21
189	ConnorDanky_	21
189	jnp_gaming	21
197	fr_ser	20
197	Skylord_Luke	20
197	Blaiku	20
197	Cocoamallows	20
197	Pickel_Lord	20
197	kyouma777	20
197	lcvezra	20
197	obzii	20
197	jcool7	20
197	TheOnlyRake	20
207	RoskobiOne	19
207	ITDV	19
207	SHAOBADMAN	19
207	pappaberg	19
207	The11thDoctor	19
207	Luigipunch989	19
207	Haadrada	19
207	CattSoup	19
215	Natty	18
215	GingerNeutron	18
215	Giannism	18
215	SirPiccardo	18
215	Tiktola01	18
215	Tyrannosplart	18
215	mihimihimihi	18
222	Jindong	17
222	Reamdin	17
222	Tiberonus	17
222	ProfessorBee	17
222	olliebollie48	17
222	yheece	17
222	SaintJosie	17
222	EveryonesUncle	17
222	MakeHistory157	17
222	MustardSquid	17
222	Nicserso	17
222	Jimb0nat0r	17
234	ZaneABrain	16
234	Miroryk	16
234	MyNameIsJobo	16
234	Hoid_the_Roamer	16
234	Shiirazu	16
234	Russiancat1	16
234	Ze_BaronKrigler	16
234	__tomato	16
234	mawileite	16
234	anbbang	16
244	k_ce	15
244	TheTrueClipse	15
244	Deathkob	15
244	ayamefag	15
244	Spenduh	15
244	_KuruKuru	15
250	Bandito_Roamer	14
250	cheerytomato	14
250	TheSecondLord	14
250	bloodbiter	14
250	Crasswolf	14
250	oscminus	14
250	CarryLine	14
250	wezzzi	14
250	claivin	14
250	Barlycorn	14
250	Aezekial	14
250	Smiguli_	14
250	Lord_Doob	14
250	yatsuta	14
250	krutas2000	14
265	Tobinator_007	13
265	ssleepless	13
265	dopplexd	13
265	Mr_Sun15	13
265	Jimi7hits	13
265	DarlaMeow	13
271	jessewegottacook	12
271	Xalithia	12
271	avalan64	12
271	MinuteMira	12
271	PartyPhoenix	12
271	Meatlaugh	12
271	GravitySaint	12
271	starbits140	12
271	SammiWolfGirl	12
271	Nargotah	12
271	_3Stump_	12
271	BreadBacon	12
271	MelodyGaysharks	12
271	Calbo_	12
285	PrpleFunkyMonkey	11
285	Killercatty78	11
285	_Razaria	11
285	youhjjhhhjj	11
285	stevewithclout	11
285	Crowman1	11
285	Notta	11
285	Comma__	11
285	Nicky_H225	11
285	slkiey	11
285	TheDankPlatypus	11
285	dendydoom	11
285	SvenskaSara	11
285	LilyNova	11
285	KeruNatsema	11
285	ADEXTV	11
