rank	username	minecraft:mined/minecraft:lily_pad
281	Rumpletaezer	4
281	SamZombie	4
281	Fast_Turtle	4
281	wilgot_	4
281	parapluu	4
281	Inbefour	4
281	Syropatathe	4
281	Meatlaugh	4
281	MasterNueve	4
281	ItsDeltaMC	4
281	PabloGonza02	4
