rank	username	minecraft:mined/minecraft:snow_block
116	Groovy_MoonBird	91
116	CloroxBleach385	91
118	Tobinator_007	88
119	stellarjay	87
120	6king6colt6	86
121	Deathkob	85
121	Razzgriz	85
121	diggydog67	85
124	_Bguette_	84
125	CoffeeNoir	80
125	Fullut	80
127	4774	76
127	Xclax101	76
129	Trioxide	75
130	Myszoaz	73
131	m9_meltdown_	72
131	Manaateee	72
133	TheSeismicDuck	71
134	NameGenerat0r	70
135	Bumpy419	69
136	Dragonfest	68
137	jushykins	67
138	teslawolf38	65
138	Incinere	65
138	Werbe	65
138	Umbreon900	65
142	Miroryk	63
143	Druid95	61
144	AppleJacks	60
145	SteveCraftBlocks	57
146	Racengan	56
147	Quotary	55
148	Inchef	54
149	Zoeyfortnite	53
150	Moofyman	50
151	ProfessorBee	49
151	M_Patata	49
153	Parcc	48
153	MasterNueve	48
155	Cowison	46
156	Moham	43
156	djancak	43
156	Njensen7	43
156	CattSoup	43
160	masskedman	41
160	Ze_BaronKrigler	41
160	voiding_	41
163	melono_o	39
164	Jalvajar	37
164	xzvu	37
166	Sral7	36
167	Jimi7hits	35
168	ITDV	34
168	Da_Boss_Rani	34
168	_lildarki3	34
168	Motsaro	34
168	eviltunix	34
168	censorsheep	34
168	mobunni	34
175	set67	33
175	_Boipl_	33
175	fluddd	33
175	_TCARREIRA_	33
175	obzii	33
175	TheBananaKat	33
181	bra1nbrain	32
181	Armattillo	32
183	RoskobiOne	30
183	T045RTY	30
183	Crynrus	30
186	PhantomsGhost_	29
186	Winklepicker279	29
186	nitram49b	29
189	Mobstr	28
189	Toriankel	28
189	Smiguli_	28
189	Nicserso	28
189	YuenKei	28
194	handsome_strong	27
194	UCP_TheKingK	27
194	Skippeh	27
197	gcaisawesome	25
197	iElijah	25
199	Blaiku	24
200	livingdaydreams	23
201	SuperPooch06	22
201	HolyVenom	22
203	Kamflame10	20
203	MirielThePastor	20
205	_Dean_123	19
205	_Minnty_	19
207	HellsSponge	18
207	Nycteus_	18
207	monky_irl	18
207	Soffbord	18
207	trexgb	18
212	Bandito_Roamer	17
212	hm947	17
214	MrExplorer	16
214	MovingFish7	16
214	AltnumberF4	16
217	BPTY4618	15
217	Donutt	15
217	ooga47	15
217	Kynigito	15
217	SpacesickPrism	15
222	Harotio	14
222	_8man	14
222	zToasty69z	14
222	SkateboardR6	14
222	lordpipe	14
222	SSytex_X	14
228	eitanzaki	13
228	noam464	13
228	Rumpletaezer	13
231	nocturne78	12
231	dartwaffle	12
231	MustaLoordi	12
231	Barlycorn	12
231	Devouching	12
231	tartanboy	12
237	plato2066	11
238	Optiprimus	10
238	non089	10
240	shineh10	9
240	TheMaster972	9
240	Cryptacity	9
240	John6970	9
240	NLKBuilder	9
240	J4k__	9
240	_Mythic____	9
240	UrbanPlanningEx	9
248	Hpdinosaur	8
248	Flapjacker687	8
248	Zaridey	8
248	Spenduh	8
248	Drawgirl	8
248	TheOuterCore	8
248	anbbang	8
255	MinttyFressh	7
255	Krowuss	7
255	The_Fulgurator	7
255	Bloo2406	7
255	ConJaBz	7
255	Sorins	7
261	Apollo_993	6
261	ShedJr_	6
261	Smashic	6
261	StinkyDiplomat	6
261	jcool7	6
261	BreadBacon	6
261	Biites	6
268	Cartoonmaniac	5
268	Nicky_H225	5
268	IforgotCS_Source	5
268	HyperCave	5
268	skrongus	5
273	1ochi	4
273	legal_tax_evader	4
273	Rocco_Lane	4
273	Rebytre	4
273	Elastiq	4
273	The_slideV3	4
273	Winston_Ingram	4
280	Alexanderjac	3
280	Sabby65	3
280	RebelAndroid	3
280	H72l9w	3
280	himak1	3
280	Covalents	3
280	CrateOfBoxes	3
280	Mr_Sun15	3
280	sammidk	3
280	Rasmanden	3
280	DarlaMeow	3
280	EfficientC52	3
280	Steve897	3
280	Warlord324	3
280	Nekomin0	3
280	ProbsNotNova	3
280	Sheldor097	3
280	Kubeusz2010	3
280	FelixPSY375	3
299	CLG_Kata	2
299	PazinGaming	2
