rank	username	minecraft:mined/minecraft:sweet_berry_bush
240	actuallysadie	17
240	jacxhadow	17
240	IcyUzi	17
240	orxngejuice	17
240	shadowthemonkey	17
240	Rumpletaezer	17
240	SvenskaSara	17
240	Voxin2K	17
240	TheTrueClipse	17
240	WYFYoyo	17
250	Groovy_MoonBird	16
250	zorin123	16
250	Flapjacker687	16
250	Bobby808	16
250	SomeWanderer	16
250	2Stout	16
250	Kakolbus	16
250	Rasmanden	16
250	AlphaWolfPlaysMC	16
250	33sudo	16
250	lilguppy	16
261	Tommhh	15
261	DinoDoctor_	15
261	Swexti	15
261	BleachMyEyes	15
261	Yirtle	15
261	Covalents	15
261	Giannism	15
261	Inbefour	15
261	non089	15
261	JustinRee	15
261	Teebone15	15
261	Freedrik	15
273	squigglybones	14
273	Pofen	14
273	Prodiginus	14
273	ElFi66	14
273	blockgamer_69	14
273	Zopir	14
273	mwrty	14
273	Bazongoman	14
273	pappaberg	14
273	ProfessorDiaper	14
273	MADDMASTA	14
273	FunkyMonkey447	14
273	imaginek1d	14
273	Schlitzman	14
287	JokoFiskare	13
287	heckface	13
287	Ardennes	13
287	xFaiithyX	13
287	Jackattack53	13
287	ChrisKyleST3	13
287	DarkLawD	13
287	BruhBag	13
287	jaimshae	13
287	Professor_x8	13
287	obzii	13
287	erkada	13
287	EngagedGrub41	13
287	BiggieDawg	13
