rank	username	minecraft:mined/minecraft:bamboo_sapling
149	_NieToksikpl_	3
149	_stets	3
149	Batman922	3
149	Jackster03	3
149	12Magner05	3
149	Mewar	3
149	ROY4LE	3
149	2Stout	3
149	Dyosy	3
149	noam464	3
149	eiC_	3
149	Zythose	3
149	_8man	3
149	Onennon	3
149	olmul	3
149	Deathkob	3
149	DarkS0L	3
149	GoofyBread	3
149	MyNameIsDakar	3
149	Spacewardharpy7	3
149	Optiprimus	3
149	a_smol_bean	3
149	Vellu21	3
149	Skippeh	3
149	oxfordschool	3
149	PlasticOtari	3
149	h2p_emrld	3
176	Groovy_MoonBird	2
176	dudcreeper	2
176	Sleek_Storm_721	2
176	ExtraDumb	2
176	I_snowy_I	2
176	RebelAndroid	2
176	T045RTY	2
176	SteveWithClout	2
176	beeperbeeper5	2
176	Dakota100	2
176	rarrq	2
176	YungJakobo	2
176	_Nuf	2
176	500am	2
176	AngalexikCZ	2
176	NotMeanttoChange	2
176	xxPipperDipperxx	2
176	NotKaden_	2
176	XboxPanda	2
176	ehunt54	2
176	TheDankPlatypus	2
176	loveseeker	2
176	nitram49b	2
176	Doom_melon	2
176	killmeiamtraitor	2
176	AnnieBathory	2
176	impossibleteapot	2
176	AlexStrange	2
176	Aavo	2
176	ApophisNova	2
176	The11thDoctor	2
176	RobotMinion101	2
176	Roosje69	2
176	CruncyIsTaken	2
176	PigDab	2
176	FishyBoy3811	2
176	Drewen24	2
176	Nicky19	2
176	Blamphe	2
176	Gryglu583	2
176	alddd	2
176	Quincannon	2
176	DASH_X7	2
176	claivin	2
176	FlashMigma	2
176	fluddd	2
176	marumochis	2
176	MightyWertu	2
176	DeGodz4life	2
176	yoyoYoloMonke	2
176	Dirt_Bread	2
176	Klassy__	2
176	Cocoamallows	2
176	Juh1s	2
176	lcvezra	2
176	obzii	2
176	_Wannabe_	2
176	HuangMeiHua	2
176	xorompole	2
176	MyNamaSheff	2
176	Kiki_Majiki	2
176	jnp_gaming	2
176	Powowowow	2
176	UrbanPlanner1978	2
240	Lepthymo	1
240	Anne_Primrose	1
240	heysushii	1
240	Elprone266	1
240	Frankb	1
240	RoskobiOne	1
240	pZygh0st	1
240	Ailmast	1
240	TildaAndrea	1
240	bigstankyy	1
240	Hyugo	1
240	Tolhart	1
240	Incinere	1
240	youhjjhhhjj	1
240	awesomeoneme	1
240	fr0stss	1
240	DBoydart303	1
240	Ssor69	1
240	Shadoko_	1
240	InfernalMound	1
240	cowgirlkasia	1
240	TheSecondLord	1
240	jushykins	1
240	Cortexia	1
240	set67	1
240	egglapras	1
240	Dali1465	1
240	Motsaro	1
240	Zenlou	1
240	IceYoung	1
240	Kubelz	1
240	mariominejedi	1
240	CollinMH06	1
240	Giannism	1
240	__Fanda__	1
240	SlayerCrypto	1
240	Jackattack53	1
240	whoaluv	1
240	RefluxRatio	1
240	DaviusMaximoose	1
240	pappaberg	1
240	Unjike	1
240	Bumpy419	1
240	Skylord_Luke	1
240	DeeDeeThonk	1
240	KartivGal	1
240	Vetral1	1
240	MonitorLizards	1
240	RodSerlingCringe	1
240	Maenara	1
240	Sky_light_KING	1
240	Akoot_	1
240	TheTrueClipse	1
240	Negriuke	1
240	AuroraSkies	1
240	Dabatha	1
240	NomadicRobin_	1
240	The_slideV3	1
240	MustaLoordi	1
240	El_Jalapeno	1
240	Blu3beast	1
