rank	username	minecraft:mined/minecraft:orange_terracotta
167	Spenduh	23
170	Drlzyy	22
170	claivin	22
170	ElKaySVK	22
173	Omar_Alone	21
173	Ezekson	21
175	JESS_THE_RERE	20
175	Skippeh	20
175	Powowowow	20
178	Darkgon	19
178	Segotep999	19
178	momis24	19
181	fade_emerge78823	18
181	MAns_44	18
183	301851	17
183	Kouridragon	17
183	The_SlideV5	17
186	Menthas	16
186	ProbablyNick	16
186	RodSerlingCringe	16
189	PigDab	15
189	TTNG	15
191	PortlyPete69	14
192	SpouHn	13
193	Bandito_Roamer	12
193	m_be9	12
193	Mobstr	12
193	sufjanlover	12
193	Legendosh	12
198	LexMakesHistory	11
199	ratglock	10
199	MakeHistory157	10
199	Lowjinx	10
199	WinterYoke	10
203	elicobnoah	9
203	H72l9w	9
203	Mookle96	9
203	xxPipperDipperxx	9
203	UncleDanDan	9
203	iHuBlack	9
203	Arceus1975	9
203	AnnieBathory	9
203	MyNameIsDakar	9
203	HellsSponge	9
203	Eraxa	9
203	IdeallyGrey	9
215	Karetoko	8
215	lizardfightclub	8
215	Jiminie	8
215	ItsDeltaMC	8
215	AssFullaCum	8
220	PegLegPete93	7
220	Mewar	7
220	SellyZ	7
220	CarltheCuck	7
220	Deathkob	7
220	lcvezra	7
220	striker90333	7
220	Miko_Fullbuster	7
228	Wooptey	6
228	Historical_Sand	6
228	eviltunix	6
228	RobotMinion101	6
228	Kim_Jong_eel	6
228	KlausVonStiglitz	6
228	vandmanden	6
235	MixerDixer	5
235	teslawolf38	5
235	Dogbound	5
235	titanlax	5
235	12Magner05	5
235	Scathra	5
235	Celestikka	5
235	_Boipl_	5
235	sxc_	5
235	natajimi	5
235	duqboy	5
235	lilguppy	5
235	HesDemonPants	5
248	KarlKaek	4
248	aikabot	4
248	bmac2718	4
248	G1ldor	4
248	Smashic	4
248	ketaminmann	4
248	r123moore	4
248	Zythose	4
248	JitteryJared2	4
248	lOlmantschi	4
248	wfk7	4
248	ADEXTV	4
248	fkGrim	4
248	fluddd	4
248	Typadopoulos	4
248	Soul_Atreus	4
248	_TCARREIRA_	4
265	zqw10k	3
265	Ailmast	3
265	6king6colt6	3
265	Myszoaz	3
265	MSK__	3
265	Whiterooster001	3
265	Valoth	3
265	egglapras	3
265	Inchef	3
265	XboxPanda	3
265	RefluxRatio	3
265	burbankbuilder28	3
265	CruncyIsTaken	3
265	jewbacaman	3
265	DTwenty	3
265	SingedBread	3
265	Optiprimus	3
265	SpaceTurtleOX	3
265	Deliriohm	3
265	h2p_emrld	3
285	SaltineDream	2
285	Louiis123	2
285	Nucket	2
285	SirUnderpants	2
285	Iagoku	2
285	Hyugo	2
285	SaucyDark	2
285	Flores991	2
285	_Frepp_	2
285	Jackster03	2
285	BilboBaggins23	2
285	CrookedKaptain	2
285	Awyrlas	2
285	ayqq	2
285	TheDankPlatypus	2
285	Arsinic7	2
