rank	username	minecraft:mined/minecraft:oak_slab
161	brycepants	65
162	thewindmillman	64
162	Dusk_95	64
164	ratglock	63
164	WyngGoy	63
164	Oxygen16	63
167	TheMaster972	62
168	phomic	61
168	__tomato	61
170	WET_WET_WET	60
171	Aatronix1	59
172	Th6masss	58
173	beeleg	57
173	00000000-0000-0000-0009-01f898304150	57
175	Stynxy	56
175	Malorn_Aetherius	56
177	Menthas	55
177	teslawolf38	55
177	Ch4osDoom64	55
180	natajimi	53
181	stickwhiskers	52
182	SaucyDark	50
182	AvaRosey	50
184	a_smol_bean	48
185	Shogunite	47
185	xorompole	47
187	FirsTimeGamingTV	45
187	TheDiamondCG	45
187	YungMaki	45
190	_Virify_	42
190	bluefragmentt	42
192	JMK208	41
192	Zaridey	41
194	angeles1234	40
195	ivorico	39
195	pixelviolin	39
195	Kowcio_	39
198	jaimshae	38
199	Fullut	37
199	RobotMinion101	37
199	fxiryglitch	37
199	Hermanni__	37
203	_k2x	36
203	2blox	36
205	Mowelan	35
205	fluddd	35
205	SvenskaHugo	35
208	toj__	34
208	Maenara	34
208	ZoharGoldMine	34
208	MissCeleste7	34
212	SuperPooch06	33
212	Shoutur1	33
214	weezygator	32
214	DeeDeeThonk	32
214	KlausVonStiglitz	32
214	Meatlaugh	32
214	Deerfoot	32
214	Nicserso	32
214	TechnoNinja64	32
221	Drlzyy	31
221	Z3braYTIL	31
221	Eczbek	31
224	Ozixar	30
225	Sleek_Storm_721	29
225	sarahlynn00	29
225	MangoSalad316	29
225	stellarjay	29
225	Northernrabbit	29
225	mediumBev	29
231	ShedJr_	28
231	TheRoboSock	28
231	Luigipunch989	28
234	2Stout	27
234	Mattesco	27
234	MousePlays	27
237	Astronicky	26
237	Paleshield	26
237	T045RTY	26
237	AnnieBathory	26
237	RyuNeko932000	26
237	DC_XII	26
237	NomadicRobin_	26
237	PlzNoBM	26
237	RadarHz	26
237	Smaldo	26
247	bloodbiter	25
247	Kubelz	25
247	OfficerAnvil	25
247	EcksD	25
251	Jalvajar	24
252	ccormacs	23
252	heckface	23
252	Marbz_	23
252	Inbefour	23
256	Ev0luti0nz	22
256	AJplaysMC_	22
256	MinerDec	22
256	FishyBoy3811	22
256	theofiel	22
256	Syropatathe	22
256	Xannon232	22
263	Myszoaz	21
263	TheDankPlatypus	21
263	TableTim	21
263	Dan_Scha	21
263	Kubeusz2010	21
268	MSK__	20
268	TinMaster	20
268	Guillemet	20
268	mimbo1211	20
268	Purplehere	20
268	DaviusMaximoose	20
268	impossibleteapot	20
268	Soap_Bender	20
276	ergoalias	19
276	SpaceGrenadier	19
276	Felenov	19
276	xo_Marren_xo	19
280	soundad	18
280	TheDefiantDragon	18
280	Karetoko	18
280	Norrhede	18
280	ClemenPine	18
280	Sky_light_KING	18
280	sp00ky_ghost977	18
280	athereall	18
288	Cowison	17
288	TheSecondLord	17
288	Inchef	17
288	Cocoamallows	17
288	Shin69	17
288	TitanCrafting	17
294	jiggywraps	16
294	_Bguette_	16
294	wobn	16
297	Frxnkz	15
297	noam464	15
297	Fuhrer_Teemo	15
297	LetsDoItLive	15
