rank	username	minecraft:mined/minecraft:andesite
100	PlzNoBM	7339
101	fluddd	7323
102	_Virify_	7272
103	Rocco_Lane	7194
104	Mr_Byzantine	7169
105	BobDeBouwer1337	7068
106	alderban107	6910
107	SpacesickPrism	6814
108	Groovy_MoonBird	6677
109	set67	6666
110	audiocracked	6649
111	xolstoi	6619
112	Shogunite	6498
113	xxPipperDipperxx	6393
114	livingdaydreams	6283
115	cedric72	6273
116	Hermanni__	6252
117	Zoeyfortnite	6131
118	bigstankyy	6059
119	Quotary	5941
120	NameGenerat0r	5881
121	BumbleBeever	5878
122	oscminus	5842
123	claivin	5818
124	h2p_emrld	5811
125	_Mythic____	5775
126	lillips	5759
127	SammiWolfGirl	5722
128	Historical_Sand	5690
129	MightyWertu	5666
130	anbbang	5652
131	_Nuf	5634
132	Jimb0nat0r	5626
133	Winklepicker279	5598
134	Blu3beast	5509
135	Tyrannosplart	5438
136	k_ce	5393
137	M_Patata	5383
138	pixelviolin	5132
139	teslawolf38	5072
140	Smashic	5057
141	TheThomas69	5014
142	MasterNueve	5012
143	diamondgolem35	4990
144	Njensen7	4960
145	_Karmaa	4949
146	SingedBread	4920
147	PortlyPete69	4879
148	himak1	4857
149	catandmoose	4825
150	Deodorante	4798
151	Groundler	4694
152	SkateboardR6	4618
153	I_Am_Mushkin	4616
154	Pofen	4556
155	soundad	4542
156	Soplight	4538
157	XboxPanda	4535
158	Huwulling	4517
159	EngagedGrub41	4505
160	jnp_gaming	4459
161	Arceus1975	4431
162	Jimi7hits	4332
163	Jovaphobic	4302
164	_Dean_123	4286
165	00000000-0000-0000-0009-01ff0c3e5e4f	4183
166	Racengan	4170
167	lotarp	4159
168	Akoot_	4145
169	Sral7	4077
170	NoChumpChange	4037
171	TooManyDuck	4026
172	eviltunix	4021
173	LordSpeed37	4019
174	CollinMH06	4016
175	The11thDoctor	3956
176	mariominejedi	3866
177	r123moore	3849
178	Steve897	3847
179	SaucyDark	3811
180	ROY4LE	3770
181	fffMike	3727
182	CalebDHawk	3726
183	NomadicRobin_	3677
184	ConnorDanky_	3638
185	WET_WET_WET	3618
186	Chromary	3600
187	_TCARREIRA_	3566
188	Hoid_the_Roamer	3542
189	censorsheep	3534
190	Awyrlas	3532
191	yheece	3528
192	Eraxa	3526
193	MoistMicrowave	3510
194	ProfessorDiaper	3501
195	Quincannon	3467
196	F_Uhre	3423
197	StinkyDiplomat	3408
198	Corbsman	3363
199	Strangemonkey71	3345
200	Cocoamallows	3190
201	Swexti	3186
202	6king6colt6	3143
203	Windo_licker	3130
204	Comma__	3119
205	valkam13	3096
206	SpaceGrenadier	3094
207	OverallConcept	3074
208	DemTechAlpha	3062
209	Sleek_Storm_721	3035
210	WyngGoy	3029
211	DTwenty	3000
212	__tomato	2966
213	Fuhrer_Teemo	2951
214	Lutres_	2929
215	SmashingPump	2926
216	ssleepless	2911
217	ProbsNotNova	2875
218	Soap_Bender	2854
219	SvenskaHugo	2852
220	Malorn_Aetherius	2833
221	TheDankPlatypus	2824
222	bearlystraight	2753
223	Leyna3	2725
224	lorpus	2723
225	drunkeeez	2714
226	Lez_	2689
227	weabis	2688
228	Lukeee33	2621
229	DarlaMeow	2616
230	SquadMonster	2614
231	jushykins	2575
232	LeonelSalamanca	2546
233	Scathra	2535
234	Badenbeele	2505
235	eiC_	2490
236	Zaridey	2485
237	prizm_	2466
238	Gab4101	2465
239	TheBananaKat	2459
240	Kura2218	2437
241	Barlycorn	2389
242	Airem_Core	2388
243	Powowowow	2386
244	Krowuss	2383
245	lcvezra	2372
246	Xalithia	2368
247	GoofyBread	2364
248	Merv__	2357
248	Kamflame10	2357
250	Fuad_R	2323
251	trexgb	2322
252	DanTheBuilderino	2318
253	Covalents	2299
254	Ssor69	2277
255	TheSeismicDuck	2269
256	AuroraValkyrie	2262
257	ElectricDragon81	2245
258	TheOuterCore	2238
259	MattieHD	2216
260	Ecplosive	2204
261	jcool7	2192
262	CrateOfBoxes	2169
263	sp00ky_ghost977	2166
264	little_dUki	2153
265	theonlymagikarp	2147
266	SSytex_X	2105
267	BlankityMcBlank	2101
268	Kubelz	2100
269	Elastiq	2097
270	Winston_Ingram	2082
271	jessewegottacook	2072
272	FirsTimeGamingTV	2070
273	07shiny	2062
274	KarlKaek	2052
275	UltraZombie	2041
276	Hiryu27	1992
277	ExtraDumb	1979
278	chipklip	1968
279	SellyZ	1911
279	selectrix	1911
281	The_Quack_Dealer	1907
282	Crowman1	1899
282	Warlord324	1899
284	iSammael	1892
285	Vetral1	1885
286	_8man	1883
287	Zedducius	1880
288	Flapjacker687	1869
289	Wooptey	1863
290	stavgod	1808
291	Nycteus_	1788
292	lizardfightclub	1781
293	XHectorSalamanca	1774
294	drumine	1767
295	wwwwinnebagoooo	1758
296	emrekn	1755
297	Toriankel	1749
298	Jonte0599	1711
299	KingMatthew506	1707
300	TheDumbHuman	1696
