rank	username	minecraft:mined/minecraft:cobblestone_slab
97	Hiryu27	151
97	TheOuterCore	151
100	djancak	150
101	_Karmaa	149
102	Cortexia	147
103	AuroraSkies	145
104	Soplight	144
105	Skippeh	143
106	StinkyDiplomat	139
107	Chayula	137
108	heysushii	136
109	funnyblitz123	135
109	MakeHistory157	135
111	weabis	134
111	Xclax101	134
111	_Meow_Mix	134
114	4774	133
114	Deodorante	133
114	CalebDHawk	133
117	Rebytre	132
117	PigDab	132
119	chlorinex	131
120	CollinMH06	128
120	Chromary	128
122	cog	124
123	excelsionprime	116
124	Meepcraft	115
124	Groundler	115
126	Donutt	114
127	Blaiku	113
128	CharlieButt	109
129	jnp_gaming	108
130	Lord_Jord	107
131	SyntheticSurgeon	106
131	RefluxRatio	106
133	AlphaWolfPlaysMC	105
134	Ev0luti0nz	102
134	Eczbek	102
136	jaimshae	101
137	StylesK	100
138	Comma__	99
138	Megarboh	99
140	Deathkob	96
140	yoyoYoloMonke	96
140	Spacewardharpy7	96
143	himak1	95
143	Eczbox	95
145	oreee	94
145	Werbe	94
145	Akoot_	94
145	_Tilariel_	94
145	Shin69	94
150	Wowful	93
150	El_Jalapeno	93
150	JayToe	93
153	H72l9w	92
154	gcaisawesome	90
155	XboxPanda	89
156	yheece	87
157	Jackster03	85
157	Lez_	85
159	SquadMonster	83
159	JETrotter	83
159	AstreaTSS	83
162	Cowison	82
163	DkansK	81
164	_Dean_123	80
164	FennYuzuna	80
164	ChocolatePepsi	80
164	The_slideV3	80
164	Steelynan	80
169	TheSecondLord	79
170	Kkanot	78
171	Blu3beast	77
171	Leithz6	77
173	ColeSnyder	75
174	Fullut	74
175	bloodbiter	73
175	jcool7	73
177	KarlKaek	71
177	TheMilkerOfCats	71
179	bigstankyy	70
179	cichy096	70
181	The_Cruncy	68
181	Burge_r	68
181	Kyrum2169	68
184	Maenara	67
184	Airem_Core	67
186	audiocracked	66
187	Nicserso	65
187	diggydog67	65
189	FirsTimeGamingTV	63
189	Smaldo	63
191	FishyBoy3811	62
192	diamondgolem35	60
192	m_be9	60
192	oscminus	60
192	claivin	60
192	censorsheep	60
197	Guillemet	59
197	Arceus1975	59
199	Shiirazu	58
200	Inbefour	57
200	xzvu	57
202	dedgt	56
202	RobotMinion101	56
204	Swexti	53
204	Motsaro	53
204	F_Uhre	53
204	kiluaemc	53
204	FreakGenius	53
204	WyngGoy	53
210	_stets	52
210	Covalents	52
210	Kakolbus	52
213	Russiancat1	48
213	The_Quack_Dealer	48
213	tsitrawhy	48
213	_TCARREIRA_	48
217	Incinere	47
217	CarryLine	47
217	IamCL4SSY	47
220	redikul	46
221	soundad	45
221	ssleepless	45
221	Stiar	45
221	Purplehere	45
221	Shogunite	45
221	monolu	45
227	Barlycorn	44
227	NebulousBadger	44
229	Paleshield	43
229	Fakiuss	43
231	ShedJr_	42
231	PegLegPete93	42
233	ooga47	41
233	Meatlaugh	41
233	lordpipe	41
233	bruh072	41
237	Notta	40
237	Dakar_	40
237	Kubeusz2010	40
240	SuperPooch06	39
240	MineMaster0012	39
240	ediballbearings	39
243	BlankityMcBlank	38
244	XHectorSalamanca	37
244	slkiey	37
244	drunkeeez	37
244	pappaberg	37
244	Hisiste	37
249	MoistMicrowave	36
249	IWorkAtIkea	36
249	Druid95	36
249	_i_ERROR_i_	36
253	Jimi7hits	35
253	ItsDeltaMC	35
253	Dogcorn69420	35
253	mawileite	35
257	TheWildMateo	34
257	SpacesickPrism	34
257	MissCeleste7	34
260	Rumpletaezer	33
261	shineh10	32
261	Cryptacity	32
261	dendydoom	32
261	Karbl	32
261	JohnPrice	32
266	SaltineDream	31
266	Steve897	31
266	Matorz	31
266	monky_irl	31
266	Razzgriz	31
271	emrekn	30
271	fw3xy74	30
271	Darkgon	30
271	GravitySaint	30
271	BumbleBeever	30
271	Njensen7	30
277	ImNotYuqii	29
277	Lukeee33	29
277	Franco093	29
277	Leyna3	29
277	privatemeekly	29
277	Warlord324	29
283	Ristebraaten	28
283	rotten_mango	28
283	Ze_BaronKrigler	28
283	fffMike	28
283	561cool	28
288	maxdacatv2	27
288	Apicomplexa	27
290	Matemax	26
290	urbeans	26
290	titanlax	26
290	QuakerOatsGod	26
290	Smiguli_	26
290	SammiWolfGirl	26
296	Adlair	25
296	gloryoftherain	25
296	Toowny	25
296	Manaateee	25
296	560cool	25
